year,grand_ADJ enfant_NOUN
1800,9.746909768182377e-08
1801,2.1430643926123594e-08
1802,6.713520406265161e-08
1803,6.436119548425268e-08
1804,4.943701981119375e-08
1805,4.264316544322355e-08
1806,2.0171682990621775e-08
1807,2.8469550272802735e-08
1808,3.3991110370834576e-08
1809,1.4909601420143304e-07
1810,7.488405628919281e-08
1811,0.0
1812,4.5342538612658245e-08
1813,1.1790540810352468e-07
1814,5.664018942752591e-08
1815,7.552225866902518e-08
1816,2.0858434979231788e-08
1817,6.227493543065066e-08
1818,1.0848271614349869e-07
1819,4.6579724966022695e-08
1820,7.713212824000948e-08
1821,7.790576084243384e-08
1822,6.416394171537831e-08
1823,6.81905376609393e-08
1824,5.221090049190025e-08
1825,5.107156786365863e-08
1826,6.077509340229881e-08
1827,4.7929820112813104e-08
1828,3.668920500743411e-08
1829,6.858540890775089e-08
1830,1.054120417620652e-07
1831,6.860130752350813e-08
1832,1.041807635715486e-07
1833,1.3437008417049867e-07
1834,9.42787596880379e-08
1835,5.52105419160398e-08
1836,7.661655238022647e-08
1837,8.906100390504434e-08
1838,6.438405297792826e-08
1839,5.9427538667833346e-08
1840,6.560779297615227e-08
1841,4.751205917585821e-08
1842,8.184083011286702e-08
1843,8.151537334022407e-08
1844,8.671926488013071e-08
1845,7.031086868281022e-08
1846,1.0362467550706356e-07
1847,7.33478415781974e-08
1848,8.286578079275131e-08
1849,5.1952373070207614e-08
1850,6.721105982876452e-08
1851,5.4175285146840224e-08
1852,8.268392792665225e-08
1853,1.248133685294306e-07
1854,6.442624167490862e-08
1855,1.4541007686830199e-07
1856,1.1079185036066974e-07
1857,1.3228889228500407e-07
1858,1.614913069936108e-07
1859,1.6651406697931748e-07
1860,1.3685780153593896e-07
1861,1.3063220016817922e-07
1862,1.554187252228445e-07
1863,1.528353914537206e-07
1864,1.6445916628526902e-07
1865,1.9156857122837323e-07
1866,1.265059375032962e-07
1867,1.5043715073659314e-07
1868,1.5560603383590887e-07
1869,1.5920272655733925e-07
1870,1.5883315729325886e-07
1871,1.5082071858074642e-07
1872,1.3364620432554375e-07
1873,1.5084730708991856e-07
1874,1.7326365986392034e-07
1875,1.6249137502200028e-07
1876,2.1342431799631356e-07
1877,1.9234778037002798e-07
1878,1.4614595045259193e-07
1879,1.722829759964739e-07
1880,1.9125181793810953e-07
1881,1.9313845633917026e-07
1882,2.196277062438412e-07
1883,2.1801719096714578e-07
1884,2.1983651077306376e-07
1885,2.0368208852872272e-07
1886,2.0457480331970146e-07
1887,2.1871897804004448e-07
1888,2.65671762811337e-07
1889,2.393282212409531e-07
1890,2.5037756223866836e-07
1891,1.988756661575053e-07
1892,2.407108752322529e-07
1893,2.192396242328698e-07
1894,2.111015717787268e-07
1895,2.6481903958597286e-07
1896,2.966205503440733e-07
1897,2.6278478060248744e-07
1898,3.083803488124204e-07
1899,2.509520484750283e-07
1900,2.128331797468519e-07
1901,2.2299068991316062e-07
1902,1.8560872572237486e-07
1903,2.8837177090679234e-07
1904,2.3702097529110233e-07
1905,2.399752894177709e-07
1906,3.004203654732862e-07
1907,2.9931347356182414e-07
1908,3.28080789202545e-07
1909,2.9045192651011575e-07
1910,3.548515969953314e-07
1911,3.000690949050977e-07
1912,3.1621188067987305e-07
1913,2.7734636520726497e-07
1914,2.0692938385025172e-07
1915,1.2841030905264006e-07
1916,1.96675571828564e-07
1917,3.037699620733747e-07
1918,3.4688856054287953e-07
1919,3.185915407044604e-07
1920,3.2712040898275063e-07
1921,2.5520157542757715e-07
1922,2.892150634536961e-07
1923,3.3971035318103304e-07
1924,3.184231358588363e-07
1925,3.2444623876415335e-07
1926,4.01260987104024e-07
1927,5.273583649767488e-07
1928,3.7934455843213755e-07
1929,3.486947139919039e-07
1930,3.0985631527258306e-07
1931,3.3531748311332876e-07
1932,2.9590747674390627e-07
1933,3.418257454868012e-07
1934,4.2414793455236577e-07
1935,3.219468469595199e-07
1936,2.7038112326849273e-07
1937,2.6567259103771335e-07
1938,2.761590648381329e-07
1939,2.2635194607545372e-07
1940,1.9271950524313297e-07
1941,1.800416602470989e-07
1942,3.1859223770247524e-07
1943,3.193558786307449e-07
1944,4.241405786586938e-07
1945,2.875625368936596e-07
1946,3.243617259229836e-07
1947,3.8265996260555823e-07
1948,3.076744201635506e-07
1949,2.208826850313983e-07
1950,2.4780393070855666e-07
1951,2.3135241322691513e-07
1952,2.024602325789715e-07
