year,sont_VERB au_ADP,sont_VERB faux_ADJ
1800,1.987740870390553e-05,4.999221800972009e-07
1801,1.8630373233463615e-05,4.976671448275738e-07
1802,2.175628105760552e-05,2.953948978756671e-07
1803,2.439094168948941e-05,4.193229301563406e-07
1804,2.0323557691881433e-05,4.721235313809302e-07
1805,2.3902915927465074e-05,5.145608383827494e-07
1806,1.8059419744531624e-05,5.561621492233826e-07
1807,1.6173551557585597e-05,4.441249927822355e-07
1808,1.987346877285745e-05,4.350862070623407e-07
1809,1.8309441657038406e-05,4.3599288801488e-07
1810,1.5187422832241282e-05,4.399438182645099e-07
1811,1.7075699361157604e-05,3.785685862567334e-07
1812,1.816368785512168e-05,4.1608447531871207e-07
1813,1.6840343960211612e-05,3.134558426154399e-07
1814,1.6173920812434517e-05,3.209610781595984e-07
1815,1.8632419596542604e-05,4.531335662250058e-07
1816,1.9057657482335344e-05,4.4266235477152804e-07
1817,1.9666424122988246e-05,4.514932925303583e-07
1818,1.5545214409939945e-05,5.030736929256818e-07
1819,1.648197758186143e-05,5.030610168432759e-07
1820,1.4373868907568976e-05,6.443499387387419e-07
1821,1.529615474282764e-05,7.139717581594596e-07
1822,1.540736593597103e-05,4.6619112481494085e-07
1823,1.5197595530480612e-05,5.06981848502619e-07
1824,1.587211409059819e-05,4.0673972989679896e-07
1825,1.6177360521396622e-05,5.309682364895707e-07
1826,1.4750731679669116e-05,4.624191660695942e-07
1827,1.5767989680171013e-05,3.696126498198282e-07
1828,1.5669958884245716e-05,4.604495131843578e-07
1829,1.6446780136902817e-05,4.1837100184238807e-07
1830,1.6404617781518027e-05,4.571334102365654e-07
1831,1.6470550690428354e-05,2.8843732025052304e-07
1832,1.5425517631229013e-05,4.410769918195001e-07
1833,1.6774252799223177e-05,2.814821584706806e-07
1834,1.5901372535154223e-05,4.3965641793874966e-07
1835,1.5970215827110223e-05,3.887427055815351e-07
1836,1.4504050341201946e-05,4.5835514583814074e-07
1837,1.607759804755915e-05,4.0286187186211464e-07
1838,1.5493833416257985e-05,3.38963104695722e-07
1839,1.5012794392532669e-05,3.6076011156183085e-07
1840,1.4784684026381001e-05,4.2294732338632457e-07
1841,1.5317502402467653e-05,3.93579625779239e-07
1842,1.4503269085253123e-05,4.776284754370863e-07
1843,1.5114604138943832e-05,4.447904018434201e-07
1844,1.3899232726544142e-05,3.5510990414877597e-07
1845,1.4047107470105402e-05,3.71085150163708e-07
1846,1.4751586604688782e-05,4.344040007708827e-07
1847,1.4180942343955394e-05,3.888514186201064e-07
1848,1.4561851457983721e-05,2.695149134979147e-07
1849,1.4943010683055036e-05,3.35176594035147e-07
1850,1.3995515473652631e-05,3.3537639865244273e-07
1851,1.3996572306496091e-05,3.5987866908726573e-07
1852,1.5135065041249618e-05,3.7370531913438754e-07
1853,1.580770367581863e-05,3.230815082133631e-07
1854,1.4587347322958522e-05,2.919963435488171e-07
1855,1.456701193092158e-05,3.5344200455256214e-07
1856,1.4144598935672548e-05,3.271983644026477e-07
1857,1.438971230527386e-05,3.9589039602105913e-07
1858,1.3220265827840194e-05,4.4923945097252727e-07
1859,1.3226411283540074e-05,3.2029771546149277e-07
1860,1.344273186987266e-05,3.1353710028270143e-07
