year,soient_VERB aux_ADP,soient_VERB faux_ADJ
1800,7.54599476238127e-08,1.2576657937302116e-08
1801,6.429193177837078e-08,3.095537337571841e-08
1802,7.608656460433849e-08,8.951360541686881e-09
1803,8.191424427650418e-08,3.705644502360883e-08
1804,9.393033195692624e-08,2.4718509461507665e-09
1805,6.822906506442905e-08,3.980028751016107e-08
1806,6.627838988748636e-08,4.3225035994964855e-08
1807,5.4092147649953404e-08,0.0
1808,1.178358477460506e-07,3.852325747288887e-08
1809,2.0783080234565432e-07,2.9367397402779716e-08
1810,1.2870697219113936e-07,3.2761775514700275e-08
1811,1.0529722516139373e-07,7.521229861140455e-09
1812,6.13457871168066e-08,1.0668832928217853e-08
1813,1.3803560250380542e-07,5.463909147351842e-08
1814,1.8880062846449164e-07,2.2026739543434815e-08
1815,6.473336622292436e-08,5.394447111228828e-09
1816,8.806894769008977e-08,1.8540831092650478e-08
1817,1.1209488270935708e-07,1.0898113522728181e-08
1818,5.126106206176928e-08,3.457141417584353e-08
1819,5.7965878541565985e-08,2.5877625375869684e-08
1820,1.340912350045187e-07,2.7292905713238724e-08
1821,8.579494448213154e-08,3.747365440176509e-08
1822,8.221005032282847e-08,2.0051231786055723e-08
1823,4.0519015698237126e-08,4.842516432290722e-08
1824,7.242156652154108e-08,2.2737005167527968e-08
1825,1.8227267339909758e-07,3.434122675116669e-08
1826,9.68878284268726e-08,1.8496766784892316e-08
1827,7.834681770013674e-08,3.7790819362726324e-08
1828,9.997808092521154e-08,4.3109814384934e-08
1829,6.344150138559712e-08,2.4862210068476998e-08
1830,5.4271546368056534e-08,1.1480519646056564e-08
1831,5.9246584527272717e-08,1.7150327380477393e-08
1832,5.6825870453636185e-08,4.19429042608499e-08
1833,3.359252431778259e-08,8.108539617524002e-09
1834,8.494422942817437e-08,1.6802156110884425e-08
1835,5.067268915581735e-08,3.100866052818674e-08
1836,5.7798450803225876e-08,1.6129799718100912e-08
1837,8.83652155891923e-08,3.6876823372722356e-08
1838,7.069621377198132e-08,2.1461350030449466e-08
1839,5.523265422802126e-08,1.677954131196202e-08
1840,5.477932418784803e-08,3.121147429396842e-08
1841,5.778493861186007e-08,3.531301828729738e-08
1842,4.628703020870262e-08,3.6895457355967665e-08
1843,7.560846282395062e-08,3.4260082770742883e-08
1844,6.25695986133934e-08,2.7991662321369404e-08
1845,8.426144137985148e-08,2.9017185099178278e-08
1846,6.147226461195032e-08,9.952652035849496e-09
1847,3.343798482546845e-08,2.2651539310913904e-08
1848,6.757986370509173e-08,1.850401076808339e-08
1849,5.6980021589936314e-08,2.9327951622803994e-08
1850,3.86972773824823e-08,1.6293590476834652e-08
1851,4.708090450833424e-08,1.3543821175687754e-08
1852,9.440291082185581e-08,2.408901877970493e-08
1853,7.942669344451758e-08,1.911018188138769e-08
1854,8.209149493509926e-08,2.338049043260071e-08
1855,5.041590256382733e-08,2.7596072982305486e-08
1856,6.160855203773963e-08,2.7439103433835044e-08
1857,7.419893588433979e-08,2.147863931156735e-08
1858,5.2851699905431815e-08,2.838332058274773e-08
1859,8.402086004721809e-08,1.323965115318515e-08
1860,4.668727759948865e-08,1.9681891672007623e-08
1861,7.262584400535843e-08,2.263662679524714e-08
1862,5.647482881343535e-08,2.2589931703009825e-08
1863,5.2942979333892026e-08,2.6471489888990618e-08
1864,6.281093734017418e-08,1.582260189536555e-08
1865,6.824924114745556e-08,3.577201823645737e-08
1866,6.763201848558609e-08,2.1408697037372804e-08
1867,7.182160999263942e-08,1.6984840200962026e-08
1868,7.459209516724741e-08,2.4699369660652337e-08
1869,6.495080562274325e-08,2.3440891894210836e-08
1870,6.07809180763752e-08,1.490852596930381e-08
1871,2.1242353653860846e-08,8.496941816815706e-09
1872,4.8378715256092164e-08,1.269941218851045e-08
1873,7.243065569539908e-08,6.584604861359367e-09
1874,6.691562004501606e-08,1.9118749250424116e-08
1875,6.293679666313778e-08,1.3159512590732447e-08
1876,7.617978403651193e-08,2.5997863417615008e-08
