year,est_VERB aux_ADP,est_VERB faux_ADJ
1800,3.0466953830909915e-06,2.7448556920717238e-06
1801,3.155066906401771e-06,2.9860029826522805e-06
1802,2.7637324819806963e-06,2.7659702936944086e-06
1803,2.7967864753009053e-06,2.233138502560905e-06
1804,3.5396906241658144e-06,2.5163442387565738e-06
1805,3.104422376054572e-06,2.447717633913271e-06
1806,3.0660960419481853e-06,3.1035576739668613e-06
1807,2.8184856546431547e-06,2.5907290819304762e-06
1808,3.1498427688347874e-06,2.773674623313127e-06
1809,2.713095682338462e-06,3.058727315874421e-06
1810,2.557758534749155e-06,2.7402884370530955e-06
1811,2.7477560706756776e-06,2.492034354872885e-06
1812,2.7152179882250493e-06,1.8803817738444195e-06
1813,2.4961436793091707e-06,2.8469842163758585e-06
1814,2.608595423225779e-06,2.6998488920071395e-06
1815,2.23599840865063e-06,3.274429445809801e-06
1816,2.0047273210366257e-06,3.881986685883021e-06
1817,2.522134991522762e-06,3.8361358747351915e-06
1818,2.416422603346291e-06,4.009091753687244e-06
1819,2.8020292575092753e-06,4.022418124804972e-06
1820,2.5311203444289276e-06,4.921029812976485e-06
1821,2.824330294970423e-06,4.225647899147589e-06
1822,2.9515413189074025e-06,3.635288294390193e-06
1823,2.432129349472234e-06,3.4243510071974015e-06
1824,2.4892808596632676e-06,3.3044445899577113e-06
1825,2.9850452847313136e-06,3.1664374091633363e-06
1826,2.379917305006529e-06,3.347033953104983e-06
1827,2.5089416340051685e-06,3.2758189263404347e-06
1828,2.3398540633934317e-06,3.4130132462451e-06
1829,2.7897115160158137e-06,3.7070412872708403e-06
1830,2.490229007889866e-06,4.856259693042375e-06
1831,2.7237836093263468e-06,3.727857347257668e-06
1832,3.0050061923247995e-06,3.164659801768721e-06
1833,2.8611561901925597e-06,2.55650684266584e-06
1834,2.9357099720073165e-06,3.1233339541358873e-06
1835,2.8732169994327705e-06,3.2498589916940546e-06
1836,2.7185433282284066e-06,2.88656224256556e-06
1837,2.620341774672852e-06,2.855518459909945e-06
1838,2.687718506422243e-06,2.9017007818765705e-06
1839,2.4672915515111526e-06,2.2624412849836517e-06
1840,2.791834504023427e-06,3.2294321954395855e-06
1841,2.6683799205784453e-06,3.10947166326514e-06
1842,2.6189065920334542e-06,3.146847120660823e-06
1843,2.7248581773164915e-06,3.921007646567887e-06
1844,2.6756736133393133e-06,2.937478029707563e-06
1845,2.58308750744618e-06,2.4592063709860668e-06
1846,2.676092663023155e-06,2.842360345312045e-06
1847,2.7311284611641895e-06,2.772656216620817e-06
1848,2.950182761196629e-06,2.9912134777987376e-06
1849,2.84900102087704e-06,2.2364658889273414e-06
1850,2.792314035104937e-06,3.1195436349662486e-06
1851,2.8138902052887715e-06,3.1582901556248544e-06
1852,3.117249207207351e-06,2.7617734303930774e-06
1853,2.968647322632023e-06,2.4311734705406707e-06
1854,2.8612523692572722e-06,2.2398510282073403e-06
1855,3.027076900252723e-06,3.0557343961845618e-06
1856,2.917863866969128e-06,2.361833821851178e-06
1857,2.9733271276199957e-06,2.313347067683935e-06
1858,3.0389728635782376e-06,2.592180180727155e-06
1859,3.2498251130164135e-06,2.5634001303842524e-06
1860,3.0905146104487358e-06,2.7911667075386504e-06
1861,3.6124281450611306e-06,2.6682923817133997e-06
1862,3.3306594104942633e-06,2.4735975330258952e-06
1863,3.3404023724870058e-06,2.8089748411730397e-06
1864,3.3481585433037253e-06,2.5819610982580343e-06
1865,3.2392501907452242e-06,2.7478556603455218e-06
1866,3.2044927138485946e-06,2.2381818780559115e-06
1867,3.4454960768925957e-06,1.982858748306171e-06
1868,3.233641564293066e-06,1.9660699308587937e-06
1869,3.1117783692025114e-06,2.512082346584066e-06
1870,2.99661382996419e-06,2.398552624072181e-06
1871,3.1959123134583933e-06,2.1507883047888754e-06
1872,3.2867289974092273e-06,2.1159639800316654e-06
1873,3.126490128124715e-06,2.013093308050884e-06
1874,3.011800572494394e-06,1.6949966266111005e-06
1875,3.2355235362047097e-06,2.392170472376165e-06
1876,3.3186574910359923e-06,2.438962383166654e-06
1877,3.3002177133312216e-06,1.8307055142940953e-06
1878,3.1264362405636348e-06,1.8763448679237626e-06
1879,3.2330549402104225e-06,2.201190000050701e-06
1880,3.209564965800382e-06,2.1185310288274195e-06
1881,3.2150232982530724e-06,1.6761907772888662e-06
1882,3.426857801969163e-06,1.558025701342558e-06
