year,tout_DET air_NOUN,tout_DET fer_NOUN
1800,8.803660733747165e-08,2.829747991484055e-08
1801,1.0239084957675004e-07,9.762848840466631e-08
1802,8.056224487518193e-08,2.2378401354217203e-09
1803,4.6808139586573816e-08,9.751696339321825e-09
1804,1.5819846055364906e-07,4.2021466750696845e-08
1805,1.0802935435094696e-07,8.528633133053631e-09
1806,4.610670600868616e-08,0.0
1807,3.4163460504998966e-08,1.4234776024579787e-08
1808,8.837688625362716e-08,3.3991110814923786e-08
1809,7.680704072754452e-08,1.3554183553310395e-08
1810,1.7316938283329364e-07,1.1700633351097167e-08
1811,2.0056613259100686e-08,2.5070767684098882e-09
1812,9.601949368942542e-08,1.0402111882967802e-07
1813,5.176335093892703e-08,1.7254449868886468e-08
1814,1.6048053197437184e-07,3.1466772298927026e-08
1815,5.933891955578474e-08,1.3486117556027466e-08
1816,8.806894591373293e-08,2.3176038865813098e-09
1817,6.538868291272593e-08,2.9580594862466114e-08
1818,9.656153565629211e-08,1.907388313959757e-08
1819,5.693077387292078e-08,2.794783426907088e-08
1820,8.899861114741725e-08,9.493184904840746e-09
1821,8.185035138552621e-08,1.3806083387635226e-08
1822,5.213320264374488e-08,2.606660132187244e-08
1823,5.040170203418626e-08,3.95307486744656e-09
1824,6.147412268120434e-08,1.7684336661716316e-08
1825,1.0126259830656181e-07,1.584979791857677e-08
1826,5.549030035467695e-08,1.2331177856594877e-08
1827,7.189472972513045e-08,2.3964910056406552e-08
1828,4.769596717579816e-08,2.109629271274116e-08
1829,1.243110556714555e-07,2.743416338546467e-08
1830,3.965997530386289e-08,7.305785310052215e-09
1831,3.897801348351493e-08,7.795603274018958e-09
1832,4.19429042608499e-08,2.0294954272692678e-08
1833,3.243415958031903e-08,3.59092489077284e-08
1834,2.42697808516823e-08,1.3068342852307069e-08
1835,5.7479468296151026e-08,2.117664621437143e-08
1836,3.8980349170714135e-08,1.6129800772812786e-08
1837,6.192522938874845e-08,2.2265250088082666e-08
1838,3.913540558286854e-08,3.597932263232906e-08
1839,4.6842884238174065e-08,1.6779539646627484e-08
1840,2.7389661649834807e-08,1.52872523528913e-08
1841,3.5955071808757566e-08,1.4125206337922691e-08
1842,3.6224630406422875e-08,1.408735705865638e-08
1843,6.852016487535195e-08,1.6539351221922516e-08
1844,4.9945909186277504e-08,1.646568403845805e-08
1845,3.0691253649628436e-08,1.5066615066672284e-08
1846,3.0443406462410394e-08,1.9319855049104717e-08
1847,1.9954927488186058e-08,1.4561703842730367e-08
1848,2.735375348450475e-08,1.9308531440387355e-08
1849,2.0110596077316245e-08,7.54147322368226e-09
1850,2.308258650884909e-08,1.6293590476834652e-08
1851,2.5152811833351052e-08,1.805842853030981e-08
1852,3.971432893656868e-08,1.2370036106545967e-08
1853,4.001194353620008e-08,7.763511389313749e-09
1854,4.1565314301550416e-08,6.234797400583858e-09
1855,5.890700194299825e-08,3.131092896069276e-08
1856,4.607698289582629e-08,7.248065037046558e-09
1857,6.053071155420753e-08,3.4170563045776703e-09
1858,3.6213203102875013e-08,2.936205500958522e-09
1859,4.8884864156661934e-08,1.2730433818219922e-08
1860,3.890606170564581e-08,7.323494255473406e-09
1861,2.405141441563785e-08,1.5091083938045813e-08
1862,2.6656119089807362e-08,8.584174260306554e-09
1863,3.4962344408473456e-08,2.4973104029157867e-08
1864,4.7947280257254477e-08,1.582260233945476e-08
1865,3.765475320438583e-08,1.5061902391977355e-08
1866,4.427707916976331e-08,3.4059290943133647e-09
1867,2.426405742994575e-08,1.164674756637396e-08
1868,1.877152078222366e-08,7.409810987013543e-09
1869,3.7114745499167157e-08,9.278686263769487e-09
1870,2.9243648835830527e-08,8.601073187008978e-09
1871,1.0621176826930423e-08,8.496941816815706e-09
1872,4.354084193192165e-08,3.6284036886158333e-09
1873,3.3521626696675355e-08,9.577606707722452e-09
1874,3.10679680870507e-08,2.9275584623178474e-08
1875,1.4875970122396609e-08,2.2886108119735127e-08
1876,4.0508298493335815e-08,2.176565305767042e-08
1877,2.4120783148617875e-08,2.040989244278535e-08
1878,1.811726657585666e-08,1.1474268590827563e-08
1879,4.887460258728993e-08,1.1607717897987868e-08
1880,2.5671384795700192e-08,2.2462461668482092e-08
1881,2.9284531355422416e-08,4.183504653809678e-09
1882,2.5956001570293097e-08,8.652000893505374e-09
1883,2.654122283063387e-08,1.3270611554094813e-08
1884,3.4328825115892414e-08,1.4523733327109767e-08
1885,4.447488510805897e-08,2.2559724754955823e-08
1886,1.4842967244188543e-08,1.1616235306988187e-08
1887,2.285123695822122e-08,2.6115698492645834e-09
1888,2.346027505595316e-08,1.2047167929907232e-08
1889,4.51089832154139e-08,1.2530273263422487e-08
1890,4.0637195386494795e-08,9.176140736144589e-09
1891,2.1672347472190268e-08,1.529812720946211e-08
1892,2.1312942521944933e-08,8.149066088591894e-09
1893,1.4780199342201428e-08,1.6011882930655474e-08
1894,3.7179083589578e-08,6.9316932194141145e-09
1895,1.5648397910794642e-08,1.1435367319734269e-08
1896,2.2998413173880294e-08,1.2383761072154442e-08
1897,1.5732126934508983e-08,8.157399089547823e-09
1898,1.69750646872302e-08,7.3558613644664206e-09
