year,seraient_VERB in_ADJ,seraient_VERB fines_ADJ
1800,6.288328968651058e-09,0.0
1801,2.3811825844433088e-09,0.0
1802,4.475680270843441e-09,0.0
1803,9.751696339321825e-09,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,6.7770917766551975e-09,0.0
1810,9.360507036149102e-09,0.0
1811,1.504245972228091e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,8.627225156487839e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,6.227493631882908e-09,0.0
1818,2.026600220972341e-08,0.0
1819,2.070210003424222e-09,0.0
1820,5.933240565525466e-09,0.0
1821,6.903041693817613e-09,0.0
1822,9.023054303725075e-09,0.0
1823,1.087095569118901e-08,0.0
1824,1.8526447931321854e-08,0.0
1825,7.044354433105582e-09,0.0
1826,2.642395191543301e-09,0.0
1827,1.1982455028203276e-08,0.0
1828,2.7516904310687096e-09,0.0
1829,1.3717081692732336e-08,0.0
1830,2.0873671680021744e-09,0.0
1831,3.1182412207897414e-09,0.0
1832,1.488296597074168e-08,0.0
1833,9.266902800675325e-09,6.950177322551099e-09
1834,8.401078055442213e-09,0.0
1835,7.563087933704082e-09,0.0
1836,3.36037508930076e-09,0.0
1837,6.957891152126194e-09,0.0
1838,5.049729523420865e-09,0.0
1839,7.690622361167243e-09,0.0
1840,6.3696887764308485e-09,0.0
1841,7.704658244733764e-09,6.420548537278137e-10
1842,4.695785538189057e-09,0.0
1843,4.134837805480629e-09,0.0
1844,7.1351298203126134e-09,0.0
1845,7.254296274794569e-09,0.0
1846,2.3418005312692003e-09,0.0
1847,4.314578916364553e-09,0.0
1848,8.84974404868899e-09,0.0
1849,5.02764896381791e-09,0.0
1850,3.394498016007219e-09,0.0
1851,1.3543821175687754e-08,0.0
1852,1.9531636308300904e-09,0.0
1853,4.180352064508952e-09,0.0
1854,1.0910895298366086e-08,0.0
1855,4.2455496895854594e-09,0.0
1856,3.1063134287023786e-09,0.0
1857,2.4407544874094356e-09,0.0
1858,2.936205500958522e-09,0.0
1859,1.5276520048956854e-09,0.0
1860,6.408057640072684e-09,0.0
1861,1.4147891747029462e-09,0.0
1862,2.710791813242963e-09,0.0
1863,4.994620717013731e-09,0.0
1864,8.151037178549814e-09,0.0
1865,5.177528628053096e-09,4.706844358715045e-10
1866,4.379051787850585e-09,9.731225825149181e-10
1867,6.308654931785895e-09,4.85281148598915e-09
1868,7.409810987013543e-09,0.0
1869,3.4184632902167778e-09,0.0
1870,5.734048791339319e-09,0.0
1871,4.248470908407853e-09,0.0
1872,3.0236697590169115e-09,0.0
1873,4.788803575905831e-09,5.986004469882289e-10
1874,2.9873046258899194e-09,0.0
1875,3.432916173551348e-09,0.0
1876,0.0,0.0
1877,3.0924081073635534e-09,0.0
1878,3.6234530931267273e-09,0.0
1879,0.0,0.0
1880,3.8507077526617195e-09,0.0
1881,2.7890030285249168e-09,0.0
1882,1.9966155395678697e-09,0.0
1883,3.791603475633565e-09,2.5277355764075082e-09
1884,1.3203393933736152e-09,1.9805090900604227e-09
1885,5.156508553483263e-09,1.933690763067375e-09
1886,2.5813855497602844e-09,0.0
1887,5.876032105334161e-09,0.0
1888,1.9021844099853524e-09,0.0
1889,1.2530273485467092e-09,0.0
1890,5.898947996740844e-09,1.9663159989136147e-09
1891,6.374220040683554e-10,0.0
1892,2.5074049503359674e-09,0.0
1893,5.542574843531156e-09,0.0
1894,6.301539290376468e-09,0.0
1895,1.2037228991346183e-09,0.0
1896,2.948514543632541e-09,0.0
1897,5.826713556089658e-10,0.0
1898,2.26334195829736e-09,0.0
1899,1.6582735185011188e-09,2.2110313580014918e-09
1900,3.633737311048435e-09,2.595526460424935e-09
1901,5.029864968975062e-09,5.588738916095792e-10
1902,1.4730852093691738e-09,0.0
1903,1.0800440541913758e-09,4.320176216765503e-09
1904,1.0749250378694342e-09,5.374625189347171e-10
1905,2.0643036169332163e-09,5.160759042333041e-10
1906,3.0865106026567446e-09,0.0
1907,1.5428529565042481e-09,0.0
1908,2.9468334439286537e-09,0.0
1909,2.7504918342913243e-09,0.0
1910,5.878565634276356e-09,0.0
1911,1.5961122423746588e-09,0.0
1912,1.0418842455450772e-09,0.0
1913,2.6514948014977335e-09,0.0
1914,1.6072185360371805e-08,0.0
1915,7.068456930880984e-09,0.0
1916,4.394984820521586e-09,0.0
1917,2.1932848870420685e-09,0.0
1918,5.743188147278033e-09,0.0
1919,1.8415696745321952e-09,0.0
1920,1.514446346106979e-09,0.0
1921,3.0290989716519334e-09,0.0
1922,4.426761179843197e-09,0.0
1923,3.1847844361720945e-09,1.0615948120573648e-09
1924,0.0,0.0
1925,6.598906754362588e-09,0.0
1926,5.57306911730393e-09,0.0
1927,4.4596899506643695e-09,0.0
1928,0.0,0.0
1929,2.2280812750352652e-09,0.0
1930,1.0503603542488804e-09,0.0
1931,1.1405356659111021e-09,0.0
1932,2.1919073223131136e-09,0.0
1933,1.1470662197865522e-09,0.0
