year,serait_VERB in_ADJ,serait_VERB fine_ADJ
1800,6.288328968651058e-09,0.0
1801,1.4287095950749062e-08,0.0
1802,1.5664880947952042e-08,0.0
1803,2.3404069793286908e-08,0.0
1804,1.9774807569206132e-08,0.0
1805,3.695740957709859e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,2.4849335034105025e-08,0.0
1810,1.6380887757350138e-08,0.0
1811,3.008491944456182e-08,0.0
1812,4.5342538612658245e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,6.293354282149721e-09,0.0
1815,2.6972236000233352e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,1.8682481339737933e-08,3.113746815941454e-09
1818,2.98029441125891e-08,4.768470951432846e-09
1819,2.6912729822470283e-08,8.280840013696888e-09
1820,1.4239777357261119e-08,0.0
1821,2.9584464655840748e-08,5.9168927535324656e-09
1822,3.60922172149003e-08,0.0
1823,1.7788837070042973e-08,3.9530747564242574e-09
1824,4.7158231097910175e-08,8.421112696055388e-10
1825,2.201360693732113e-08,1.7610886082763955e-09
1826,1.6735169694470642e-08,8.807984341885344e-10
1827,3.133872894522938e-08,7.373818444733615e-09
1828,4.769596628761974e-08,8.255071293206129e-09
1829,2.5719527840806222e-08,0.0
1830,4.4878394334091354e-08,1.0436835395921662e-08
1831,1.2472964883158966e-08,1.5591206103948707e-09
1832,3.2471927369215337e-08,1.3529969367098715e-09
1833,2.0850531967653296e-08,1.1583628500844156e-09
1834,3.453776287187793e-08,1.8669061851994684e-09
1835,2.193295500774184e-08,3.025235173481633e-09
1836,2.5538851033957144e-08,2.016224964762614e-09
1837,4.5226290268374214e-08,1.3915781860163179e-09
1838,1.7042836475411605e-08,8.837027110075724e-09
1839,2.1673573158409454e-08,6.9914751765765e-10
1840,2.293087852933695e-08,0.0
1841,1.9903700021473014e-08,0.0
1842,2.1466448174578545e-08,6.708265054555795e-10
1843,3.839492279666956e-08,5.906911071384968e-10
1844,2.305195678786731e-08,0.0
1845,2.4553003186156275e-08,5.580227946389016e-10
1846,3.219975752699611e-08,5.854501328173001e-10
1847,3.128069891999985e-08,1.0786447290911383e-09
1848,1.769948809737798e-08,1.6090443422100975e-09
1849,2.3462362719328667e-08,0.0
1850,2.3761487000228954e-08,6.788996032014438e-10
1851,2.7087642351375507e-08,0.0
1852,2.4740073101270355e-08,0.0
1853,1.851298847554972e-08,5.971931837933653e-10
1854,2.0782657372819813e-08,3.117398783558656e-09
1855,3.8209947206269135e-08,1.0613874223963649e-09
1856,3.158085348786699e-08,0.0
1857,1.9526035899275485e-08,0.0
1858,2.6915218498402282e-08,2.4468380654951716e-09
1859,2.1387128512628806e-08,5.092173349652285e-10
1860,1.2816115280145368e-08,1.8308735638683515e-09
1861,3.301174444914068e-08,0.0
1862,1.536115412648087e-08,2.2589932147099034e-09
1863,1.9978482868054925e-08,9.989241656072068e-10
1864,2.0617330065419992e-08,9.589455896019672e-10
1865,1.3179164426446732e-08,0.0
1866,2.3354942868536455e-08,0.0
1867,1.6984840200962026e-08,4.85281148598915e-10
1868,2.0747471296544973e-08,9.87974813071446e-10
1869,1.5138908793232986e-08,4.883519144627257e-10
1870,2.5803219116937726e-08,0.0
1871,3.186353225714811e-08,0.0
1872,2.1770421909650395e-08,1.2094678591978436e-09
1873,3.292302608315367e-08,5.986004469882289e-10
1874,2.0911132381229436e-08,2.9873046258899194e-09
1875,2.1169650921137873e-08,0.0
1876,2.2974855795609983e-08,1.813804439976252e-09
1877,1.9791411176584006e-08,6.184815992682502e-10
1878,1.872117572077059e-08,0.0
1879,1.8327975581655664e-08,7.331190321480108e-09
1880,3.658172431642015e-08,6.417846254436199e-10
1881,2.091752193678076e-08,0.0
1882,1.3976308999019693e-08,0.0
1883,2.0221884611260066e-08,1.2638677882037541e-09
1884,3.036780782394999e-08,6.601696966868076e-10
1885,2.5782542323327107e-08,0.0
1886,2.3232470169887165e-08,6.453463874400711e-10
1887,2.415702127223085e-08,0.0
1888,2.2192152115962926e-08,0.0
1889,2.4434033463194282e-08,0.0
1890,1.0487018364813139e-08,3.9326319978272295e-09
1891,2.6134301833735663e-08,0.0
1892,1.6298132621272998e-08,0.0
1893,1.7859408174558666e-08,3.695050043717174e-09
1894,1.827446460822557e-08,0.0
1895,1.1435367319734269e-08,6.018614495673091e-10
1896,1.7101383420481397e-08,2.948514543632541e-09
1897,1.3984112534615178e-08,0.0
1898,9.619203211741478e-09,1.6975064687230201e-09
1899,1.1055156790007459e-08,5.527578395003729e-10
1900,1.6092265298084385e-08,3.633737311048435e-09
1901,1.397184767881754e-08,6.706486921359556e-09
1902,1.276673788908056e-08,4.910283846193408e-10
1903,2.7001101798873606e-08,0.0
1904,1.7736262236667244e-08,0.0
1905,1.9610883583709438e-08,0.0
1906,1.1317205839134203e-08,5.144184522798412e-10
1907,1.491424583832668e-08,1.5428529565042481e-09
1908,2.0627833663411366e-08,0.0
1909,1.8153246017504898e-08,0.0
1910,1.2291546447329438e-08,5.344150677544235e-10
1911,1.649316061502759e-08,0.0
1912,1.2502610502451716e-08,0.0
1913,1.2727175757731857e-08,5.30298971401777e-10
1914,1.2054139020278853e-08,6.696743715117748e-10
1915,1.295883844676382e-08,2.3561523843085297e-09
1916,1.8678685265172135e-08,1.0987462051303964e-09
1917,1.315970976634162e-08,1.0966424435210342e-09
1918,1.8378202071289707e-08,1.1486376294556067e-09
1919,1.749491218561161e-08,0.0
1920,1.2115570768855832e-08,7.572231730534895e-10
1921,6.815472630705699e-09,7.572747429129834e-10
1922,1.696925089333945e-08,3.6889677978990676e-09
1923,2.1231896241147297e-08,3.1847844361720945e-09
1924,1.5469948877466777e-08,0.0
1925,2.0896537833436923e-08,0.0
1926,6.687683296036084e-09,0.0
1927,1.3379070296082318e-08,0.0
1928,1.3711249025050165e-08,3.4278122562625413e-09
