year,eut_VERB été_VERB,eut_VERB eté_VERB,eut_VERB fêté_VERB
1800,4.757120677822968e-06,6.288328968651058e-09,0.0
1801,3.7336942568799714e-06,7.143547975374531e-09,0.0
1802,5.339486506272806e-06,3.3567602031325805e-08,0.0
1803,5.037726168666268e-06,9.751696339321825e-09,0.0
1804,4.481465566641418e-06,7.4155526164076946e-09,0.0
1805,5.225209406489739e-06,1.1371510844071508e-08,0.0
1806,4.7633989197493065e-06,2.305335300434308e-08,0.0
1807,4.774343778990442e-06,5.693910232196231e-09,0.0
1808,4.767819518747274e-06,2.2660739951163578e-09,0.0
1809,4.874988007941283e-06,9.036122072814123e-09,0.0
1810,3.854188889818033e-06,1.8721014072298203e-08,0.0
1811,6.305298029474216e-06,2.2563691359778204e-08,0.0
1812,4.355551027401816e-06,1.0668832928217853e-08,0.0
1813,4.2589731492626015e-06,1.4378708002027452e-08,0.0
1814,5.83393921260722e-06,0.0,0.0
1815,5.6668668548809364e-06,8.091670444798638e-09,0.0
1816,4.6838772504997905e-06,1.3905623319487859e-08,0.0
1817,5.164149115444161e-06,1.0898113522728181e-08,0.0
1818,5.382411472965032e-06,1.3113295338484932e-08,0.0
1819,5.2003674682055134e-06,2.173720581311045e-08,0.0
1820,4.4807834456150886e-06,1.542642635854463e-08,0.0
1821,4.669414920499548e-06,1.4792232327920374e-08,0.0
1822,5.3246044444676954e-06,9.023054303725075e-09,0.0
1823,4.9680265874485485e-06,2.9648061783404955e-09,0.0
1824,7.336473572649993e-06,2.105278085196005e-08,1.7684335773537896e-08
1825,6.070472409192007e-06,5.283265824829186e-09,0.0
1826,5.657368546962971e-06,2.2019960965735663e-08,8.807984341885344e-10
1827,5.311914264893858e-06,2.1199728195142598e-08,1.1060727445055818e-08
1828,5.124564722791547e-06,1.1923991571904935e-08,0.0
1829,4.526636985247023e-06,1.1145129263923081e-08,0.0
1830,4.525411895883735e-06,7.305785310052215e-09,0.0
1831,4.4263433665037155e-06,7.795603274018958e-09,0.0
1832,4.244351202942198e-06,4.058990921151917e-09,0.0
1833,4.414520844875369e-06,4.6334514003376626e-09,0.0
1834,4.581387656799052e-06,1.0267983796552471e-08,9.334530925997342e-10
1835,4.907687980448827e-06,7.563087933704082e-09,4.5378527602224494e-09
1836,5.29931139681139e-06,7.392825018825988e-09,6.720750067579218e-10
1837,5.717298790841596e-06,4.174734336004349e-09,1.3915781860163179e-09
1838,5.749117008235771e-06,5.049729523420865e-09,6.312161904276081e-10
1839,5.644917109748349e-06,4.894032734625853e-09,0.0
1840,5.917440830671694e-06,8.280594876453051e-09,1.9109065441114126e-09
1841,5.411880465544527e-06,6.420548537278137e-09,0.0
1842,5.069435701443581e-06,4.024959032733477e-09,6.037438549100216e-09
1843,5.101208444102667e-06,4.134837805480629e-09,0.0
1844,5.482523647515336e-06,4.390849017710252e-09,0.0
1845,4.6483301048283465e-06,1.1160455892778032e-09,0.0
1846,4.675990112446016e-06,1.1709002656346001e-09,0.0
1847,4.829631961911218e-06,2.6966118227278457e-09,0.0
1848,4.74024454888422e-06,7.24069959545659e-09,0.0
1849,4.7695630200905725e-06,1.6758829879393033e-09,0.0
1850,4.991948571841931e-06,4.073397619208663e-09,0.0
1851,5.00089481647592e-06,5.159551008659946e-09,0.0
1852,4.800876013177913e-06,7.161600201754936e-09,0.0
1853,4.558972705126507e-06,4.777545470346922e-09,2.388772735173461e-09
1854,4.700517820310779e-06,1.6626126253527218e-08,0.0
1855,4.730073214886943e-06,3.714855978387277e-09,0.0
1856,4.425461156642996e-06,1.5531567143511893e-09,0.0
1857,4.610585165210068e-06,1.3668225662399891e-08,0.0
1858,4.358797013992444e-06,2.936205500958522e-09,0.0
