year,fût_VERB aux_ADP,fût_VERB faux_ADJ
1800,9.118077315406481e-08,9.432493897065797e-09
1801,7.619784270218588e-08,1.4287095950749062e-08
1802,7.608656460433849e-08,4.475680270843441e-09
1803,3.90067853572873e-08,1.755305234496518e-08
1804,1.1864884186252311e-07,3.9549615138412264e-08
1805,7.107194477384837e-08,2.2743021688143017e-08
1806,3.1698359492793315e-08,8.645007376628655e-09
1807,2.0782772480743006e-07,1.9928686256776018e-08
1808,7.251436784372345e-08,9.064295980465431e-09
1809,1.355418248749629e-07,6.7770917766551975e-09
1810,1.427477371862551e-07,5.616304221689461e-08
1811,2.2563691004506836e-07,5.0141537144554604e-08
1812,9.335229123053068e-08,5.3344164641089264e-09
1813,4.601186631703058e-08,8.627225156487839e-09
1814,5.034683425719777e-08,1.8880061958270744e-08
1815,1.1328339155625144e-07,8.091670444798638e-09
1816,5.5622493277951435e-08,4.6352077731626196e-09
1817,1.0898114055635233e-07,2.80237220096069e-08
1818,7.27191817873063e-08,2.6226590676969863e-08
1819,1.3456364911235141e-07,2.3807414706311647e-08
1820,6.40789963313182e-08,3.322614716694261e-08
1821,7.691961201317099e-08,4.141825016290568e-08
1822,7.519211919770896e-08,3.0076847679083585e-08
1823,1.5120511420718685e-07,4.4472091786929013e-08
1824,1.2547458538847422e-07,3.2842340402794434e-08
1825,3.6982861217893515e-08,3.0819052199149155e-08
1826,1.2507338453815464e-07,5.108631029315802e-08
1827,1.0599863742299931e-07,3.594736597278825e-08
1828,7.06267186956211e-08,3.760643352279658e-08
1829,1.4745862131348986e-07,3.8579290873030914e-08
1830,7.723258477199124e-08,1.878630406793036e-08
1831,6.548306430431694e-08,1.5591206548037917e-08
1832,9.606278439378002e-08,5.411987746839486e-09
1833,1.0772774317047151e-07,1.853380560135065e-08
1834,8.214387037241977e-08,2.7070139907436896e-08
1835,1.520180603620247e-07,9.075705520444899e-09
1836,1.0013917517426307e-07,2.2178475944656384e-08
1837,8.071153700939249e-08,1.7394727436226276e-08
1838,1.312929640562288e-07,2.7773513266993177e-08
1839,1.0207553913232914e-07,2.307186797168015e-08
1840,1.2866770759956125e-07,1.2739377552861697e-08
1841,1.1043343306482711e-07,3.980740004294603e-08
1842,1.1001554867107188e-07,3.6224630406422875e-08
1843,1.228637529493426e-07,2.658109998776581e-08
1844,9.989181393166291e-08,1.1525978393933656e-08
1845,7.14269177137794e-08,1.1160455670733427e-08
1846,9.425747293789755e-08,3.1614305839866574e-08
1847,1.3914517182911368e-07,2.2112217834546755e-08
1848,9.010648227558704e-08,1.448139919091318e-08
1849,6.535943697372204e-08,1.005529792763582e-08
1850,5.906426636670403e-08,6.1100964288129944e-09
1851,7.610337604546658e-08,2.5152811389261842e-08
1852,8.007970819789989e-08,9.765818376195057e-09
