year,est_VERB au_ADP,est_VERB faux_ADJ
1800,4.08081104978919e-05,2.7448556920717238e-06
1801,3.792747520492412e-05,2.9860029826522805e-06
1802,4.0422106394544244e-05,2.7659702936944086e-06
1803,3.9829828892834485e-05,2.233138502560905e-06
1804,3.906018901034258e-05,2.5163442387565738e-06
1805,4.106821143068373e-05,2.447717633913271e-06
1806,3.417371408431791e-05,3.1035576739668613e-06
1807,3.8431047869380563e-05,2.5907290819304762e-06
1808,4.890414129476994e-05,2.773674623313127e-06
1809,3.3169344533234835e-05,3.058727315874421e-06
1810,3.2211843063123524e-05,2.7402884370530955e-06
1811,3.727020157384686e-05,2.492034354872885e-06
1812,2.952599425043445e-05,1.8803817738444195e-06
1813,3.4169563150499016e-05,2.8469842163758585e-06
1814,3.208981433999725e-05,2.6998488920071395e-06
1815,2.6087545847985893e-05,3.274429445809801e-06
1816,2.9621294743265025e-05,3.881986685883021e-06
1817,3.1356987165054306e-05,3.8361358747351915e-06
1818,2.7731042791856453e-05,4.009091753687244e-06
1819,2.8443650080589578e-05,4.022418124804972e-06
1820,2.8998119887546636e-05,4.921029812976485e-06
1821,2.9741262551397085e-05,4.225647899147589e-06
1822,2.9567547244369052e-05,3.635288294390193e-06
1823,2.6730691388365813e-05,3.4243510071974015e-06
1824,2.6309240638511255e-05,3.3044445899577113e-06
1825,2.8165090043330565e-05,3.1664374091633363e-06
1826,2.6703166440711357e-05,3.347033953104983e-06
1827,2.738636248977855e-05,3.2758189263404347e-06
1828,2.7096812118543312e-05,3.4130132462451e-06
1829,2.669429886736907e-05,3.7070412872708403e-06
1830,2.7450965717434883e-05,4.856259693042375e-06
1831,2.617763493617531e-05,3.727857347257668e-06
1832,3.066432327614166e-05,3.164659801768721e-06
1833,2.9118924430804327e-05,2.55650684266584e-06
1834,2.8295764423091896e-05,3.1233339541358873e-06
1835,2.9092174372635782e-05,3.2498589916940546e-06
1836,2.743410186667461e-05,2.88656224256556e-06
1837,2.7213702196604572e-05,2.855518459909945e-06
1838,2.5998531782533973e-05,2.9017007818765705e-06
1839,2.483511889295187e-05,2.2624412849836517e-06
1840,2.5396586352144368e-05,3.2294321954395855e-06
1841,2.569118259998504e-05,3.10947166326514e-06
1842,2.4905104510253295e-05,3.146847120660823e-06
1843,2.583033165137749e-05,3.921007646567887e-06
1844,2.5329161871923134e-05,2.937478029707563e-06
1845,2.5393384930794127e-05,2.4592063709860668e-06
1846,2.6247485948260874e-05,2.842360345312045e-06
1847,2.3872025849414058e-05,2.772656216620817e-06
1848,2.8931421184097417e-05,2.9912134777987376e-06
1849,2.569296157162171e-05,2.2364658889273414e-06
1850,2.5122000806732103e-05,3.1195436349662486e-06
1851,2.5224400815204717e-05,3.1582901556248544e-06
1852,2.4791506803012453e-05,2.7617734303930774e-06
1853,2.6622872610460036e-05,2.4311734705406707e-06
1854,2.581465923867654e-05,2.2398510282073403e-06
1855,2.529710764065385e-05,3.0557343961845618e-06
1856,2.554373349994421e-05,2.361833821851178e-06
1857,2.5801704396144487e-05,2.313347067683935e-06
1858,2.600108018668834e-05,2.592180180727155e-06
1859,2.51196906901896e-05,2.5634001303842524e-06
1860,2.493787178536877e-05,2.7911667075386504e-06
1861,2.608682552818209e-05,2.6682923817133997e-06
1862,2.5174220354529098e-05,2.4735975330258952e-06
1863,2.4695902538951486e-05,2.8089748411730397e-06
1864,2.6334084395784885e-05,2.5819610982580343e-06
1865,2.565559589129407e-05,2.7478556603455218e-06
1866,2.6896135750575922e-05,2.2381818780559115e-06
1867,2.612899334053509e-05,1.982858748306171e-06
1868,2.5259058020310476e-05,1.9660699308587937e-06
1869,2.5620895030442625e-05,2.512082346584066e-06
1870,2.561858309491072e-05,2.398552624072181e-06
1871,2.4558286895626225e-05,2.1507883047888754e-06
1872,2.509162004571408e-05,2.1159639800316654e-06
1873,2.5441117031732574e-05,2.013093308050884e-06
1874,2.479641989339143e-05,1.6949966266111005e-06
1875,2.571483128122054e-05,2.392170472376165e-06
1876,2.651782051543705e-05,2.438962383166654e-06
1877,2.6399886337458156e-05,1.8307055142940953e-06
1878,2.5254261345253326e-05,1.8763448679237626e-06
1879,2.5747140171006322e-05,2.201190000050701e-06
1880,2.445135214657057e-05,2.1185310288274195e-06
1881,2.569438765931409e-05,1.6761907772888662e-06
1882,2.501626113371458e-05,1.558025701342558e-06
1883,2.516360837034881e-05,1.6815761227917392e-06
1884,2.4918104827520438e-05,1.5626217191311298e-06
1885,2.4441205823677592e-05,1.7480564338256954e-06
1886,2.4139826564351097e-05,1.4636456171501777e-06
1887,2.3563541617477313e-05,1.63745426107198e-06
1888,2.3358825274044648e-05,1.666947582634748e-06
1889,2.3538119421573356e-05,1.6671529010636732e-06
1890,2.349616443098057e-05,1.840471668401733e-06
1891,2.393009708612226e-05,1.5374619124486344e-06
1892,2.339220736757852e-05,1.5395465879919357e-06
1893,2.346910878259223e-05,1.7619229311094387e-06
1894,2.355578362767119e-05,1.5961799135766341e-06
1895,2.3037449864204973e-05,1.7315553577645915e-06
1896,2.3341619453276508e-05,1.753186666064721e-06
1897,2.2322721633827314e-05,1.7008177337629604e-06
1898,2.3322607376030646e-05,1.7207057680934668e-06
1899,2.318819133506622e-05,1.7052578868970159e-06
1900,2.2379668735084124e-05,1.5910577531030867e-06
1901,2.2898739189258777e-05,1.7146251138910884e-06
1902,2.2628551960224286e-05,1.5246431530613336e-06
1903,2.2839150915388018e-05,1.7140299632956157e-06
1904,2.3011994926491752e-05,1.623674279471743e-06
1905,2.2046246158424765e-05,1.7396919247403275e-06
1906,2.2639042072114535e-05,1.7845176216724212e-06
1907,2.278433930769097e-05,1.7279953681281768e-06
1908,2.30373607337242e-05,1.8402975001663435e-06
1909,2.2710260964231566e-05,1.9176429759681923e-06
1910,2.2952592189540155e-05,1.8020475636149058e-06
1911,2.2230118702282198e-05,1.7541273109600297e-06
1912,2.2133788661449216e-05,1.7435933159504202e-06
1913,2.2230133254197426e-05,1.7897590396387386e-06
1914,2.1288278730935417e-05,1.6159242477442604e-06
1915,2.080600279441569e-05,1.5915809399302816e-06
1916,2.1298095816746354e-05,1.5854907360335346e-06
1917,2.2086378521635197e-05,1.754627874106518e-06
1918,2.109817614837084e-05,1.582822619639046e-06
1919,2.0785797460121103e-05,1.631630766496528e-06
1920,2.201247843913734e-05,1.6757348930696025e-06
1921,2.159974792448338e-05,1.4660838587587932e-06
1922,2.1418883989099413e-05,1.5449396641997737e-06
1923,2.1383704734034836e-05,1.830189489737677e-06
1924,2.3934589989949018e-05,1.595983121660538e-06
1925,2.1318868675734848e-05,1.60683384820004e-06
