year,tout_DET or_NOUN,tout_DET for_NOUN
1800,9.432493452976587e-09,3.144164484325529e-09
1801,4.286128785224719e-08,1.4287095950749062e-08
1802,2.4616241489638924e-08,2.2378401354217203e-09
1803,4.290746380419819e-08,0.0
1804,1.9774807569206132e-08,4.943701892301533e-09
1805,2.842877755426798e-08,0.0
1806,4.3225035994964855e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,2.4926814390369145e-08,2.2660739951163578e-09
1809,8.35841271751292e-08,2.259030518203531e-09
1810,1.8721014516387413e-08,2.3401267590372754e-09
1811,4.512738271955641e-08,2.5070767684098882e-09
1812,1.8670456736202823e-08,2.6672082320544632e-09
1813,5.7514832008109806e-08,2.8757416448144113e-09
1814,2.2026739543434815e-08,3.1466771410748606e-09
1815,2.6972236000233352e-08,2.697223555614414e-09
1816,3.476405829871965e-08,4.6352077731626196e-09
1817,3.89218364205135e-08,6.22749374290521e-09
1818,3.21871784780825e-08,2.384235475716423e-09
1819,3.415846616672269e-08,2.070210003424222e-09
1820,2.0173017922786585e-08,5.933240565525466e-09
1821,1.6764530097468366e-08,3.944595206029078e-09
1822,2.4061478143266868e-08,1.0025615893027862e-09
1823,6.819054299000982e-08,1.9765373782121287e-09
1824,1.7684337549894735e-08,8.421112696055388e-10
1825,7.132408930132783e-08,8.805443041381977e-10
1826,2.6423953580767545e-08,1.7615968683770689e-09
1827,1.4747637222534138e-08,1.8434546111834038e-09
1828,2.5682442839070063e-08,5.503380751115117e-09
1829,9.430493719264632e-09,1.714635211591542e-09
1830,2.5048406016026092e-08,4.174734336004349e-09
1831,7.951515157422762e-08,0.0
1832,1.0823975493678972e-08,2.705993873419743e-09
1833,4.865124036967927e-08,1.1583628500844156e-09
1834,4.013848342587778e-08,6.534171648198139e-09
1835,2.7227116561334697e-08,1.5126175867408165e-09
1836,2.0834324654384062e-08,4.032450096058682e-09
1837,4.3834712526447106e-08,1.3915781860163179e-09
1838,4.418513199766494e-08,1.8936485712828244e-09
1839,1.1466019300687691e-07,1.3982950353153e-09
1840,3.7581163736533085e-08,3.1848443882154243e-09
1841,3.467096254539115e-08,6.420548537278137e-10
1842,5.2324466537356784e-08,1.341653010911159e-09
1843,3.3078700778510495e-08,0.0
1844,2.1405388628270572e-08,2.195424508855126e-09
1845,3.459741143574391e-08,1.1160455892778032e-09
1846,2.868705673009231e-08,0.0
1847,3.289866423727972e-08,2.1572894581822766e-09
1848,1.850401076808339e-08,0.0
1849,1.5920888163378777e-08,1.6758829879393033e-09
1850,2.5798185809833285e-08,4.752297222410107e-09
1851,2.257303544084266e-08,6.449438760824933e-10
1852,3.711010876372711e-08,2.6042181744401205e-09
1853,3.1054045557254994e-08,1.7915795513800958e-09
1854,3.1693553004252806e-08,3.6369650624479277e-09
1855,2.812676669350367e-08,5.306937111981824e-10
1856,2.174419438949471e-08,1.5531567698623405e-09
1857,2.4407545762272775e-08,1.4644527812635033e-09
1858,8.808616835942473e-09,4.893676019968041e-10
1859,1.9859475397510096e-08,1.018434669930457e-09
1860,3.249800462068464e-08,9.154367819341758e-10
1861,4.527325092595902e-08,0.0
1862,3.433669720775967e-08,4.517986262886353e-10
1863,5.494082988555249e-08,9.989241656072068e-10
1864,1.726102105692462e-08,1.4384183844029508e-09
1865,4.0008176604988677e-08,1.4120533076145136e-09
1866,4.4763639239775443e-08,4.865612912574591e-10
1867,2.7661025470138156e-08,4.85281148598915e-10
1868,2.2723420589620957e-08,9.87974813071446e-10
1869,3.5161337064160136e-08,1.4650557433881772e-09
1870,2.5803219116937726e-08,1.7202146374017957e-09
1871,4.991953339583688e-08,1.0621177271019633e-09
1872,2.9027229508926666e-08,1.2094678591978436e-09
1873,2.7535620672480832e-08,2.9930022349411445e-09
1874,3.405527093658378e-08,7.766991494406739e-09
1875,2.059749715233039e-08,0.0
1876,1.8138044177717916e-08,2.418405919968336e-09
1877,4.329371305900054e-08,1.2369631985365004e-09
1878,2.596808079680102e-08,6.039088673581716e-10
1879,5.437299632760073e-08,0.0
1880,1.8611755026043397e-08,1.2835692508872398e-09
1881,2.8587281097891548e-08,1.3945015142624584e-09
1882,5.257754431831074e-08,6.655385131892899e-10
1883,2.0853819060473455e-08,3.159669414998234e-09
1884,2.77271263726675e-08,6.601696966868076e-10
1885,2.7716233141905633e-08,6.445635691854079e-10
1886,6.51799884066051e-08,6.453463874400711e-10
1887,2.415702088365279e-08,0.0
1888,2.4728396885720372e-08,2.53624587998047e-09
1889,2.8193114509633688e-08,6.265136742733546e-10
1890,3.9981758626073116e-08,0.0
1891,1.8485237118781583e-08,0.0
1892,3.949162885596991e-08,1.2537024751679837e-09
1893,2.2786141251618375e-08,1.2316833108982905e-09
1894,3.465846609707057e-08,0.0
1895,3.4306102847381226e-08,6.018614495673091e-10
1896,1.6511681522057842e-08,0.0
1897,1.8062812245922544e-08,0.0
1898,2.2067583871354657e-08,0.0
1899,1.4371703827009696e-08,3.8693048765026106e-09
1900,2.1283317441778138e-08,1.5573159428683425e-09
1901,2.2913829722526202e-08,0.0
1902,3.338992993207057e-08,1.9641135384773634e-09
1903,2.8621168546294484e-08,6.480264325148255e-09
1904,8.599400302955473e-09,1.0749250378694342e-09
1905,2.8384175565498992e-08,5.160759042333041e-10
1906,2.1605575106775632e-08,1.5432553013283723e-09
1907,2.674278520853335e-08,5.142843373384665e-10
1908,3.3397447030125704e-08,2.4556945366072114e-09
1909,1.9253442284927758e-08,5.500983557560346e-10
1910,1.8704527149360217e-08,0.0
1911,2.6601871261355825e-08,1.5961122423746588e-09
1912,2.7088990162127402e-08,1.5628263128064646e-09
1913,3.6590627860988434e-08,1.060597942803554e-09
1914,1.9420556107707654e-08,6.696743715117748e-10
1915,9.424609426211816e-09,0.0
1916,1.7579939504130948e-08,1.0987462051303964e-09
1917,1.5352993543160665e-08,1.0966424435210342e-09
1918,1.1486376294556067e-08,1.1486376294556067e-09
1919,1.2890987610703064e-08,9.207848372660976e-10
1920,2.1202248845497706e-08,7.572231730534895e-10
1921,2.9533714807072897e-08,7.572747429129834e-10
1922,3.09873291470808e-08,0.0
1923,3.1847843917631735e-08,0.0
1924,1.160246199116699e-08,0.0
1925,4.069325765243548e-08,0.0
1926,1.4489979549558996e-08,1.1146138456652466e-09
1927,4.5711820995109065e-08,0.0
1928,1.8281665736807895e-08,0.0
1929,1.7824650200282122e-08,0.0
1930,2.520864939015155e-08,0.0
1931,2.737285598186645e-08,0.0
1932,1.0959536833610173e-08,1.0959536611565568e-09
1933,1.9500125736371388e-08,0.0
1934,2.6359476379411717e-08,3.5944740517379614e-09
1935,2.5133397585364037e-08,0.0
1936,1.9399543305098632e-08,0.0
1937,1.3850229851897211e-08,0.0
1938,3.630259959308546e-08,0.0
1939,1.6823455517567254e-08,1.5294050470515685e-09
1940,2.7893612308815818e-08,0.0
1941,3.246652813260198e-08,0.0
1942,1.2136847082899749e-08,0.0
1943,8.709705623388686e-09,0.0
1944,3.855823393905666e-08,0.0
1945,1.9606535950345005e-08,2.178504043826024e-09
1946,3.062642850437669e-08,0.0
1947,3.337843845763189e-08,0.0
1948,3.37028520647209e-08,1.0871887834440486e-09
1949,1.3743811755340118e-08,0.0
1950,1.5953042220573366e-08,1.0635361480382244e-09
1951,4.0513328247726577e-08,0.0
1952,2.10896083929768e-08,1.0544803918932644e-09
1953,1.7238123595220145e-08,0.0
1954,1.5636057337786724e-08,9.772536113672459e-10
1955,2.627970330237872e-08,1.8771215692936494e-09
1956,2.703553958482985e-08,0.0
1957,1.855357939506419e-08,3.534015080575159e-09
1958,1.4062814079895958e-08,0.0
1959,1.8601794327111065e-08,7.750747821333448e-10
1960,1.7994166823243063e-08,0.0
1961,2.0844478365589225e-08,0.0
1962,2.5367825173816527e-08,6.341956404476434e-10
1963,1.9398158968009227e-08,0.0
1964,2.8594651091395917e-08,6.083968329129164e-10
1965,2.188817349590977e-08,0.0
1966,1.9940669560014612e-08,0.0
1967,4.240088674611897e-08,9.860671168482327e-10
1968,2.470278670507753e-08,4.4914158503495116e-10
1969,1.4533625192214572e-08,1.3625273409534344e-09
1970,1.6095537624938316e-08,1.8394900047624674e-09
1971,2.1067429578636165e-08,1.0276794970565106e-09
1972,2.872882304272295e-08,1.5390440033513642e-09
1973,3.08739407373082e-08,1.102640756478479e-09
1974,1.4626486244395664e-08,2.812785782069227e-09
1975,1.3707552870556583e-08,2.8557400888473694e-09
1976,1.9997343725375316e-08,0.0
1977,1.469195476389018e-08,1.1753563677885381e-09
1978,5.04950251611902e-08,1.1881182704343018e-09
1979,1.287434114871644e-08,1.1703946700691858e-09
1980,9.096241204709088e-09,5.685150683554241e-10
1981,8.855769562110538e-09,6.325549528618524e-10
1982,1.80017563078394e-08,0.0
1983,1.8945948587756334e-08,1.89459470334441e-09
1984,1.7976925670293298e-08,2.3196033982486597e-09
1985,1.564045115642898e-08,1.2031116103372597e-09
1986,1.3187867797803676e-08,0.0
1987,1.466596055710312e-08,1.2221633705067347e-09
1988,1.9188972077976985e-08,5.996553809062277e-10
1989,9.329807593161377e-09,1.0976244357863152e-09
1990,1.6345952813523468e-08,0.0
1991,1.875668864670388e-08,0.0
1992,1.9284805363728452e-08,2.7549720282848966e-09
1993,1.8833305692744773e-08,0.0
1994,1.5297287436766283e-08,2.6374633033121597e-09
1995,1.7894087323000463e-08,5.422450821690461e-10
1996,2.5622842514394506e-08,0.0
1997,1.438468300030138e-08,4.79489448146353e-10
1998,1.287394890692184e-08,1.43043876743576e-09
1999,7.769341975327748e-09,9.140402323914998e-10
2000,1.5904913719388958e-08,8.836062992401139e-10
2001,1.6648604495017594e-08,4.3812117822561447e-10
2002,1.1391175447350577e-08,1.3143663935011318e-09
2003,1.1667383725821878e-08,4.1669229178253886e-10
2004,1.8940602419803554e-08,8.809582507929292e-10
2005,1.1709748504173945e-08,0.0
2006,1.8530504686253835e-08,8.235779835885637e-10
2007,1.3980677865399471e-08,3.994479469415779e-10
2008,1.5326782676350348e-08,1.2772318758180745e-09
2009,1.3350938576905946e-08,0.0
2010,1.2754240996670774e-08,4.723793023408973e-10
2011,9.942326711920302e-09,3.82397197240536e-10
2012,9.19148274158843e-09,0.0
2013,1.171432484348145e-08,5.578250084070646e-10
2014,1.0827226060161621e-08,2.1654451842767486e-10
2015,1.551602757388082e-08,2.2165753954528356e-10
2016,1.1806638028355465e-08,0.0
2017,7.0437116417298995e-09,0.0
2018,1.110030711792831e-08,1.0325866828253538e-09
2019,1.0714148235280163e-08,0.0
