year,petit_ADJ air_NOUN,petit_ADJ fer_NOUN
1800,3.5529058095562505e-07,1.8864987794131594e-08
1801,3.119349116786907e-07,2.6193008650921e-08
1802,1.4769744893783354e-07,3.8043282302169246e-08
1803,1.8138155155611457e-07,5.8510176925707924e-08
1804,3.6583392670763715e-07,3.707776485839531e-08
1805,2.75759134638065e-07,7.391481915419718e-08
1806,3.4580028795971884e-07,6.339671898558663e-08
1807,2.8469551693888207e-07,8.825561081948763e-08
1808,2.01680592226694e-07,7.024829473678551e-08
1809,1.6942729530455836e-07,4.292158095609011e-08
1810,4.7504573785772664e-07,3.7442028144596406e-08
1811,3.685402987230191e-07,6.518399686683551e-08
1812,3.040617286842462e-07,1.6536690239377094e-07
1813,4.256097554389271e-07,1.4091133948568313e-07
1814,2.454408161156607e-07,9.440031156771056e-08
1815,1.3755840200246894e-07,8.091670444798638e-09
1816,1.9004352225238108e-07,6.025770460382773e-08
1817,2.2574664626517915e-07,7.628679643545411e-08
1818,2.8253191430849256e-07,3.337929621594071e-08
1819,1.72862542058283e-07,1.2731791798614722e-07
1820,3.2395493576586887e-07,2.610625937649047e-08
1821,3.885426451688545e-07,2.85983157155556e-08
1822,4.541603857433074e-07,2.2056354964661296e-08
1823,4.733807088541653e-07,3.162459771832715e-08
1824,3.023179431238532e-07,2.105278174013847e-08
1825,3.96244928424494e-07,2.2013607159365733e-08
1826,1.7263648999232828e-07,3.523193625731835e-08
1827,1.5485018423078145e-07,1.5485019255745414e-07
1828,1.8894940012614825e-07,4.4027046897099353e-08
1829,1.997550072019294e-07,5.401101077495696e-08
1830,2.3065406651312514e-07,5.114049494991946e-08
1831,2.463410453401593e-07,4.3655377757190195e-08
1832,3.0577731990888424e-07,2.3000948701223933e-08
1833,3.0349107760230254e-07,1.0425265983826648e-08
1834,2.529657763261639e-07,2.6136685926658743e-08
1835,3.910116390670737e-07,1.966402933817335e-07
1836,2.2380098130270198e-07,3.225960115704751e-08
1837,2.539630088449485e-07,3.687682215147703e-08
1838,1.944145822108112e-07,3.976661844262708e-08
1839,2.663751956788474e-07,5.5931800080344374e-08
1840,2.2039122882233642e-07,1.2548286454361346e-07
1841,2.7544152203518024e-07,8.475123758344694e-08
1842,4.534787194643286e-07,5.702025163145663e-08
1843,3.177918017627235e-07,1.334961892696107e-07
1844,2.848563269708393e-07,8.177956023480704e-08
1845,2.7454720452624315e-07,5.133809627411168e-08
1846,2.3418004957420635e-07,4.7421460758201306e-08
1847,1.623360361691084e-07,6.417936226910115e-08
1848,1.7860392631519062e-07,8.527935108082474e-08
1849,1.893747736403384e-07,6.452149392544015e-08
1850,2.3489926093134272e-07,2.851378422263906e-08
1851,1.683303452182372e-07,1.1028540258806174e-07
1852,2.897192814543814e-07,7.226705589502558e-08
1853,2.9441625315485e-07,7.166318471973909e-08
1854,2.8472240387600323e-07,3.948705074030556e-08
1855,4.410064775584033e-07,6.580602018857462e-08
1856,3.753462181066425e-07,4.9183298378441265e-08
1857,3.7148285514376767e-07,3.7099469274437524e-08
1858,4.507075743731548e-07,5.676664094345085e-08
1859,3.966802921695489e-07,4.0228167907940815e-08
1860,4.0004587731345964e-07,4.897586633467732e-08
1861,3.5605526704785007e-07,3.6784516099785947e-08
1862,3.0767486691729573e-07,4.1565474839799776e-08
1863,3.2864605259419477e-07,5.094513388925748e-08
1864,3.332336007133563e-07,7.335933904784042e-08
1865,3.1818268553251983e-07,2.7770381161307256e-08
1866,4.0579212168267986e-07,2.2868380966656332e-08
1867,4.67325747877112e-07,3.0572712361731647e-08
1868,3.1960985324985813e-07,3.902500367303219e-08
1869,4.6002750764273515e-07,4.004485698594351e-08
1870,4.0826427039064583e-07,4.18585548445094e-08
1871,3.1651109111408005e-07,2.9739296136810367e-08
1872,4.317800232911395e-07,4.5355043387651506e-08
1873,3.0229321623664873e-07,3.052862318497773e-08
1874,4.463032894364005e-07,5.795370849881465e-08
1875,3.7704865007981425e-07,3.71899264717257e-08
1876,4.927501890961139e-07,5.320492957316958e-08
1877,5.127212716615759e-07,8.349501523507996e-08
1878,3.7744302971987054e-07,6.461824897385782e-08
1879,5.34565970156109e-07,7.81993614307197e-08
1880,4.0239896748062165e-07,1.0140197126418116e-07
1881,4.176532115707232e-07,9.622060725966719e-08
1882,4.944951115248841e-07,7.986461980635795e-08
1883,4.278192591300467e-07,1.352338494520211e-07
1884,4.984281076758634e-07,4.7532217273271726e-08
1885,4.350804090336169e-07,9.86182235873656e-08
1886,3.872078195854556e-07,1.1422630719071236e-07
1887,4.563718221106683e-07,7.965288206790433e-08
1888,4.894954486189818e-07,1.2744636035399992e-07
1889,4.335474557137786e-07,8.708540155666356e-08
1890,4.679831988596561e-07,8.717334015750922e-08
1891,4.066752410381014e-07,6.565446797335284e-08
1892,3.87394067047353e-07,7.835640758457885e-08
1893,3.1777429398971435e-07,5.788911400239627e-08
1894,4.26614207071907e-07,8.507077753350245e-08
1895,4.122750851820456e-07,5.777869760414944e-08
1896,4.3107280589538277e-07,9.199365258449888e-08
1897,3.8689378811795905e-07,1.1187290316350129e-07
1898,4.3173247377126245e-07,7.072943852826086e-08
1899,4.3778419467344065e-07,1.365311899093058e-07
1900,3.763513518606487e-07,1.33410065772388e-07
1901,4.06301325028835e-07,1.1904013852426232e-07
1902,3.928226988136885e-07,9.820567470342212e-08
1903,4.3039756292273523e-07,8.316339328295896e-08
1904,3.568751196780795e-07,7.255743916800839e-08
1905,3.27192111626573e-07,6.4509485087072e-08
1906,3.600929119329521e-07,7.767718473994378e-08
1907,4.253131464793114e-07,6.42855439991763e-08
1908,4.204148922326567e-07,7.956450254198444e-08
1909,4.2962682300640154e-07,8.196465284271426e-08
1910,4.3661711401909997e-07,6.51986352684375e-08
1911,3.692339589633775e-07,6.118430395662955e-08
1912,4.573871876800695e-07,6.199211344259936e-08
1913,4.6613280346718966e-07,9.704471271021475e-08
1914,3.6631189459512825e-07,6.361906407237328e-08
1915,4.3117589143548685e-07,3.534228498747183e-08
1916,3.230313723179279e-07,4.834483235960363e-08
1917,3.728584374584898e-07,5.0445551513789155e-08
1918,3.9742860735714203e-07,7.810736235569493e-08
1919,4.649963329939055e-07,4.880159765185965e-08
1920,4.5054778752273705e-07,7.950843361470561e-08
1921,4.657239571770333e-07,7.87565702653481e-08
1922,5.016996169615595e-07,5.754789506040581e-08
1923,5.881234983462491e-07,4.352538596208433e-08
1924,5.504723503690911e-07,4.769901096324247e-08
1925,6.092990361139528e-07,7.148815761581773e-08
1926,6.409029538190225e-07,7.133528578950887e-08
1927,6.834474675088131e-07,1.2264147697393923e-07
1928,5.107440301799215e-07,1.0740478484372318e-07
1929,5.837572985001316e-07,7.352667896753928e-08
1930,5.272809175949078e-07,1.4705044404372813e-07
1931,4.790250045516586e-07,1.0606982048244618e-07
1932,4.975629508408019e-07,3.7262424257278326e-08
1933,4.680030087911291e-07,6.194157875505368e-08
1934,4.00184774207446e-07,6.589868917217245e-08
1935,4.595821110342513e-07,4.787313656606784e-08
1936,4.4861442916044325e-07,1.2124714166006356e-07
1937,4.1298866904071474e-07,1.1206095418270223e-07
1938,4.0710773419050383e-07,8.427389397436258e-08
1939,3.93057092651361e-07,1.177641895111492e-07
1940,5.375860041567648e-07,9.889553354014424e-08
1941,4.810949008060561e-07,6.493305892973922e-08
1942,6.341502398754528e-07,5.158160121254696e-08
1943,5.05162915942492e-07,9.870999884142861e-08
1944,4.884042823505297e-07,5.462416474699694e-08
1945,6.949427984181966e-07,1.0456819676818441e-07
1946,5.763337185271666e-07,1.3781892960196274e-07
1947,6.067723461455898e-07,9.179070881160101e-08
1948,5.490303465194302e-07,1.837349046240888e-07
1949,5.340452275959251e-07,8.933477679828883e-08
1950,5.860084115738573e-07,5.1049736660147005e-08
1951,4.925567509417306e-07,7.462981388428602e-08
1952,6.284703317760432e-07,5.272401837341789e-08
1953,5.45155671716202e-07,5.4946519445486786e-08
1954,5.453075004879793e-07,9.283909374602217e-08
1955,4.786659815181338e-07,7.3207744755166e-08
1956,5.939097604823473e-07,4.534993758298356e-08
1957,4.5500445366997155e-07,5.9194752655145066e-08
1958,5.037796313445142e-07,7.031406729085532e-08
1959,4.642697888357361e-07,5.8905684330312624e-08
1960,5.30135821463773e-07,5.882708364879363e-08
1961,4.995726499146258e-07,7.434530474581535e-08
1962,5.12430062826752e-07,4.312530210714982e-08
1963,5.619000376100303e-07,2.8450633848819962e-08
1964,5.262632498670428e-07,7.604960344798073e-08
1965,4.4925477027391025e-07,6.402290725349147e-08
1966,5.450449407362612e-07,5.7606378667252045e-08
1967,4.881032396042428e-07,4.338695247518842e-08
1968,5.308853587848716e-07,3.907531720415136e-08
1969,4.051248083669634e-07,5.631779842474316e-08
1970,4.115858871500677e-07,4.046877891128453e-08
1971,5.503223974301363e-07,4.213486104465147e-08
1972,4.663303627694404e-07,2.6676763520416813e-08
1973,3.5284503496768593e-07,8.324937555981293e-08
1974,3.707251607920625e-07,5.0630144077246086e-08
1975,3.3697733670123853e-07,3.769576739642844e-08
1976,3.548100266925758e-07,3.5423866506789636e-08
1977,3.196969373675529e-07,4.29005077018374e-08
1978,4.199998215881351e-07,3.801978509798687e-08
1979,3.979342011461995e-07,3.979342011461995e-08
1980,4.2922889065266645e-07,5.400893077212032e-08
1981,4.611325721270987e-07,3.289285782637208e-08
1982,3.929349077225197e-07,9.994078797870287e-08
1983,4.117586058782763e-07,3.726036490458995e-08
1984,4.2564721525195637e-07,3.421414884741125e-08
1985,3.9221438896674954e-07,3.549179372619449e-08
1986,4.615753823600244e-07,2.817408106814412e-08
1987,3.941476904856245e-07,3.4831655448819276e-08
1988,3.747846051282977e-07,2.638483720396323e-08
1989,3.7154586607357487e-07,4.2258541221862345e-08
1990,4.5278289917405345e-07,2.94227159303162e-08
1991,3.9330430467998667e-07,5.099474731373732e-08
1992,4.176537800049118e-07,3.9120605144216114e-08
1993,4.292885762424703e-07,3.26813248130442e-08
1994,4.436213316694193e-07,3.639699375224126e-08
1995,4.408452412008046e-07,4.283736276811112e-08
1996,4.4359546791383764e-07,2.6156652399578206e-08
1997,3.8263257806647744e-07,4.027711242304832e-08
1998,3.943242745663156e-07,3.6237782552461795e-08
1999,3.3453872561040043e-07,3.290544814404939e-08
2000,3.591859467633185e-07,3.446064655854286e-08
2001,3.456776198618172e-07,2.8477877112020877e-08
2002,4.0219612174041686e-07,4.731719316364291e-08
2003,3.8544035874110705e-07,3.2918689496508335e-08
2004,4.052407973631489e-07,3.744072679667809e-08
