year,seraient_VERB aux_ADP,seraient_VERB faux_ADJ
1800,1.8864987794131594e-08,3.144164484325529e-09
1801,1.1905912700171939e-08,0.0
1802,3.1329761895904085e-08,0.0
1803,2.5354410126965377e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,2.842877755426798e-08,8.528632911009026e-09
1806,3.458002950651462e-08,8.645007376628655e-09
1807,2.8469550272802735e-08,2.8469550272802735e-08
1808,2.039466551195801e-08,1.3596443970698147e-08
1809,4.743964154840796e-08,2.259030518203531e-09
1810,7.020380277111826e-09,0.0
1811,7.270522672797597e-08,2.5070767684098882e-09
1812,1.0668832928217853e-08,0.0
1813,5.176335093892703e-08,1.1502966579257645e-08
1814,2.8320094713762956e-08,0.0
1815,1.1867783911156948e-07,2.1577788444915313e-08
1816,3.0128852301913867e-08,0.0
1817,6.227493543065066e-08,1.8682481339737933e-08
1818,5.6029534789558966e-08,2.026600220972341e-08
1819,4.5544620519422097e-08,1.9666995143552413e-08
1820,1.6613073583471305e-08,2.3732962262101864e-09
1821,3.155676253641104e-08,9.86148829262845e-10
1822,5.1130641054442094e-08,3.408709403629473e-08
1823,4.644862983127496e-08,1.1859224713361982e-08
1824,4.29476756380609e-08,3.3684450784221553e-09
1825,2.553578504205234e-08,7.044354433105582e-09
1826,3.435113882233054e-08,2.642395191543301e-09
1827,5.346018383534101e-08,4.608636583469661e-09
1828,6.237164740241496e-08,2.0179061976932644e-08
1829,3.429270378774163e-08,1.2859763920403111e-08
1830,1.5655253093882493e-08,9.39315203396518e-09
1831,5.9246584527272717e-08,2.182768810143898e-08
1832,3.111892965534935e-08,2.976593194148336e-08
1833,3.4750886612755494e-08,2.3167257001688313e-09
1834,1.5868701908061666e-08,5.600718555598405e-09
1835,7.033671778344797e-08,5.294161553592858e-09
1836,3.293167694096155e-08,2.016224964762614e-09
1837,4.731365876864402e-08,2.435261770017405e-08
1838,5.1759727170974656e-08,1.8936485712828244e-09
1839,2.586845759822154e-08,1.5381244722334486e-08
1840,3.630722389402763e-08,2.0383003729307347e-08
1841,7.640452537316378e-08,1.3483152372373297e-08
