year,grand_ADJ are_NOUN,grand_ADJ phare_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09
1801,2.3811825844433088e-09,2.1430643926123594e-08
1802,2.2378401354217203e-09,2.6854081625060644e-08
1803,5.851017448321727e-09,2.145373123596528e-08
1804,9.887403784603066e-09,2.4718509461507665e-09
1805,2.842877711017877e-09,0.0
1806,5.76333825108577e-09,0.0
1807,2.8469551160981155e-09,8.540865792383556e-09
1808,0.0,4.5321479902327155e-09
1809,0.0,2.0331274441787173e-08
1810,0.0,9.360507036149102e-09
1811,1.0028307073639553e-08,0.0
1812,1.600324850414836e-08,8.00162425207418e-09
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,3.1466771410748606e-09,0.0
1815,8.091670444798638e-09,0.0
1816,6.952811659743929e-09,3.0128852301913867e-08
1817,4.670620334934483e-09,3.113746815941454e-09
1818,0.0,0.0
1819,4.140420006848444e-09,4.140420006848444e-09
1820,2.3732962262101864e-09,1.1866481131050932e-09
1821,1.97229765852569e-09,8.875339574387908e-09
1822,3.0076847679083585e-09,7.017931125119503e-09
1823,9.882686891060644e-10,2.3718449426723964e-08
1824,2.5263338088166165e-09,1.9368560089105813e-08
1825,1.7610886082763955e-09,6.163809906922779e-09
1826,3.5231937367541377e-09,1.4092774947016551e-08
1827,9.217273055917019e-10,4.608636583469661e-09
1828,3.668920500743411e-09,4.586150570418113e-09
1829,3.429270423183084e-09,1.5431716349212365e-08
1830,2.0873671680021744e-09,7.305784865963005e-09
1831,1.5591206103948707e-09,2.3386808933878456e-08
1832,6.764984572527055e-09,1.0823975493678972e-08
1833,3.4750886612755494e-09,1.1583628278799551e-08
1834,1.8669061851994684e-09,1.213489042584115e-08
1835,5.294161553592858e-09,7.563087933704082e-09
1836,6.720750067579218e-10,1.5457725766054864e-08
1837,3.478945576063097e-09,1.3915782304252389e-08
1838,3.1560809521380406e-09,3.787297142565649e-09
1839,2.7965900706306e-09,2.5169310857720006e-08
1840,3.1848443882154243e-09,2.2930879917115732e-08
1841,2.5682194149112547e-09,2.439808444165692e-08
1842,2.683306021822318e-09,1.0062397581833693e-08
1843,2.953455480181333e-09,2.1264879246363222e-08
1844,3.2931368743049916e-09,6.5862733600319245e-09
1845,3.348136878855712e-09,8.92836493626703e-09
1846,5.854501328173001e-09,1.8734404250153602e-08
1847,5.3932236454556914e-09,1.240441438454809e-08
1848,5.63165514222419e-09,8.84974404868899e-09
1849,5.865590679832167e-09,1.75967720394965e-08
1850,4.073397619208663e-09,1.0862393651223101e-08
1851,4.514607354622058e-09,1.0319102017319892e-08
1852,6.510545436100301e-09,1.6927417689771573e-08
1853,5.971931837933653e-09,1.6721408258035808e-08
1854,2.0782657816909023e-09,1.0391328519876453e-08
1855,4.2455496895854594e-09,3.92713346286655e-08
1856,4.141751386299575e-09,1.6049286344355096e-08
1857,2.9289055625270066e-09,4.7350639909016223e-08
1858,1.9574704079872163e-09,8.808616946964776e-09
1859,3.5645213447565993e-09,1.782260738991681e-08
1860,3.661747127736703e-09,1.1900677776566226e-08
1861,4.2443675241088386e-09,8.960331143725853e-09
1862,1.3553959066214816e-09,2.0330938710344526e-08
1863,9.489779628779615e-09,1.9479021062807078e-08
1864,4.794728170054441e-09,1.821996598039277e-08
1865,4.706844247692743e-09,1.835669216632141e-08
1866,1.9462451650298362e-09,1.702964524952222e-08
1867,8.249779526181555e-09,6.017486242626546e-08
1868,2.9639244392143382e-09,4.643481688049178e-08
1869,3.906815315701806e-09,2.197583626184496e-08
1870,6.880858549607183e-09,4.300536460277726e-08
1871,1.0621177271019633e-09,1.9118119309879944e-08
1872,3.628403577593531e-09,2.539882526519932e-08
1873,3.591602570907071e-09,3.29230228635069e-08
1874,5.974609251779839e-09,2.3300975371398636e-08
1875,5.149374260327022e-09,1.4875970677508121e-08
