year,grand_ADJ acteur_NOUN,grand_ADJ facteur_NOUN
1800,2.986956246786576e-07,0.0
1801,3.905139465132379e-07,7.143547975374531e-09
1802,8.056224487518193e-08,0.0
1803,2.0868630201675842e-07,0.0
1804,3.312280227873998e-07,0.0
1805,1.2224374756897305e-07,0.0
1806,2.1612518708025164e-07,5.76333825108577e-09
1807,3.558693890681752e-07,4.839823830593559e-08
1808,4.056272473462741e-07,1.3596443970698147e-08
1809,1.6716825257390155e-07,1.3554183553310395e-08
1810,6.03752710048866e-07,4.680253518074551e-09
1811,8.774768645025688e-08,1.2535384286138651e-08
1812,6.267939625104191e-07,0.0
1813,5.090062700219278e-07,7.476928232108548e-08
1814,3.366944554272777e-07,0.0
1815,1.726223075593225e-07,0.0
1816,2.016315363562171e-07,0.0
1817,3.456258923506539e-07,3.42512151974006e-08
1818,2.7657131340674823e-07,0.0
1819,2.4221458261308726e-07,4.140420006848444e-09
1820,3.773540981910628e-07,8.306536791735653e-09
1821,3.8262575685621414e-07,0.0
1822,3.458837340986065e-07,0.0
1823,3.6269460679250187e-07,8.894418535021487e-09
1824,2.374753762524051e-07,0.0
1825,4.95746462547686e-07,8.805443485471187e-09
1826,2.7833229410134663e-07,0.0
1827,3.991079324805469e-07,7.373818444733615e-09
1828,1.8252879385727283e-07,2.659967357487858e-08
1829,2.8891602710245934e-07,6.001223074036943e-09
1830,2.6092089910889626e-07,1.982998831806526e-08
1831,2.4945930476860667e-07,2.3386808933878456e-08
1832,4.61371968185631e-07,9.470978667991403e-09
1833,1.888131464511389e-07,2.3167257001688313e-09
1834,1.8295681059044e-07,5.600718555598405e-09
1835,1.8756458075586124e-07,2.2689263801112247e-09
1836,2.4463531644869363e-07,2.016225053580456e-08
1837,1.6629358867703559e-07,2.0873672568200163e-08
1838,1.5464796376818413e-07,1.3255539776935166e-08
1839,1.5311330514578003e-07,1.8177836125232716e-08
1840,1.5159858435254137e-07,5.095750932326837e-09
1841,1.7014453135288932e-07,5.778493683550323e-09
1842,1.2276125005428185e-07,6.708265054555795e-09
1843,1.7957009390556777e-07,1.7130041385371442e-08
1844,1.212972051689576e-07,9.879410178825765e-09
1845,1.171847898717715e-07,1.5066614622583074e-08
1846,1.2411543082180287e-07,1.9319854160926297e-08
1847,1.396844879764103e-07,6.47186837454683e-09
1848,1.1504666730388635e-07,4.505324113779352e-08
1849,1.0474268918869711e-07,8.379414939696517e-10
1850,8.011015495412721e-08,2.0366988096043315e-09
1851,1.0383596560359365e-07,8.384270167027807e-09
1852,1.282577386518824e-07,1.3021090872200602e-08
1853,1.9468497214347735e-07,2.6276499198729653e-08
1854,1.6054603690918157e-07,1.558699391779328e-09
1855,2.0378638510010205e-07,1.1675261646360013e-08
1856,2.112293202571891e-07,8.28350277259915e-09
1857,1.518149304047256e-07,7.810414537345878e-09
1858,2.0847059545303637e-07,2.936205500958522e-09
1859,2.500257210158452e-07,8.656694916453489e-09
1860,2.622726356094063e-07,7.323494255473406e-09
1861,1.7449065126129426e-07,1.226150558863992e-08
1862,1.4502735723453952e-07,4.066187830886747e-09
1863,1.9329182521232724e-07,6.99246927027275e-09
1864,1.500749817751057e-07,8.63051052846231e-09
1865,1.623861294319795e-07,1.2708479601997169e-08
1866,1.5132056319089315e-07,7.298419202328432e-09
1867,1.480107556517396e-07,1.0190904120577216e-08
1868,1.5610001469212875e-07,2.1735445443482604e-08
1869,1.9729417033431673e-07,7.325278605918584e-09
1870,1.84636377298375e-07,1.834895613228582e-08
1871,1.0939812256083314e-07,2.7615060460561835e-08
1872,1.0582844112150269e-07,1.7537283625301825e-08
1873,1.5144591714033595e-07,7.42264560926742e-08
1874,1.0873788625076486e-07,2.5093358502203955e-08
1875,3.221219913029927e-07,3.547346949517305e-08
1876,1.8984486871431727e-07,4.5949711591219966e-08
1877,1.775042193230547e-07,3.463496867084359e-08
1878,1.666788449483647e-07,6.76377922559368e-08
1879,2.46816739490896e-07,4.093248051617593e-08
1880,2.5863920427582343e-07,5.776061584583658e-08
1881,2.579827764748188e-07,5.717456375009533e-08
1882,2.0698247737982456e-07,5.856738738430067e-08
1883,1.7694148368718743e-07,3.791603475633565e-08
1884,1.1552969425565607e-07,7.195849605068361e-08
1885,1.2891271694570605e-07,5.9299846810745294e-08
1886,1.5230175165470428e-07,6.066255764380912e-08
