year,petit_ADJ or_NOUN,petit_ADJ fort_NOUN
1800,3.144164484325529e-09,1.8864987794131594e-08
1801,0.0,4.7623651688866175e-09
1802,0.0,1.3427040812530322e-08
1803,1.950339223455444e-09,2.7304748240197796e-08
1804,0.0,1.4831105232815389e-08
1805,8.528633133053631e-09,5.685755422035754e-09
1806,5.76333825108577e-09,2.881669125542885e-09
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,6.7770915546105925e-09,1.3554183553310395e-08
1810,2.3401267590372754e-09,2.8081521108447305e-08
1811,0.0,0.0
1812,2.6672082320544632e-09,1.3336041604361526e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,6.952811659743929e-09
1817,4.670620334934483e-09,1.556873407970727e-09
1818,1.1921177378582115e-09,2.384235475716423e-09
1819,1.035105001712111e-09,0.0
1820,1.779972080839798e-08,0.0
1821,7.88919063410276e-09,3.94459531705138e-09
1822,3.0076847679083585e-09,1.0025615893027862e-09
1823,9.882686891060644e-10,0.0
1824,1.6842225392110777e-09,0.0
1825,4.4027217427355936e-09,0.0
1826,0.0,7.927186018719112e-09
1827,2.7651819167751057e-09,0.0
1828,2.7516904310687096e-09,0.0
1829,8.573175946935407e-09,0.0
1830,3.1310507520032616e-09,1.0436835840010872e-09
1831,0.0,6.236482441579483e-09
1832,0.0,2.705993873419743e-09
1833,6.950177100506494e-09,1.1583628500844156e-09
1834,9.334530925997342e-10,0.0
1835,2.2689263801112247e-09,7.563087933704082e-10
1836,1.3441500135158435e-09,6.720750067579218e-10
1837,6.957890930081589e-10,1.3915781860163179e-09
1838,1.2624323808552163e-09,2.0830134062066463e-08
1839,2.7965901816529026e-09,6.9914751765765e-10
1840,0.0,6.3696887764308485e-09
1841,6.420548537278137e-10,1.5409316489467528e-08
1842,0.0,0.0
1843,4.134837805480629e-09,4.7255288571079745e-09
1844,0.0,5.488561272137815e-10
1845,8.928364714222425e-09,4.464182468133515e-09
1846,1.1709002656346001e-09,3.5127007969038004e-09
1847,1.6179670936367074e-09,2.6966118227278457e-09
1848,7.240699539945439e-09,0.0
1849,0.0,0.0
1850,6.788996032014438e-10,0.0
