year,ait_VERB été_VERB,ait_VERB eté_VERB,ait_VERB fêté_VERB
1800,2.332969961571507e-05,5.0306631749208464e-08,0.0
1801,2.0530556867015548e-05,5.476719877606229e-08,0.0
1802,2.3544316718471237e-05,3.3567602031325805e-08,0.0
1803,2.2994499886408448e-05,1.755305234496518e-08,1.950339223455444e-09
1804,3.2559219107497483e-05,7.662737999680758e-08,0.0
1805,2.6578063625493087e-05,1.0802935435094696e-07,0.0
1806,2.9773405913147144e-05,1.440834580535011e-07,0.0
1807,3.8929265429032966e-05,1.0249038240317532e-07,0.0
1808,3.099762761848979e-05,1.7222161829977267e-07,0.0
1809,3.0406550649786368e-05,2.0783080856290326e-07,0.0
1810,3.2172061764867976e-05,9.828532654410083e-08,0.0
1811,2.7607929951045662e-05,8.273353557797236e-08,1.504245972228091e-08
1812,3.530583489919081e-05,6.13457871168066e-08,0.0
1813,3.118166569038294e-05,8.052076339026826e-08,0.0
1814,2.2873196940054186e-05,5.349351184236184e-08,0.0
1815,2.576657607278321e-05,5.933891955578474e-08,0.0
1816,2.4712609956623055e-05,6.489290882427667e-08,0.0
1817,2.4718479835428298e-05,4.0478710161551135e-08,0.0
1818,2.512149694666732e-05,4.6492591110336434e-08,0.0
1819,2.9525335776270367e-05,8.073818946741085e-08,0.0
1820,2.2888068997417577e-05,4.153268307049984e-08,0.0
1821,2.7386338842916302e-05,6.508582117703554e-08,9.86148829262845e-10
1822,2.6341303964727558e-05,2.90742860897808e-08,0.0
1823,2.2166866983752698e-05,4.743689885344793e-08,0.0
1824,2.4085224140435457e-05,4.29476756380609e-08,0.0
1825,2.5527859179419465e-05,5.107157008410468e-08,0.0
1826,2.5801227820920758e-05,1.1009980482867832e-07,0.0
1827,3.2974792702589184e-05,1.769716391208931e-07,0.0
1828,3.116839798167348e-05,2.283903057787029e-07,9.172301251858528e-10
1829,3.130580807919614e-05,9.687688873327716e-08,0.0
1830,3.182921864208765e-05,9.288783786587373e-08,0.0
1831,3.109822137048468e-05,1.0446107978623331e-07,0.0
1832,3.2255447877105325e-05,2.705993829010822e-08,0.0
1833,2.7921178116230294e-05,5.444305273272221e-08,0.0
1834,2.974914968945086e-05,3.733812548034621e-08,0.0
1835,2.6631145374267362e-05,3.327758690829796e-08,0.0
1836,2.6814448574441485e-05,4.368487438455304e-08,0.0
1837,2.595015030237846e-05,3.2006298056330706e-08,0.0
1838,2.5943616492440924e-05,4.607878167917079e-08,0.0
1839,2.8121112336521037e-05,3.775396706373613e-08,0.0
