year,tout_DET axe_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,3.900678446910888e-09
1804,0.0
1805,0.0
1806,2.305335300434308e-08
1807,0.0
1808,0.0
1809,0.0
1810,3.7442028144596406e-08
1811,2.5070767684098882e-09
1812,0.0
1813,8.627225156487839e-09
1814,0.0
1815,5.394447111228828e-09
1816,0.0
1817,0.0
1818,8.344824387052086e-09
1819,6.210630232317271e-09
1820,2.3732962262101864e-09
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,8.805443041381977e-10
1826,3.170874407487645e-08
1827,1.6591091167583727e-08
1828,0.0
1829,0.0
1830,8.349468672008697e-09
1831,9.354723218280014e-09
1832,1.8941957335982806e-08
1833,1.1583628500844156e-09
1834,1.5868701908061666e-08
1835,9.832014313815307e-09
1836,4.704525213838906e-09
1837,1.2524203896191466e-08
1838,2.9035945203759184e-08
1839,1.957613093850341e-08
1840,2.0383003729307347e-08
1841,1.7977535904378783e-08
1842,4.695785449371215e-08
1843,0.0
1844,1.6465684371524958e-09
1845,3.906159617983462e-09
1846,2.9272506640865004e-09
1847,4.853901280910122e-09
1848,3.781254243051535e-08
1849,4.1059134758825167e-08
1850,4.073397619208663e-09
1851,3.1602251482354404e-08
1852,3.906327261660181e-09
1853,1.2541057081705276e-08
1854,5.7152309551611324e-09
1855,1.2205955357558196e-08
1856,3.1063134287023786e-09
1857,4.881508974818871e-09
1858,7.340514196485515e-09
1859,1.1202781591279631e-08
1860,5.034902272882391e-09
1861,1.0375120318428799e-08
1862,3.1625904395315985e-09
1863,4.994620717013731e-09
1864,4.315255264231155e-09
1865,5.6482134525026595e-09
1866,4.719644675077461e-08
1867,1.067618526917613e-08
1868,1.383164760504485e-08
1869,1.4650557211837167e-08
1870,1.204150246181257e-08
1871,3.292564842993784e-08
1872,9.675742873582749e-09
1873,2.6338420333615886e-08
1874,2.9275584179089265e-08
1875,1.4875970677508121e-08
1876,7.859819239897092e-09
1877,3.401648940304369e-08
1878,1.932508364443919e-08
1879,2.3215436240064946e-08
1880,7.059631101924424e-09
1881,1.6036767247484818e-08
1882,7.320923423037584e-09
1883,1.2638678215104449e-08
1884,4.4891541151059755e-08
1885,2.191516146332617e-08
1886,2.0651084398082276e-08
1887,1.8933882017790893e-08
1888,2.789870467978517e-08
1889,3.257871128425904e-08
1890,1.8352282360467598e-08
1891,2.1672347472190268e-08
1892,1.1910173514095845e-08
1893,2.2170299374124625e-08
1894,1.0082463086646953e-08
1895,4.213030146971164e-09
1896,1.8280790214930676e-08
1897,3.02989096034878e-08
1898,1.018503881233812e-08
1899,2.266307141951529e-08
1900,1.4015843263770478e-08
1901,1.173635155726771e-08
1902,1.0311596021495006e-08
1903,1.0260418292773466e-08
1904,6.449550049580921e-08
1905,2.477164412484356e-08
1906,7.2018581098731715e-09
1907,2.057137349353866e-09
1908,1.7189862422384294e-08
1909,1.870334331854906e-08
1910,1.3360376693860587e-08
