year,quand_ADV eut_VERB,quand_ADV fut_VERB
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,0.0,1.7902721083373763e-08
1803,0.0,2.5354409016742352e-08
1804,0.0,0.0
1805,0.0,1.1371510844071508e-08
1806,0.0,1.4408345627714425e-08
1807,0.0,0.0
1808,0.0,4.5321479902327155e-09
1809,2.259030518203531e-09,4.518061036407062e-09
1810,2.3401267590372754e-09,1.8721014072298203e-08
1811,0.0,0.0
1812,0.0,1.3336041160272316e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,1.8880061958270744e-08
1815,0.0,2.697223555614414e-09
1816,0.0,1.1588019432906549e-08
1817,0.0,3.113746815941454e-09
1818,1.1921177378582115e-09,0.0
1819,0.0,1.8631889808773394e-08
1820,0.0,1.1866481131050932e-09
1821,0.0,7.88919063410276e-09
1822,0.0,6.015369535816717e-09
1823,9.882686669016039e-09,8.894418535021487e-09
1824,0.0,1.0105335235266466e-08
1825,8.805443041381977e-10,3.522177216552791e-09
1826,0.0,2.642395191543301e-09
1827,0.0,2.7651818612639545e-09
1828,0.0,0.0
1829,0.0,1.714635211591542e-09
1830,4.174734336004349e-09,2.0873671680021744e-09
1831,0.0,0.0
1832,0.0,6.764984572527055e-09
1833,6.950177322551099e-09,1.7375442640243932e-08
1834,0.0,9.334531370086552e-09
1835,7.563087933704082e-10,8.31939672707449e-09
1836,2.688300027031687e-09,1.0753200108126748e-08
1837,0.0,2.0873671680021744e-09
1838,1.2624323808552163e-09,5.680945713848473e-09
1839,1.3982950353153e-09,3.4957375882882502e-09
1840,3.1848443882154243e-09,5.0957510988602905e-09
1841,1.926164561183441e-09,1.2841097074556274e-09
1842,2.683306021822318e-09,2.0795622113212175e-08
1843,8.269675388916653e-09,2.0674188583313935e-08
1844,7.1351298203126134e-09,1.2623690981428126e-08
1845,2.2320911785556063e-09,7.812319235966925e-09
1846,0.0,1.1709002656346001e-09
1847,5.393223645455691e-10,1.3483059113639229e-08
1848,0.0,1.448139919091318e-08
1849,8.379414939696517e-10,1.005529792763582e-08
1850,3.394498016007219e-09,3.394498016007219e-09
1851,5.159551230704551e-09,7.094382636907426e-09
1852,6.510545436100301e-10,4.557381805270211e-09
1853,2.388772735173461e-09,6.569125243771623e-09
1854,0.0,4.156531618892956e-09
1855,4.2455496895854594e-09,9.021793090369101e-09
1856,5.177189232874468e-10,2.329735160344626e-08
1857,1.464452725752352e-09,2.245494279407012e-08
1858,7.82988140990426e-09,9.787351817891476e-09
1859,3.5645213447565993e-09,1.6294954940931916e-08
1860,7.781212646440494e-09,1.830873586072812e-08
1861,0.0,7.545542191067511e-09
1862,4.5179863183975044e-09,1.1746764450037972e-08
1863,4.994620828036034e-10,8.490855574194711e-09
1864,5.2742009648554244e-09,1.102787461348953e-08
1865,1.4120533631256649e-09,1.364984902885169e-08
1866,1.4596839292835284e-09,2.3841503882238158e-08
1867,2.91168689159349e-09,2.2808213984149006e-08
1868,6.421836173942097e-09,1.9759495817339712e-08
1869,2.441759683335931e-09,4.150991372853241e-08
1870,2.2936195165357276e-09,1.6055336615750093e-08
1871,0.0,3.18635318130589e-09
1872,6.047339295989218e-10,1.8746751706544273e-08
1873,2.9930021794299932e-09,4.1902031844287535e-09
1874,0.0,5.377148393215236e-09
1875,0.0,1.0870901512305409e-08
1876,1.813804439976252e-09,1.269663085778916e-08
1877,6.184815992682502e-10,1.5462039870683952e-08
1878,3.019544336790858e-09,6.6429977074733415e-09
1879,3.0546627449723474e-09,9.163988012872437e-09
1880,4.492492378105339e-09,7.059630879879819e-09
1881,1.3945015142624584e-09,1.0458761190434984e-08
1882,9.983077697839349e-09,1.6638463051776853e-08
1883,6.319338941018771e-10,1.390254544819669e-08
1884,6.601696966868076e-10,1.1222884843675729e-08
1885,1.2891271383708158e-09,1.8047780159236027e-08
1886,0.0,2.0005738399220263e-08
1887,1.3057849246322917e-09,1.5016526799804808e-08
1888,3.1703073499755874e-09,1.014498307583267e-08
1889,2.5060546970934183e-09,1.566284169030041e-08
1890,3.277193239004106e-09,1.1797895549392479e-08
1891,1.9122659011827636e-09,1.3385862196457765e-08
1892,3.761107425503951e-09,1.3790726782758611e-08
1893,0.0,8.621783065265731e-09
1894,3.780923574225881e-09,1.0082463086646953e-08
1895,0.0,7.2223376168523146e-09
1896,5.89702897624278e-10,2.1819006823520226e-08
1897,2.330685422435863e-09,9.90541315637472e-09
1898,2.26334195829736e-09,1.5277558329529484e-08
1899,5.527578395003729e-10,1.9899282222013426e-08
1900,1.5573159428683425e-09,1.2458527320902135e-08
1901,5.588738916095792e-10,1.2854099340486869e-08
1902,4.910283846193408e-10,2.3078333910575566e-08
1903,1.0800440541913758e-09,1.6200660368781428e-08
1904,5.374625189347171e-10,2.2573425795258117e-08
