year,tout_DET acteur_NOUN,tout_DET facteur_NOUN
1800,2.2009152278457123e-08,0.0
1801,4.0480103713491644e-08,0.0
1802,2.0140561218795483e-08,0.0
1803,5.460949736857401e-08,0.0
1804,0.0,4.943701892301533e-09
1805,5.685755422035754e-09,2.842877711017877e-09
1806,8.645007376628655e-09,2.881669125542885e-09
1807,2.8469552049159574e-08,6.547996633798903e-08
1808,4.75875534533543e-08,5.211970277585465e-08
1809,3.162642681076022e-08,4.518061036407062e-09
1810,6.552354747668687e-08,7.020380277111826e-09
1811,7.521229861140455e-09,1.0028307073639553e-08
1812,2.1337664968257286e-08,2.6672082320544632e-09
1813,5.751483289628823e-09,0.0
1814,6.293354282149721e-09,3.4613449884091096e-08
1815,5.394447111228828e-09,3.506390555685357e-08
1816,0.0,0.0
1817,2.80237220096069e-08,0.0
1818,3.9339886015454795e-08,1.0729059418679299e-08
1819,4.140420117870747e-09,5.175525008560555e-09
1820,7.119888678630559e-09,1.4239777357261119e-08
1821,1.3806083276612924e-08,1.97229765852569e-09
1822,2.90742860897808e-08,0.0
1823,1.7788836181864554e-08,8.894418535021487e-09
1824,3.1158117863583357e-08,1.1789557774477544e-08
1825,4.490776106536032e-08,7.924898959288385e-09
1826,2.2019960965735663e-08,0.0
1827,2.3964910056406552e-08,2.7651818612639545e-09
1828,2.751690308944177e-08,2.0179061976932644e-08
1829,2.4862211178700022e-08,0.0
1830,1.5655253982060913e-08,4.6965760835959713e-08
1831,7.795603051974354e-09,3.585977381703742e-08
1832,1.3529969367098715e-08,1.488296597074168e-08
1833,1.2741991461950875e-08,8.108539617524002e-09
1834,1.7735608981439555e-08,6.534171648198139e-09
1835,1.8151411040889798e-08,1.0588323107185715e-08
1836,1.4113575363960962e-08,1.0753200108126748e-08
1837,1.1828414692161004e-08,1.1828414581138702e-08
1838,1.1361890983607736e-08,1.8936485712828244e-09
1839,1.3982950353153e-09,3.4957374772659477e-09
1840,1.7198159119047318e-08,9.554533331179726e-09
1841,1.219904222082846e-08,8.346713542550788e-09
1842,1.1404050148655642e-08,1.1404051036834062e-08
1843,1.7130041385371442e-08,5.906911015873817e-09
1844,2.8540518393072034e-08,1.5916827411643908e-08
1845,2.3436957263811564e-08,5.189611906875058e-08
1846,1.9905305403966622e-08,3.5127007969038004e-09
1847,1.887628275909492e-08,2.8584084432736745e-08
1848,2.333114323960217e-08,3.378993085334514e-08
1849,5.027648741773305e-09,1.6758829879393033e-08
1850,4.752297222410107e-09,1.0862393651223101e-08
1851,7.094382858952031e-09,2.966741829979469e-08
1852,1.0416872919805087e-08,3.2552726736412296e-08
1853,2.09017620989016e-08,5.971931837933653e-09
1854,1.4028293915391288e-08,2.96152871115396e-08
1855,8.491099379170919e-09,8.491099379170919e-09
1856,1.7084724746041502e-08,1.1907535180100126e-08
1857,2.5383847912507917e-08,3.075350557546486e-08
1858,1.8595968764856252e-08,2.936205500958522e-09
1859,3.3099126994784456e-08,1.5276520048956854e-08
1860,9.154368096897514e-09,1.9224172642662296e-08
1861,2.782418651037233e-08,1.5091083938045813e-08
1862,6.776979477596257e-09,4.969785055708442e-09
