year,tant_ADV in_ADJ,tant_ADV fines_ADJ
1800,3.772997558826319e-08,3.144164484325529e-09
1801,3.809892135109294e-08,1.904946067554647e-08
1802,1.0070280609397742e-07,0.0
1803,2.7304748684287006e-08,0.0
1804,9.640218934237055e-08,0.0
1805,1.1371510622026904e-08,2.842877711017877e-09
1806,2.881669125542885e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,3.6257183921861724e-08,0.0
1809,1.3554183553310395e-08,2.0331274441787173e-08
1810,1.1700633795186377e-08,9.360507036149102e-09
1811,1.2535384286138651e-08,2.2563691359778204e-08
1812,9.868670503010435e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,1.8880061958270744e-08,3.1466771410748606e-09
1815,5.394447111228828e-09,0.0
1816,1.1588019432906549e-08,0.0
1817,9.341240669868967e-09,0.0
1818,1.0729059418679299e-08,0.0
1819,4.0369094733705424e-08,4.140420006848444e-09
1820,1.3053129244156025e-08,1.1866481131050932e-09
1821,1.8736827200882544e-08,2.9584463767662328e-09
1822,1.0025615893027862e-08,0.0
1823,2.4706716672540097e-08,5.929612356680991e-09
1824,1.51580028528997e-08,0.0
1825,2.3774695989686734e-08,0.0
1826,1.5854372037438225e-08,1.145037931138404e-08
1827,1.6591091167583727e-08,2.7651818612639545e-09
1828,1.1006761724274838e-08,9.172301140836225e-09
1829,1.2859763920403111e-08,0.0
1830,9.39315203396518e-09,1.2524203008013046e-08
1831,1.091384405071949e-08,0.0
1832,9.470978667991403e-09,0.0
1833,1.1583628500844156e-09,1.1583628500844156e-09
1834,1.120143711119681e-08,9.334530925997342e-10
1835,6.050470346963266e-09,3.025235173481633e-09
1836,1.2769425516978572e-08,6.720750067579218e-10
1837,6.262101948095733e-09,0.0
1838,1.2624323808552163e-08,3.787297142565649e-09
1839,2.0974425751774106e-08,2.0974426639952526e-09
1840,7.643626342979104e-09,2.5478754661634184e-09
1841,1.0272877659645019e-08,4.494383976094696e-09
1842,6.037438549100216e-09,6.708265054555795e-09
1843,1.2404512972352677e-08,3.5441467538532834e-09
1844,5.488561161115513e-09,1.6465683927435748e-08
1845,1.0044410636567136e-08,0.0
1846,1.2294452567118697e-08,0.0
1847,2.480882876909618e-08,0.0
1848,4.82713291560799e-09,0.0
1849,7.54147322368226e-09,0.0
1850,2.1724787302446202e-08,0.0
1851,3.4826967976187007e-08,7.094382858952031e-09
1852,8.463708844885787e-09,9.114764054629632e-09
1853,2.329053394589664e-08,0.0
1854,1.7665259477439577e-08,2.5978321716024766e-09
1855,1.1144567935161831e-08,1.0613874223963649e-09
1856,1.65670055451983e-08,2.5885946719483854e-09
1857,1.9526035899275485e-08,4.881509085841174e-10
1858,1.2723557263338847e-08,0.0
1859,4.073738679721828e-09,1.018434669930457e-09
1860,9.612086238064421e-09,7.323494255473406e-09
1861,5.659156698811785e-09,0.0
1862,4.517986429419807e-09,4.517986262886353e-10
1863,1.1487627737949424e-08,4.994620717013731e-09
1864,1.2945765348604255e-08,2.3973640850272204e-09
1865,7.530950973944073e-09,0.0
