year,seraient_VERB au_ADP,seraient_VERB faux_ADJ
1800,1.7921738049153646e-07,3.144164484325529e-09
1801,1.4048977448055666e-07,0.0
1802,2.0588129245879827e-07,0.0
1803,1.8138155155611457e-07,0.0
1804,2.2493843232496147e-07,0.0
1805,1.6772978028711805e-07,8.528632911009026e-09
1806,2.247701900159882e-07,8.645007376628655e-09
1807,2.761546511464985e-07,2.8469550272802735e-08
1808,1.7222161829977267e-07,1.3596443970698147e-08
1809,2.3268013649158092e-07,2.259030518203531e-09
1810,2.433731935980177e-07,0.0
1811,3.0335630185618356e-07,2.5070767684098882e-09
1812,2.4004873466765275e-07,0.0
1813,1.8404746526812232e-07,1.1502966579257645e-08
1814,2.2970742463712668e-07,0.0
1815,2.022917726662854e-07,2.1577788444915313e-08
1816,1.715026911597306e-07,0.0
1817,2.506566261217813e-07,1.8682481339737933e-08
1818,2.384235529007128e-07,2.026600220972341e-08
1819,2.8154855158391e-07,1.9666995143552413e-08
1820,2.9428872494463576e-07,2.3732962262101864e-09
1821,2.7316323780723906e-07,9.86148829262845e-10
1822,3.2081970857689157e-07,3.408709403629473e-08
1823,2.2433698632084997e-07,1.1859224713361982e-08
1824,3.680026168240147e-07,3.3684450784221553e-09
1825,3.707091593696532e-07,7.044354433105582e-09
1826,2.2372280739091366e-07,2.642395191543301e-09
1827,4.147772756368795e-07,4.608636583469661e-09
1828,3.457957689079194e-07,2.0179061976932644e-08
1829,4.1236975789615826e-07,1.2859763920403111e-08
1830,2.3795985271135578e-07,9.39315203396518e-09
1831,2.759643393801525e-07,2.182768810143898e-08
1832,3.5177919244233635e-07,2.976593194148336e-08
1833,3.567757573819108e-07,2.3167257001688313e-09
1834,4.993974016542779e-07,5.600718555598405e-09
1835,2.987419804867386e-07,5.294161553592858e-09
1836,3.0982658927314333e-07,2.016224964762614e-09
1837,3.3537034482833405e-07,2.435261770017405e-08
1838,2.840472745901934e-07,1.8936485712828244e-09
1839,3.719464700679964e-07,1.5381244722334486e-08
1840,2.955535478577076e-07,2.0383003729307347e-08
1841,3.428573052133288e-07,1.3483152372373297e-08
1842,3.4614646438058116e-07,1.0062397137744483e-08
1843,3.1956389534570917e-07,5.906910960362666e-09
1844,3.885901378453127e-07,8.232841963717874e-09
1845,3.722012138496211e-07,4.464182357111213e-09
1846,3.7058993029859266e-07,5.269050973311096e-09
1847,3.5757074101638864e-07,3.235934187273415e-09
1848,3.346812320614845e-07,3.218088684420195e-09
1849,4.751128130919824e-07,4.1897072478036534e-09
1850,2.912479430960957e-07,4.752297222410107e-09
1851,3.0505844961226103e-07,1.0319102017319892e-08
1852,3.040424587652524e-07,5.859490670445666e-09
1853,3.1651239851271384e-07,2.388772735173461e-09
1854,2.7069413022218214e-07,7.79349651480743e-09
1855,2.9028944936726475e-07,9.021793090369101e-09
1856,2.95617496703926e-07,4.659470143053568e-09
1857,3.01677260949873e-07,9.274867096564776e-09
1858,2.6474788228370016e-07,8.31924928945682e-09
1859,2.642837841904111e-07,1.018434669930457e-09
1860,3.355075932631735e-07,1.1442959468865865e-08
1861,3.060660560549877e-07,1.3676294763342867e-08
1862,2.6610939585225424e-07,3.162590411776023e-09
1863,2.7070845476373506e-07,2.9967726078439227e-09
1864,2.838478962985391e-07,4.794728170054441e-09
1865,3.021794157120894e-07,2.8241067262513297e-09
1866,2.7782650136032316e-07,9.731225825149181e-10
1867,3.115505080586445e-07,1.552899675516528e-08
1868,3.1466998962059733e-07,1.975949626142892e-09
1869,2.158515428618557e-07,9.767038733343725e-09
1870,2.9186307415329793e-07,9.17447806614291e-09
1871,3.260701362250984e-07,1.0621177271019633e-09
1872,2.4794090336399677e-07,1.0885210954825197e-08
1873,2.813422099734453e-07,4.190203295451056e-09
1874,2.8618379133149574e-07,4.182226565063729e-09
1875,3.0209662327251863e-07,7.437985338754061e-09
1876,3.180203691499628e-07,3.627608879952504e-09
1877,2.2698274904087157e-07,1.9172929910382663e-08
1878,2.9229190090518387e-07,1.8117265465633636e-09
1879,3.1096465136215556e-07,1.2829582729523281e-08
1880,2.97146272032478e-07,1.2193908105473383e-08
1881,3.102765901985549e-07,3.4862537301449947e-09
1882,3.3143817290692823e-07,1.5972924316542958e-08
1883,2.9574505333584966e-07,3.159669414998234e-09
1884,2.8915431471432385e-07,5.281357573494461e-09
1885,2.8683078312496946e-07,5.156508553483263e-09
1886,3.110569650743855e-07,1.936039106809062e-09
1887,3.0881813017913373e-07,5.223139698529167e-09
1888,2.675739381174935e-07,9.510921827882157e-09
1889,2.9007583179918583e-07,2.5060546970934183e-09
1890,2.733179087499593e-07,4.5880703680722945e-09
1891,2.218228587480553e-07,6.3742202627281586e-09
1892,2.9462009365488484e-07,2.5074049503359674e-09
1893,3.011465707913885e-07,6.774258043407144e-09
1894,3.043643346245517e-07,4.411077725308132e-09
1895,2.864860562112881e-07,7.824199066419624e-09
1896,2.9721024930040585e-07,2.358811590497112e-09
1897,3.0124110139695404e-07,1.7480140668268973e-09
1898,2.772594029920583e-07,1.3580051749784161e-08
1899,2.592434213966044e-07,2.266307141951529e-08
1900,2.4242217477876693e-07,1.661137005726232e-08
1901,2.716127198709728e-07,3.912117296778206e-09
1902,2.7890411047337693e-07,8.347482705062248e-09
1903,2.889117922677542e-07,1.0800440541913758e-08
1904,2.8754243430739734e-07,9.13686282189019e-09
1905,2.812613786318252e-07,8.257214467732865e-09
1906,2.5309387297056674e-07,4.629765903985117e-09
1907,2.705135671021708e-07,3.599990305858114e-09
1908,2.8977194688195596e-07,9.331639461152008e-09
1909,2.596464128146181e-07,7.151278680339601e-09
1910,2.3086731459898147e-07,5.34415089958884e-09
1911,2.8517206374090165e-07,1.3300935464144459e-08
1912,2.6099201022589114e-07,1.3544495303108306e-08
1913,2.492405144494114e-07,1.6969567084856862e-08
1914,2.1563515417710732e-07,4.68772043404897e-09
1915,2.5799869263209985e-07,0.0
1916,2.702915651298099e-07,3.2962386153911893e-09
1917,2.1932848426331475e-07,4.386569774084137e-09
1918,2.366193569969255e-07,1.1486376294556067e-09
1919,2.670276160188223e-07,8.287063479883727e-09
1920,2.498836408904026e-07,1.514446346106979e-09
1921,2.877644078580488e-07,7.572747762196741e-09
1922,2.810993464663625e-07,1.1804696775641332e-08
1923,2.1231896596418665e-07,6.369568872344189e-09
1924,2.4751918203946843e-07,5.156649773851996e-09
1925,2.5075846110667044e-07,4.399271169575059e-09
1926,2.1289125129442255e-07,2.229227691330493e-09
1927,2.341337221878348e-07,3.3447675740205796e-09
1928,2.2052259396332374e-07,1.1426041224282812e-09
1929,2.261502487499456e-07,1.4482528065684619e-08
1930,2.0902170660974662e-07,9.453243521306831e-09
1931,2.40653037053562e-07,6.843213995466613e-09
1932,2.0713524406801298e-07,8.767629289252454e-09
1933,1.8926593270407466e-07,3.4411986593596566e-09
1934,1.9889422731012019e-07,1.1981580172459871e-08
1935,1.8909888410689746e-07,9.574627313213568e-09
1936,2.400693404069898e-07,9.699771652549316e-09
1937,1.8760765385650302e-07,7.554670666820584e-09
1938,2.3078081312633003e-07,1.2965214457594243e-09
1939,2.0494027808126702e-07,9.176430282309411e-09
1940,1.6736167651743017e-07,1.2678914806940611e-08
1941,2.538292278586596e-07,5.9030051957620344e-09
1942,1.9115533689273434e-07,9.102635090130207e-09
1943,1.945167582562135e-07,8.709705845433291e-09
1944,2.634812688029342e-07,9.639558484764166e-09
1945,1.8517283706387389e-07,2.178504043826024e-09
1946,1.8375857280261698e-07,6.960552134671616e-09
1947,2.0980732529096713e-07,2.3841741914054637e-09
1948,2.337455953238532e-07,1.0871888278529696e-08
1949,2.1008398221056268e-07,0.0
1950,2.0313540005645336e-07,4.2541445921528975e-09
1951,2.2388944387330412e-07,3.1984206394497505e-09
1952,1.8137062340883858e-07,7.381362632230548e-09
1953,2.133217833488743e-07,1.2928593307037772e-08
1954,2.0326875471710082e-07,1.172704333640695e-08
1955,2.046062519411862e-07,2.815682353940474e-09
1956,1.761670631594825e-07,6.104799332717903e-09
1957,1.8818630564965133e-07,3.534015080575159e-09
1958,2.2417779632633028e-07,4.1361216673863055e-09
1959,1.968689957720926e-07,6.200598257066758e-09
1960,1.9516750171533204e-07,2.076250060767393e-09
1961,2.0497070352121227e-07,5.55852741612739e-09
1962,1.8074575791615644e-07,5.0735651235811474e-09
1963,1.9721461796962103e-07,6.466053470433053e-09
1964,2.16589270962686e-07,7.909158661334459e-09
1965,1.9206872536869923e-07,7.660860390501512e-09
1966,1.938676206236778e-07,3.8773522170743036e-09
1967,2.0362286079489422e-07,7.395503320850594e-09
1968,1.8639376264673047e-07,6.287982134978165e-09
1969,2.39804819557321e-07,8.175163657142548e-09
1970,2.0740249340178707e-07,6.898087434592526e-09
1971,2.1735421285029588e-07,7.193756701440179e-09
1972,1.877633764024722e-07,3.0780880067027283e-09
1973,2.100530593907024e-07,7.1671650836435674e-09
1974,1.8733153694938665e-07,6.1881286761433785e-09
1975,1.9476146917440929e-07,7.996072248772634e-09
1976,2.079723770975761e-07,3.9994687561772935e-09
1977,1.7924185158335604e-07,1.1753563677885381e-09
1978,1.8059397177694336e-07,6.534650598410963e-09
1979,2.1418222218017036e-07,9.948355028654987e-09
1980,2.0352840124360227e-07,2.8425752862659692e-09
1981,1.8850137450954207e-07,4.427884725544118e-09
1982,1.942948273381262e-07,3.1037510339615437e-09
1983,1.9766939374221693e-07,8.841442245000053e-09
1984,2.4007894694477727e-07,4.639206796497319e-09
1985,1.882869611335991e-07,4.812446441349039e-09
1986,1.7623787584852835e-07,1.2588419195935785e-08
1987,1.8454666417255794e-07,6.110816741511371e-09
1988,1.5950833187616809e-07,5.396898483667201e-09
1989,2.058045822650456e-07,5.488121956886971e-09
1990,1.945168435213418e-07,3.814055737905164e-09
1991,1.8580844596272073e-07,2.9307325455363298e-09
1992,1.8954207803290046e-07,4.4079553340736766e-09
1993,1.800242444005562e-07,1.1078414630105726e-08
1994,2.152169997771125e-07,2.637463358823311e-09
1995,1.9032802356377942e-07,4.337960657352369e-09
1996,2.0338131889729993e-07,3.2028553142993132e-09
1997,2.0857791582784557e-07,1.102825741838842e-08
1998,2.283933895341761e-07,2.86087753487152e-09
1999,1.8189400918799947e-07,6.8553016596695215e-09
