year,tout_ADV au_ADP,tout_ADV faux_ADJ
1800,5.345079490126636e-08,1.8864986461863964e-08
1801,1.1191557902634486e-07,5.000483582762172e-08
1802,6.042168365638645e-08,3.5805442166747525e-08
1803,1.287223887480593e-07,1.2677205063482688e-07
1804,6.179627476399219e-08,8.651478378141064e-08
1805,6.822906506442905e-08,1.0518647619583987e-07
1806,8.068673729155762e-08,9.797675204481493e-08
1807,7.402083213037258e-08,1.1387820553210304e-07
1808,6.571614363792833e-08,1.5182695278781466e-07
1809,7.228897835886983e-08,5.1957701252547395e-08
1810,7.254392997424475e-08,1.567884990727464e-07
1811,5.515568979319596e-08,1.6295999216708879e-07
1812,1.2269157600997005e-07,9.068507722531649e-08
1813,2.2143210998137874e-07,7.476928232108548e-08
1814,7.237357380063258e-08,6.608021863030444e-08
1815,2.966945888971395e-08,1.0788894222457657e-08
1816,8.343373814057031e-08,5.3304887615013286e-08
1817,6.85024303948012e-08,7.940054302935096e-08
1818,3.337929666002992e-08,3.5763530803478716e-08
1819,9.729986949480462e-08,6.728182633253255e-08
1820,6.407899721949661e-08,5.458581142647745e-08
1821,6.409967312492881e-08,4.2404400435458456e-08
1822,9.825103575167304e-08,7.920236555492011e-08
1823,6.522573503531248e-08,7.214361197327435e-08
1824,1.0694812857536817e-07,6.231623217445303e-08
1825,7.220463604795668e-08,6.251864581585664e-08
1826,6.165589194750964e-08,5.196710839427965e-08
1827,7.926854794781946e-08,8.111200511251582e-08
1828,7.337840646215454e-08,5.503380623439469e-08
1829,1.0373543024577714e-07,8.315980437600956e-08
1830,1.356788690287658e-07,5.635891486832634e-08
1831,8.886987679090907e-08,6.392394702459114e-08
1832,1.6641862132793506e-07,7.712082528144037e-08
1833,1.0309429132604464e-07,1.9692169006546578e-08
1834,1.120143711119681e-07,5.1339920759119195e-08
1835,9.529490796467144e-08,5.974839467626225e-08
1836,7.191202922030016e-08,5.040562456315456e-08
1837,1.2385045611296164e-07,7.653679867658525e-08
1838,1.0478188849916137e-07,6.690891685146028e-08
1839,9.368576492363445e-08,4.894032556990169e-08
1840,1.3694830869326324e-07,5.223144716737238e-08
1841,1.2776891367138887e-07,6.998397683588564e-08
1842,1.0800306959879435e-07,4.62870293205242e-08
1843,1.5239830730706672e-07,4.607390668986966e-08
1844,1.3831174339173913e-07,5.927646196113301e-08
1845,1.272291987319818e-07,5.915041578763436e-08
1846,1.2294452567118697e-07,5.795956248277889e-08
1847,1.5963942523455898e-07,5.015698167909477e-08
1848,2.059576766910709e-07,5.30984625157771e-08
1849,1.0977033859660423e-07,4.9438549254432473e-08
1850,1.4053221075727151e-07,4.412847331991543e-08
1851,1.3801799214618882e-07,9.609663464971163e-08
1852,1.2565352403015595e-07,6.380334527378295e-08
