year,étaient_VERB au_ADP,étaient_VERB faux_ADJ,etaient_VERB au_ADP
1800,2.1694734186894493e-06,1.8864987794131594e-08,9.432493897065797e-09
1801,2.033529881373397e-06,3.333655484993869e-08,9.524730337773235e-09
1802,1.859645180957159e-06,4.0281122437590966e-08,4.475680270843441e-09
1803,1.7631066384637961e-06,3.705644502360883e-08,5.851017448321727e-09
1804,2.75611387223762e-06,7.662737999680758e-08,2.4718509461507665e-09
1805,1.5237824300129432e-06,2.2743022043414385e-07,5.685755422035754e-09
1806,2.0171682990621775e-06,9.221341201737232e-08,2.881669125542885e-09
1807,2.7957098609476816e-06,1.4234775846944103e-07,2.562259560079383e-08
1808,1.7312805766778183e-06,6.118399653587403e-08,9.064295980465431e-09
1809,2.1234886844467837e-06,6.09938268780752e-08,6.7770917766551975e-09
1810,1.8721013930189656e-06,5.148278958699848e-08,9.360507036149102e-09
1811,2.602345603008871e-06,1.4791753244480788e-07,7.521229861140455e-09
1812,2.4725020466576098e-06,9.601949813031752e-08,5.3344164641089264e-09
1813,2.8124752589064883e-06,1.121539270343419e-07,8.627225156487839e-09
1814,2.4481148557242705e-06,4.090680150170556e-08,6.293354282149721e-09
1815,3.4389599932183046e-06,5.933891955578474e-08,8.091670444798638e-09
1816,2.667562057467876e-06,7.416332437060191e-08,4.6352077731626196e-09
1817,3.0390169740712736e-06,7.005930058312515e-08,6.227493631882908e-09
1818,3.3045503187167924e-06,1.0848271614349869e-07,7.152706427149269e-09
1819,3.2046850719780196e-06,9.315944993204539e-08,1.449147024601416e-08
1820,3.6691160403279355e-06,1.5307760747873544e-07,9.493184904840746e-09
1821,3.6517092212307034e-06,9.960103142248045e-08,1.1833785507064931e-08
1822,3.895954250765499e-06,1.223125138949399e-07,1.1028177482330648e-08
1823,3.928368187189335e-06,1.363810753218786e-07,5.929612356680991e-09
1824,3.823185124929296e-06,1.1621135342920752e-07,3.3684450784221553e-09
1825,4.0434592847304884e-06,1.4440927031955653e-07,1.4969252504215547e-08
1826,4.03669901061221e-06,1.1714619319036501e-07,1.145037931138404e-08
1827,4.1560683712305035e-06,1.705195558088235e-07,1.8434546111834038e-09
1828,4.0486538637196645e-06,1.2199160437376122e-07,1.1006761724274838e-08
1829,4.4186149352754e-06,1.2602568233432976e-07,1.3717081692732336e-08
1830,4.233180789015023e-06,1.6490200493990415e-07,1.0436835395921662e-08
1831,3.857264346152078e-06,1.0602020239502963e-07,1.7150327380477393e-08
1832,3.97104622607003e-06,1.0282776941039629e-07,1.488296597074168e-08
1833,4.524565156316385e-06,7.066013552048389e-08,4.6334514003376626e-09
1834,4.264947165211197e-06,1.521528503189984e-07,6.534171426153534e-09
1835,4.693652499554446e-06,1.232783404248039e-07,7.563087933704082e-09
1836,4.4121725295553915e-06,8.199315004731034e-08,1.1425274948351216e-08
1837,4.761284799315035e-06,7.653680000885288e-08,6.957891152126194e-09
1838,4.91906757815741e-06,1.1929985532788123e-07,2.5248647617104325e-09
1839,4.674500360124512e-06,1.0696957275513341e-07,6.9914749545318955e-09
1840,5.05434809383587e-06,1.242089240349742e-07,7.0066574764382494e-09
1841,4.245266609359533e-06,1.2584274600158096e-07,2.5682194149112547e-09
1842,4.996986717742402e-06,9.592819338877234e-08,1.2745703159566801e-08
1843,4.280147550161928e-06,1.7189111645166122e-07,7.678984559333912e-09
1844,4.924886070512002e-06,9.714753446132818e-08,8.232841963717874e-09
1845,4.824665211344836e-06,1.2611315014510183e-07,3.9061593959388574e-09
1846,4.671306669479236e-06,1.1884637984849178e-07,7.025401593807601e-09
1847,4.455881480680546e-06,1.1163972857275439e-07,1.4022381478184798e-08
1848,4.74507169201388e-06,8.608387247477367e-08,1.126331028444838e-08
1849,4.828219061892014e-06,1.3826034717112634e-07,5.02764896381791e-09
1850,4.4013063416059595e-06,1.0455053711666551e-07,3.394498016007219e-09
1851,4.518476998782717e-06,1.0190112931240947e-07,9.674158363282004e-09
1852,4.175212779955473e-06,7.226705633911479e-08,3.906327261660181e-09
1853,4.333233846409712e-06,1.1227231766497425e-07,9.555090940693844e-09
1854,3.9892311178846285e-06,1.023545905809442e-07,4.676098175337984e-09
1855,4.282167537894566e-06,1.353268999082502e-07,3.1841622671890946e-09
1856,4.1267376218456775e-06,1.0147290652184893e-07,2.5885946719483854e-09
1857,4.2073725126101635e-06,1.366822601767126e-07,2.9289055625270066e-09
1858,4.4273087951296475e-06,8.368186144025458e-08,9.787352039936081e-10
1859,4.499953774939058e-06,7.129042955966725e-08,8.147477359443656e-09
1860,4.176222773821792e-06,9.886717577956006e-08,7.323494255473406e-09
1861,4.23069104726892e-06,8.913171711810719e-08,6.6023493339173456e-09
1862,4.236967470205855e-06,1.1882303851962206e-07,4.066187830886747e-09
1863,4.0910940697358456e-06,1.393499218238503e-07,5.9935452156878455e-09
1864,3.9407868825946935e-06,9.685350477184329e-08,4.315255264231155e-09
1865,4.070949671586277e-06,1.0590400023602342e-07,2.3534221238463715e-09
1866,4.2929304981953464e-06,7.784980482483661e-08,3.4059290943133647e-09
1867,4.091890787094599e-06,1.3879041205200338e-07,3.396968040192405e-09
1868,4.14307260143687e-06,7.95319721191845e-08,2.9639244392143382e-09
1869,4.11241126130335e-06,1.098791813092248e-07,5.371870948067681e-09
1870,3.881951215589652e-06,9.059797179133966e-08,5.160643912205387e-09
1871,3.78538766199199e-06,7.541035529357032e-08,1.0621177271019633e-09
1872,4.21136701334035e-06,1.0522370530452463e-07,2.4189357183956872e-09
1873,4.1447096919000614e-06,9.278306833948591e-08,3.591602570907071e-09
1874,4.081255610799417e-06,7.408515045881359e-08,2.9873046258899194e-09
1875,3.979894245276228e-06,1.1900776542006497e-07,1.1443054281912168e-09
1876,3.81261702386837e-06,9.492243435715864e-08,3.02300739996042e-09
1877,3.814176125160884e-06,1.0204946221392674e-07,2.4739263970730008e-09
1878,4.129528861085419e-06,8.092379033541874e-08,1.2078177347163432e-09
1879,3.949067831854336e-06,1.0263666183618625e-07,1.832797580370027e-09
1880,3.460502739471849e-06,8.728270728397547e-08,3.8507077526617195e-09
1881,3.898328941431828e-06,1.5409241882480273e-07,4.183504653809678e-09
1882,3.810207999777049e-06,6.322616030729478e-08,8.652000893505374e-09
1883,3.6304602417658316e-06,7.140852886777793e-08,3.159669414998234e-09
