year,était_VERB au_ADP,était_VERB faux_ADJ,etait_VERB au_ADP,etait_VERB faux_ADJ
1800,4.50873176305322e-06,2.04370692813427e-07,2.829747991484055e-08,0.0
1801,4.5456777115759905e-06,1.6430159632818686e-07,4.048010393553625e-08,0.0
1802,3.43508463629405e-06,1.432217686669901e-07,1.5664880947952042e-08,0.0
1803,3.7485519897018094e-06,1.2872239096850535e-07,3.900678446910888e-09,0.0
1804,5.729750682803569e-06,1.97748079244775e-07,1.4831105232815389e-08,0.0
1805,3.488210950308712e-06,1.3645812657614442e-07,1.421438877713399e-08,0.0
1806,4.397426891955547e-06,1.815451611264507e-07,8.645007376628655e-09,0.0
1807,5.437684194475878e-06,3.416346032736328e-07,5.693910232196231e-09,2.8469551160981155e-09
1808,3.825132807833143e-06,2.039466551195801e-07,3.172503637571822e-08,0.0
1809,4.608422386809252e-06,2.5301142159150913e-07,2.9367397402779716e-08,2.259030518203531e-09
1810,4.5492065510188695e-06,3.205973655440175e-07,1.1700633351097167e-08,0.0
1811,6.009463049849728e-06,2.9583506488961575e-07,1.504245972228091e-08,0.0
1812,5.214391876506852e-06,2.667208320872305e-07,1.8670456736202823e-08,2.6672082320544632e-09
1813,7.085827292030444e-06,2.933256553205865e-07,2.5881675469463516e-08,2.8757416448144113e-09
1814,6.538794877997134e-06,2.800542517888971e-07,6.293354282149721e-09,0.0
1815,5.890736247238237e-06,3.560334960184264e-07,8.091670444798638e-09,8.091670444798638e-09
1816,5.991006219119299e-06,2.1785476178592944e-07,1.1588019432906549e-08,0.0
1817,6.95299650033121e-06,4.7173264761113387e-07,7.784366928831332e-09,1.556873407970727e-09
1818,6.197820312081603e-06,3.9220674352691276e-07,1.0729059418679299e-08,0.0
1819,6.498389211628819e-06,3.063910867240338e-07,2.7947834824182394e-08,0.0
1820,7.587428171973443e-06,3.5836774259223603e-07,2.610625848831205e-08,1.1866481131050932e-09
1821,7.81128528615227e-06,4.023487178983487e-07,4.339054981983281e-08,9.86148829262845e-10
1822,8.31324086902896e-06,4.3912197611462034e-07,1.4035862250239006e-08,0.0
1823,8.248090125562157e-06,5.040170094616769e-07,9.882686669016039e-09,0.0
1824,8.189532309188507e-06,4.1179239929078904e-07,1.6842226280289196e-08,0.0
1825,8.396870725846384e-06,4.1913909853974474e-07,6.163809906922779e-09,0.0
1826,7.060480129439384e-06,4.1749845536287467e-07,2.730475201495608e-08,1.7615968683770689e-09
1827,8.202451681427192e-06,5.253845642982924e-07,2.949527377893446e-08,1.8434546111834038e-09
1828,8.63113564264495e-06,4.4485662442639295e-07,4.586150481600271e-08,9.172301140836225e-09
1829,9.763990419742186e-06,4.6809540776848735e-07,1.8860987438529264e-08,1.714635211591542e-09
1830,8.853568033373449e-06,4.080802682437934e-07,2.191735437584441e-08,2.0873671680021744e-09
1831,8.567367331124842e-06,4.381128917430033e-07,1.7150326936388183e-08,0.0
1832,9.029901775647886e-06,3.098363094977685e-07,2.3000948701223933e-08,0.0
1833,9.439499081054237e-06,4.934625508212775e-07,1.6217079235048004e-08,0.0
1834,8.889273885870352e-06,4.7512762080259563e-07,1.4935249259551142e-08,0.0
1835,9.27990913623944e-06,4.091630501079635e-07,2.0420337421001022e-08,7.563087933704082e-10
1836,8.851900020090397e-06,4.281117753635044e-07,1.747394939854985e-08,6.720750067579218e-10
