year,petit_ADJ enfant_NOUN
1800,8.45780252056727e-07
1801,9.596165706504678e-07
1802,8.817090133561578e-07
1803,8.01589408183645e-07
1804,9.640218703310666e-07
1805,7.476768359993002e-07
1806,1.0345192684724225e-06
1807,5.124519000254679e-07
1808,8.293831084138503e-07
1809,7.658113239106257e-07
1810,1.1513424076348144e-06
1811,6.593611736604998e-07
1812,4.3475493383127173e-07
1813,7.47692855185278e-07
1814,4.153613826218816e-07
1815,6.554253229040796e-07
1816,7.254099898545974e-07
1817,8.282566792416901e-07
1818,8.130242830084455e-07
1819,7.804691906088124e-07
1820,7.558948524888365e-07
1821,1.0660268534579131e-06
1822,7.007905509226475e-07
1823,8.212512945249273e-07
1824,7.486368964748635e-07
1825,1.0786667925533067e-06
1826,8.825600354978036e-07
1827,7.631901998150781e-07
1828,8.099142120299163e-07
1829,7.287199640382269e-07
1830,7.170106488540995e-07
1831,8.933761126428408e-07
1832,1.1473414112117553e-06
1833,1.0888610338932736e-06
1834,1.056668873289368e-06
1835,1.366649954093191e-06
1836,1.6647297780281178e-06
1837,1.3380024501685739e-06
1838,1.0907416234662293e-06
1839,1.1319198200965275e-06
1840,1.0350744630294173e-06
1841,1.3386843615847965e-06
1842,1.3356155541544013e-06
1843,1.3455942964313294e-06
1844,1.2771881756634684e-06
1845,1.4765283182782696e-06
1846,1.2903320740775825e-06
1847,1.0047575536020759e-06
1848,1.1826475585507978e-06
1849,9.72850052960439e-07
1850,1.2260927126916954e-06
1851,1.235712411506995e-06
1852,1.4043246512329688e-06
1853,1.3186025249467548e-06
1854,1.4147794260566116e-06
1855,1.6478039519540744e-06
1856,1.8068389948666663e-06
1857,1.6777746720819664e-06
1858,1.497464900523937e-06
1859,1.7573090254074941e-06
1860,1.7544345958242502e-06
1861,1.894402632984793e-06
1862,1.7294851177851456e-06
1863,1.7611032827602457e-06
1864,1.8656285973861486e-06
1865,1.8610862717594046e-06
1866,1.872287839432829e-06
1867,1.7664233737946233e-06
1868,1.552108460423085e-06
1869,1.7585552640753122e-06
1870,1.6468188146490093e-06
1871,1.3435788961402295e-06
1872,1.519696321228281e-06
1873,1.544987751955773e-06
1874,1.3867067938377886e-06
1875,1.6237694175913475e-06
1876,1.6275871868032254e-06
1877,1.5783649907064046e-06
1878,1.5870725462718838e-06
1879,1.716720392508364e-06
1880,1.765549555443613e-06
1881,1.6594568261751874e-06
1882,1.8967847399409266e-06
1883,1.8357680025005152e-06
1884,1.618736153119471e-06
1885,1.4592919264089232e-06
1886,1.590133511086833e-06
1887,1.6276608745258159e-06
1888,1.668849835212427e-06
1889,1.5431031776813597e-06
1890,1.5258611210100526e-06
1891,1.6343500579552028e-06
1892,1.7752427421413586e-06
1893,1.583328870680134e-06
1894,1.6478525388663456e-06
1895,1.485995934302764e-06
1896,1.7172148787381047e-06
1897,1.7072270477314078e-06
1898,1.652239606464434e-06
1899,1.7212879530603686e-06
1900,1.6974744321274216e-06
1901,1.4603375184663037e-06
