year,excellent_ADJ enfant_NOUN
1800,2.515331676278265e-08
1801,0.0
1802,1.5664880947952042e-08
1803,5.851017670366332e-09
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,1.7081731584767113e-08
1808,2.2660739951163578e-09
1809,0.0
1810,7.020380277111826e-09
1811,0.0
1812,0.0
1813,1.7254450312975678e-08
1814,0.0
1815,0.0
1816,0.0
1817,4.670620334934483e-09
1818,0.0
1819,4.140420006848444e-09
1820,2.3732962262101864e-09
1821,1.97229765852569e-09
1822,1.0025615893027862e-09
1823,6.917880934764753e-09
1824,0.0
1825,2.641632912414593e-09
1826,8.807984341885344e-10
1827,0.0
1828,0.0
1829,1.714635211591542e-09
1830,7.305785310052215e-09
1831,1.870944643656003e-08
1832,5.411987857861789e-09
1833,1.9692167896323554e-08
1834,1.8669061851994684e-09
1835,9.075705520444899e-09
1836,2.016224964762614e-09
1837,6.262101948095733e-09
1838,1.2624323808552163e-09
1839,2.7965900706306e-09
1840,4.4587821212971335e-09
1841,4.494383976094696e-09
1842,1.408735661456717e-08
1843,1.2404513194397282e-08
1844,1.2074834521147437e-08
1845,1.227650126001123e-08
1846,1.1709002656346001e-09
1847,1.6179670936367074e-09
1848,8.045221711050488e-10
1849,8.379414939696517e-10
1850,0.0
1851,1.9348316282474798e-09
1852,7.161600201754936e-09
1853,5.971931837933653e-10
1854,3.117398783558656e-09
1855,7.429711956774554e-09
1856,1.2425253714809514e-08
1857,4.393358177257056e-09
1858,3.425573102955326e-09
1859,3.055304009791371e-09
1860,1.830873536112776e-09
1861,9.903524222920623e-09
1862,2.1234535962921797e-08
1863,2.9967726078439227e-09
1864,8.151037178549814e-09
1865,2.3534221793575227e-09
1866,1.1190909976477315e-08
1867,1.261730986357179e-08
1868,1.0373735648272486e-08
1869,1.0743742007157664e-08
1870,3.4404292748035914e-09
1871,8.496942038860311e-09
1872,6.652073447632745e-09
1873,4.788803575905831e-09
1874,7.169530913397892e-09
1875,1.4303817685856757e-08
1876,6.04601479992084e-09
1877,6.80329748092845e-09
1878,1.0870359723469392e-08
1879,1.9549841634436405e-08
1880,6.417846032391594e-09
1881,9.761510710859511e-09
1882,7.320923867126794e-09
1883,5.687405213450347e-09
1884,1.5183903911974994e-08
1885,8.379326565943757e-09
1886,1.613365974151293e-08
1887,2.6115698492645834e-09
1888,1.9021844099853524e-09
1889,4.385595886446936e-09
1890,3.9326319978272295e-09
1891,7.649063604731055e-09
1892,2.5074049503359674e-08
1893,3.695050043717174e-09
1894,1.8904617871129403e-09
1895,4.814891596538473e-09
1896,0.0
1897,8.740070001067579e-09
1898,1.13167097914868e-09
1899,3.8693048765026106e-09
1900,6.22926377147337e-09
