year,serait_VERB au_ADP,serait_VERB faux_ADJ
1800,1.103601789509412e-06,9.432493897065797e-09
1801,5.667214395543851e-07,3.333655484993869e-08
1802,5.124653625898645e-07,1.3427040812530322e-08
1803,6.221582111720636e-07,2.5354410126965377e-08
1804,1.050536639013444e-06,2.2246657849223084e-08
1805,6.879764100631292e-07,2.2743021688143017e-08
1806,6.195588753143966e-07,1.729001475325731e-08
1807,8.683213081894792e-07,6.547996633798903e-08
1808,6.412989250748069e-07,3.3991110370834576e-08
1809,7.070765377648058e-07,8.584316191218022e-08
1810,7.441603315783141e-07,6.084329839950442e-08
1811,9.426608471585496e-07,2.757784400841956e-08
1812,1.4456268218054902e-06,5.867858021701977e-08
1813,1.08415463273559e-06,4.601186631703058e-08
1814,1.4474715044343611e-06,2.8320094713762956e-08
1815,1.0033671742348815e-06,1.2137506644194218e-07
1816,1.0962265832858975e-06,4.8669683394564345e-08
1817,1.0322070238544256e-06,2.1796227045456362e-08
1818,9.978025445889216e-07,4.530047448270125e-08
1819,1.1013516996172257e-06,8.384350280721264e-08
1820,1.2744600326186628e-06,6.170570543417853e-08
1821,1.1547803069333895e-06,6.212737702071536e-08
1822,1.0366486549173715e-06,7.118187284049782e-08
1823,9.704798458187724e-07,7.214361374963119e-08
1824,1.0997973731718957e-06,9.263224143296611e-08
1825,1.1262161478953203e-06,5.371320099811783e-08
1826,1.0296533901055227e-06,5.19671061738336e-08
1827,1.4111644759395858e-06,8.387718253288767e-08
1828,1.308887362938549e-06,1.1281930767381709e-07
1829,1.6006119949452113e-06,1.4060009334571077e-07
1830,1.4830743566562887e-06,7.931995327226105e-08
1831,1.5388520751002943e-06,7.483778574624012e-08
1832,1.6330673133779783e-06,5.547287429408243e-08
1833,1.310108359575679e-06,9.266902623039641e-08
1834,1.5149943237702246e-06,1.213489042584115e-07
1835,1.3749694289799663e-06,1.2705987728622858e-07
1836,1.2829912066081306e-06,1.0551577389605882e-07
1837,1.3066919564153068e-06,5.0792603900617905e-08
1838,1.2605387382791378e-06,7.763959075646198e-08
1839,1.2983169881408685e-06,6.711816524784808e-08
1840,1.5166228877205867e-06,1.229349919640299e-07
1841,1.4343505654323963e-06,1.0979137954336693e-07
1842,1.381902620778419e-06,1.1135720257016146e-07
1843,1.379263721901225e-06,9.096643083239542e-08
1844,1.4736787079527858e-06,1.125155080217155e-07
1845,1.4374667216543457e-06,1.1216258144486346e-07
1846,1.3962985576654319e-06,6.966856602730331e-08
1847,1.4691140677314252e-06,1.1433634483637434e-07
1848,1.4159589909468195e-06,8.20612626739603e-08
1849,1.340706376140588e-06,1.1814974953949786e-07
1850,1.3204597735239076e-06,7.264225843073291e-08
1851,1.4117821365289274e-06,8.706741994046752e-08
1852,1.1816639471362578e-06,7.812654700956045e-08
1853,1.1352642559359083e-06,6.270528274399112e-08
1854,1.2329311402936582e-06,7.793496337171746e-08
1855,1.1728330946425558e-06,1.178140038859965e-07
1856,1.1560663324416964e-06,8.542362195385067e-08
1857,1.138856077886885e-06,8.249750038658021e-08
1858,1.1969931392741273e-06,7.878818308881819e-08
1859,1.4365020888362778e-06,1.0031581609837303e-07
1860,1.2642182127819979e-06,9.108595833140498e-08
1861,1.2162470284238225e-06,9.573406600793533e-08
1862,1.3111196039972128e-06,7.996835904577893e-08
1863,1.2546487369036186e-06,1.1687412637684247e-07
1864,1.2672466027652263e-06,1.0740190248270665e-07
1865,1.2666117754633888e-06,9.97850975181791e-08
1866,1.1789379641413689e-06,8.612134649865766e-08
1867,1.3078326901450055e-06,6.842464017609018e-08
1868,1.2690536550508114e-06,7.854399797224687e-08
1869,1.3263637583804666e-06,1.1280928902124288e-07
1870,1.3675706895810436e-06,1.1353416340398326e-07
1871,1.3616348724099225e-06,9.771483178155904e-08
1872,1.305015871366777e-06,1.663018309727704e-07
1873,1.1894190947714378e-06,9.757187058312411e-08
1874,1.1925319540750934e-06,6.572069821686455e-08
1875,1.4143614635031554e-06,8.467860368455149e-08
1876,1.0707492492656456e-06,1.3603533943751245e-07
1877,1.3439605481835315e-06,8.535045736834945e-08
1878,1.156485495812376e-06,1.2138568195041444e-07
1879,1.2976206562598236e-06,9.46945419855183e-08
1880,1.3387626722760615e-06,7.573058269372268e-08
1881,1.2438953262972063e-06,5.368830713337047e-08
1882,1.438894287275616e-06,5.856738738430067e-08
1883,1.1937231647607405e-06,7.58320695126713e-08
1884,1.1163469935127068e-06,7.790002598540013e-08
1885,1.2510978422142216e-06,7.21911206369441e-08
1886,1.171303665614687e-06,7.937760670984062e-08
1887,1.1249337603658205e-06,7.965287807110144e-08
1888,1.0893176067838795e-06,1.0462014188306057e-07
1889,1.0857481811399339e-06,8.144677821064761e-08
1890,1.2761390735249734e-06,8.586246025288347e-08
1891,1.2066398085153196e-06,9.68881437302116e-08
1892,1.095735910894291e-06,7.334159590755007e-08
1893,1.1627090543697705e-06,9.299208869606446e-08
1894,1.2073749076080276e-06,1.1153724699397571e-07
1895,1.2428438367351191e-06,8.125129369318529e-08
1896,1.1711499610100873e-06,9.258335609274582e-08
1897,1.044147097672976e-06,1.252743402346823e-07
1898,1.1192225883860374e-06,1.0864041399827329e-07
1899,1.0607423064357135e-06,1.0557674556821439e-07
1900,1.072990698958165e-06,1.1627959395354992e-07
