year,soit_VERB in_ADJ,soit_VERB fine_ADJ
1800,3.144164395507687e-08,3.144164484325529e-09
1801,1.1905912700171939e-08,0.0
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,1.755305234496518e-08,9.751696339321825e-09
1804,4.943701892301533e-09,1.4831105232815389e-08
1805,2.2743021688143017e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,3.131650672116848e-08,2.8469551160981155e-09
1808,3.172503681980743e-08,0.0
1809,2.259030518203531e-09,2.259030518203531e-09
1810,1.4040760554223652e-08,7.020380277111826e-09
1811,2.5070767684098882e-09,7.521229861140455e-09
1812,1.0668832928217853e-08,2.6672082320544632e-09
1813,4.026038169513413e-08,0.0
1814,3.1466771410748606e-09,6.293354282149721e-09
1815,5.394447111228828e-09,0.0
1816,3.244645441213834e-08,0.0
1817,9.341240669868967e-09,7.784366928831332e-09
1818,1.1921176934492905e-08,0.0
1819,1.2421260464634543e-08,3.1053151161586356e-09
1820,2.3732962262101864e-09,4.746592452420373e-09
1821,9.861488514673056e-09,6.903041693817613e-09
1822,7.017931125119503e-09,6.015369535816717e-09
1823,1.680056804787e-08,0.0
1824,5.052667617633233e-09,8.421112696055388e-10
1825,2.1133063299316746e-08,1.3208164340028361e-08
1826,9.688783109140786e-09,1.6735169694470642e-08
1827,3.502563927781921e-08,1.8434546111834038e-09
1828,7.337841001486822e-09,3.668920500743411e-09
1829,1.0287811491593857e-08,5.143905745796928e-09
1830,9.39315203396518e-09,1.2524203008013046e-08
1831,6.236482441579483e-09,1.5591206548037917e-08
1832,1.352996914505411e-08,3.3824925083081325e-08
1833,1.9692167896323554e-08,2.3167257001688313e-09
1834,2.42697808516823e-08,2.8003592777992026e-09
1835,2.0420337421001022e-08,2.2689263801112247e-09
1836,7.392825018825988e-09,1.4113575197427508e-08
1837,7.653680356156656e-09,2.0873671680021744e-09
1838,6.943378316748294e-09,1.8936485712828244e-09
1839,1.677954131196202e-08,1.11863602825224e-08
1840,7.64362617644565e-09,1.52872523528913e-08
1841,1.4125206782011901e-08,6.420548537278137e-09
