year,est_VERB in_ADJ,est_VERB fine_ADJ
1800,7.105811619112501e-07,3.710113958277361e-07
1801,6.667311254204833e-07,4.02419857437053e-07
1802,9.152765869657742e-07,4.072869046467531e-07
1803,6.865193995508889e-07,5.519460160030576e-07
1804,9.862685601547128e-07,6.945901418475842e-07
1805,9.55206928665575e-07,5.060322223471303e-07
1806,6.42612235424167e-07,2.795219131712656e-07
1807,9.451890718992217e-07,3.1316506010625744e-07
1808,1.0152011782338377e-06,4.192236815470096e-07
1809,7.635522933924221e-07,6.099382403590425e-07
1810,1.1419818974900409e-06,3.5803938658318657e-07
1811,9.351396101919818e-07,2.908209069119039e-07
1812,9.575277317708242e-07,3.8941240632084373e-07
1813,1.2624506098291022e-06,2.8469841595324397e-07
1814,7.268824333550583e-07,1.5104049566616595e-07
1815,8.631115520074673e-07,3.2366682489737286e-07
1816,1.1495314993226202e-06,4.472975376756949e-07
1817,8.578372217016295e-07,2.2107602148935257e-07
1818,7.605711402902671e-07,2.455762455610966e-07
1819,9.750689287102432e-07,2.2461777859916765e-07
1820,7.808144459886535e-07,1.4121113167675503e-07
1821,1.2001431741737179e-06,2.849970144325198e-07
1822,9.835129048951785e-07,1.8647645561031823e-07
1823,9.161250886791095e-07,2.935157965566759e-07
1824,9.044275088854192e-07,2.3242270685841504e-07
1825,1.1059636335630785e-06,2.2894151641139615e-07
1826,8.922488063944911e-07,1.8584846372959873e-07
1827,9.825613460634486e-07,1.7973682986394124e-07
1828,8.585274144934374e-07,5.457519023366331e-07
1829,8.916102842704277e-07,7.338638852161239e-07
1830,9.528831128591264e-07,2.4317827751474397e-07
1831,7.92033290508698e-07,8.87139606220444e-07
1832,8.009741918613145e-07,2.1242051673198148e-07
1833,7.69152904922521e-07,2.919074404417188e-07
1834,9.838595360633917e-07,2.6976795197697356e-07
1835,8.87906537627714e-07,2.4882558591343695e-07
1836,1.1895727993760374e-06,1.98262128492388e-07
1837,7.653679858776741e-07,2.2056514126234106e-07
1838,9.304126820097736e-07,2.512240371288499e-07
1839,1.0661999567673774e-06,2.747649716638989e-07
1840,1.171385747511522e-06,1.726185558936777e-07
1841,9.59871954364644e-07,2.073837208627083e-07
1842,8.163958682416705e-07,2.8577210287039634e-07
1843,1.0732857163020526e-06,1.9788151917055075e-07
1844,1.2716996025119442e-06,2.425944103379152e-07
1845,1.1260899555054493e-06,2.293473642112076e-07
1846,1.3231173170424881e-06,1.9554033769964008e-07
1847,9.955890618584817e-07,1.8121231448731123e-07
1848,8.093493306660093e-07,2.8480084779403114e-07
1849,6.602978714909113e-07,2.329477410967229e-07
