year,était_VERB aux_ADP,était_VERB faux_ADJ,etait_VERB aux_ADP,etait_VERB faux_ADJ
1800,6.791395321670279e-07,2.04370692813427e-07,0.0,0.0
1801,7.50072501887189e-07,1.6430159632818686e-07,2.3811825844433088e-09,0.0
1802,3.960977039696445e-07,1.432217686669901e-07,0.0,0.0
1803,5.10988854784955e-07,1.2872239096850535e-07,1.950339223455444e-09,0.0
1804,6.179627121127851e-07,1.97748079244775e-07,0.0,0.0
1805,5.543611791836156e-07,1.3645812657614442e-07,0.0,0.0
1806,6.771922471671132e-07,1.815451611264507e-07,5.76333825108577e-09,0.0
1807,8.199230592254025e-07,3.416346032736328e-07,2.8469551160981155e-09,2.8469551160981155e-09
1808,6.526292963826563e-07,2.039466551195801e-07,4.5321479902327155e-09,0.0
1809,8.471364481010824e-07,2.5301142159150913e-07,1.129515236897305e-08,2.259030518203531e-09
1810,5.101476290292339e-07,3.205973655440175e-07,0.0,0.0
1811,8.448848802800057e-07,2.9583506488961575e-07,5.0141535368197765e-09,0.0
1812,5.894530090699845e-07,2.667208320872305e-07,2.6672082320544632e-09,2.6672082320544632e-09
1813,9.720006346469745e-07,2.933256553205865e-07,0.0,2.8757416448144113e-09
1814,7.866692612878978e-07,2.800542517888971e-07,3.1466771410748606e-09,0.0
1815,8.118643108900869e-07,3.560334960184264e-07,0.0,8.091670444798638e-09
1816,7.46268426610186e-07,2.1785476178592944e-07,0.0,0.0
1817,1.0851407523659873e-06,4.7173264761113387e-07,1.556873407970727e-09,1.556873407970727e-09
1818,1.1897335525645758e-06,3.9220674352691276e-07,1.1921177378582115e-09,0.0
1819,9.450508855479711e-07,3.063910867240338e-07,0.0,0.0
1820,1.2946330798513372e-06,3.5836774259223603e-07,3.5599443393152796e-09,1.1866481131050932e-09
1821,1.2622705298781511e-06,4.023487178983487e-07,4.930744257336528e-09,9.86148829262845e-10
1822,1.135902266469202e-06,4.3912197611462034e-07,5.012807946513931e-09,0.0
