year,est_VERB utile_ADJ,est_VERB futile_ADJ
1800,7.253587682498619e-06,3.144164395507687e-08
1801,7.279274996108143e-06,2.3811825400343878e-08
1802,7.617607934662374e-06,4.2518962573012686e-08
1803,7.536110842920607e-06,3.705644502360883e-08
1804,1.0349639524065424e-05,2.2246657849223084e-08
1805,8.522947609890252e-06,4.8328921309348516e-08
1806,6.5586787059146445e-06,1.4408345627714425e-08
1807,6.56792553854757e-06,3.131650672116848e-08
1808,5.796617188025266e-06,4.758755522971114e-08
1809,7.086578534654109e-06,6.325285539787728e-08
1810,6.695102456433233e-06,3.510190182964834e-08
1811,5.676021828548983e-06,4.763445815569867e-08
1812,6.110573849582579e-06,2.1337665856435706e-08
1813,6.72923533784342e-06,1.4378708002027452e-08
1814,6.3594343373551965e-06,1.8880061958270744e-08
1815,6.155064056656556e-06,2.966945977789237e-08
1816,8.331786375492811e-06,9.502176112619054e-08
1817,7.146049028960988e-06,2.490997452753163e-08
1818,7.007267868175404e-06,6.199012148044858e-08
1819,7.180523425631691e-06,6.210630232317271e-09
1820,6.835093245172175e-06,4.746592452420373e-09
1821,6.410953574231826e-06,4.437669787193954e-08
1822,6.7091423261445016e-06,3.60922172149003e-08
1823,5.579765002039494e-06,2.668325471688604e-08
1824,5.54277630726574e-06,2.189489300974401e-08
1825,5.519251772057032e-06,2.553578504205234e-08
1826,5.346446414478123e-06,5.460950447400137e-08
1827,6.04837441642303e-06,5.2538457140371975e-08
1828,5.78130129724741e-06,3.210305266065916e-08
1829,5.713164682674687e-06,8.573175946935407e-09
1830,6.172344910737593e-06,5.635891398014792e-08
1831,6.761906206520507e-06,3.585977381703742e-08
1832,6.901637334522093e-06,2.705993829010822e-08
1833,5.79992274651886e-06,4.054269808762001e-08
1834,5.8098121371585876e-06,3.360431222176885e-08
1835,5.359203896659892e-06,3.2521278114927554e-08
1836,5.813448751723627e-06,5.712637474175608e-08
1837,5.913511358812684e-06,3.061472142462662e-08
1838,5.131787474965677e-06,3.787297231383491e-08
1839,6.111947641329607e-06,3.0063343814390464e-08
1840,5.511691597348545e-06,3.121147429396842e-08
1841,5.644946213578805e-06,4.687000298986277e-08
1842,5.778499598818598e-06,3.8237111255057243e-08
1843,6.602154371648794e-06,4.430183153658618e-08
1844,5.969359335722402e-06,3.1833653935109396e-08
1845,5.735916147386888e-06,5.30121653241622e-08
1846,5.823472292831866e-06,3.0443406018321184e-08
1847,6.090567239880329e-06,3.829188699455699e-08
1848,6.5560511757212225e-06,2.011305433313737e-08
1849,5.823693300044397e-06,4.4410899846525353e-08
1850,6.191564352775458e-06,1.9009188889640427e-08
1851,6.043769190000603e-06,5.4175284702751014e-08
1852,5.8021983022626955e-06,2.278690836021724e-08
1853,5.82681377636618e-06,2.9859659633757474e-08
1854,5.789529041066999e-06,2.234135720868835e-08
1855,5.8190566960547585e-06,2.653468555990912e-08
1856,5.877145213162294e-06,2.019103817474388e-08
1857,5.254456482362002e-06,3.221796163188628e-08
1858,5.5699820222798735e-06,2.8872689128434104e-08
1859,5.442005658551352e-06,2.7497735644033128e-08
1860,5.185033842280973e-06,4.073693560258107e-08
1861,5.9576768762781285e-06,1.839225838295988e-08
1862,5.701698682969436e-06,2.891511208247266e-08
1863,5.571998826781055e-06,3.0467187883687075e-08
1864,5.82319717068458e-06,3.068625886726295e-08
1865,5.975338808639208e-06,2.7770381549885315e-08
1866,5.680602953361813e-06,2.0435575009969398e-08
1867,5.76708134758519e-06,1.0190904120577216e-08
1868,5.8241116676072124e-06,2.6181332657415624e-08
1869,5.792830506834434e-06,4.199826619810665e-08
1870,5.825220341648674e-06,4.013834242755365e-08
1871,6.037077127984958e-06,1.5931766128574054e-08
1872,6.352125183184398e-06,1.8746751706544273e-08
1873,6.030899385223165e-06,2.0352414864532875e-08
1874,5.562958449445432e-06,2.9873046258899194e-08
1875,5.7026459217013326e-06,1.1443054503956773e-08
1876,5.902119482925627e-06,8.222580305528027e-08
1877,6.8503022703225724e-06,2.288381928394756e-08
1878,5.834363491885597e-06,2.3552445327368332e-08
1879,5.7916404330171645e-06,1.9549840857280287e-08
1880,5.374304237193428e-06,2.6954953824542827e-08
1881,6.250155820453074e-06,2.3009274485730202e-08
1882,5.478047569340561e-06,1.4641846846075168e-08
1883,6.247298642847454e-06,1.8326083761621703e-08
1884,5.612102540908381e-06,3.1688145440966764e-08
1885,5.494259767147014e-06,3.545099502844096e-08
1886,5.284741746436339e-06,3.549405036551434e-08
1887,5.626627171295695e-06,2.9380160526670807e-08
1888,5.607005732599646e-06,2.599652049184442e-08
1889,5.72570843360154e-06,3.069916942877171e-08
1890,6.001196197757963e-06,1.2453334363726754e-08
1891,5.749546289735008e-06,1.2748440525456317e-08
1892,5.7595093494455796e-06,2.570090096298827e-08
1893,5.771052201453131e-06,3.4487133149241345e-08
1894,5.693440925824689e-06,3.276800342177921e-08
1895,5.752591732743895e-06,2.2870734639468537e-08
1896,5.832751412526704e-06,1.533227589334274e-08
1897,5.813312327518361e-06,3.088158351260972e-08
1898,5.63515550311422e-06,1.7540900287826844e-08
1899,5.895715275983093e-06,3.703477347016815e-08
1900,5.8243617786502e-06,3.529916270395006e-08
1901,5.7681372709339485e-06,4.191554126009578e-08
1902,5.722935839003185e-06,3.879124221839447e-08
1903,5.528205292648636e-06,4.212171944573129e-08
1904,5.912087544857059e-06,2.741058935384899e-08
1905,5.877588591829408e-06,3.4577084306874895e-08
1906,5.766630692960462e-06,2.623534101076075e-08
1907,5.550156402023276e-06,3.754275823553144e-08
1908,5.795438937639119e-06,4.469363901193901e-08
1909,5.65611117053777e-06,4.455796798197298e-08
1910,5.701139798475197e-06,2.672075360976578e-08
1911,5.774734290753258e-06,1.9685383989553884e-08
1912,6.032509645592654e-06,2.9693701719679666e-08
1913,5.723517006117618e-06,3.234823608977422e-08
1914,5.2080577006563544e-06,2.8795998474606677e-08
1915,4.546196123556001e-06,5.890380805340101e-08
1916,5.476151272887364e-06,4.2851102222130066e-08
1917,5.5226914810191374e-06,4.276905585243185e-08
1918,5.086167220724747e-06,5.513460621386912e-08
1919,4.7742692004248966e-06,1.8415697411455767e-08
1920,5.297533334669424e-06,4.0132828615924154e-08
1921,5.169157248019474e-06,2.9533714140939082e-08
1922,5.019209311285522e-06,2.8036154731125862e-08
1923,4.794162123289425e-06,3.1847843473542525e-08
1924,4.469526174943894e-06,2.9650736976805092e-08
1925,4.5653437155124266e-06,2.639562701745035e-08
1926,4.475174591789255e-06,3.566764306128789e-08
1927,4.402828835736727e-06,3.1217830098739796e-08
1928,4.5978390517120715e-06,3.5420729460611255e-08
1929,4.349214577814564e-06,3.676334259239411e-08
1930,4.436722065292997e-06,3.361153133596417e-08
1931,4.474321485758992e-06,5.360517718600022e-08
1932,4.339976385381306e-06,1.6439305028370654e-08
1933,4.169585736235604e-06,1.7205993074753678e-08
1934,4.231894308759365e-06,4.073737258636356e-08
1935,4.374408035801025e-06,3.949533677882755e-08
1936,4.3430727600934915e-06,3.15242587589637e-08
1937,4.113518116355408e-06,3.021868266728234e-08
1938,4.555976374831516e-06,3.5006078036303734e-08
1939,4.499509486777242e-06,5.6587985852729616e-08
1940,4.478192749957088e-06,1.7750480196809804e-08
1941,3.822196049441118e-06,5.017554371988808e-08
1942,4.0172963053919375e-06,4.5513175450651033e-08
