year,étant_VERB in_ADJ,étant_VERB fine_ADJ
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,7.143547975374531e-09
1802,2.2378401354217203e-09,0.0
1803,1.950339223455444e-09,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,3.1271653710973624e-08
1806,1.152667650217154e-08,2.881669125542885e-09
1807,0.0,2.8469551160981155e-09
1808,6.798221985349073e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,7.521229861140455e-09,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,0.0
1815,0.0,1.0788894222457657e-08
1816,4.6352077731626196e-09,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,1.1386155129855524e-08,0.0
1820,4.746592452420373e-09,0.0
1821,1.97229765852569e-09,0.0
1822,6.015369535816717e-09,2.0051231786055723e-09
1823,4.941343334508019e-09,0.0
1824,0.0,0.0
1825,1.7610886082763955e-09,0.0
1826,2.642395191543301e-09,0.0
1827,3.6869092223668076e-09,6.452091305675367e-09
1828,4.586150570418113e-09,6.420610709767516e-09
1829,2.571952872898464e-09,1.714635211591542e-09
1830,6.262101504006523e-09,2.0873671680021744e-09
1831,1.2472964883158966e-08,0.0
1832,4.058990921151917e-09,1.3529969367098715e-09
1833,0.0,0.0
1834,9.334530925997342e-10,9.334530925997342e-10
1835,1.5126175867408165e-09,0.0
1836,3.36037508930076e-09,0.0
1837,2.7831563720326358e-09,2.7831563720326358e-09
1838,1.2624323808552163e-09,5.680945491803868e-09
1839,2.0974426639952526e-09,6.9914751765765e-10
1840,2.5478754661634184e-09,2.5478754661634184e-09
1841,1.926164561183441e-09,0.0
1842,1.341653010911159e-09,0.0
1843,2.953455480181333e-09,2.3627644285539873e-09
1844,0.0,5.488561272137815e-10
1845,2.2320911785556063e-09,0.0
1846,5.854501328173001e-09,9.367202125076801e-09
1847,9.707802561820245e-09,1.0786447290911383e-09
1848,2.413566457803995e-09,2.413566457803995e-09
1849,3.3517659758786067e-09,8.379414939696517e-10
1850,2.7155984128057753e-09,6.788996032014438e-10
1851,2.579775504329973e-09,1.9348316282474798e-09
1852,5.859490670445666e-09,1.9531636308300904e-09
1853,1.1943863675867306e-09,1.1943863675867306e-09
1854,3.63696517347023e-09,3.63696517347023e-09
1855,2.1227748447927297e-09,4.2455496895854594e-09
1856,5.177189343896771e-09,0.0
1857,2.9289055625270066e-09,0.0
1858,4.893676130990343e-09,3.4255731584664773e-09
1859,2.036869339860914e-09,5.092173349652285e-10
1860,2.288591982591015e-09,1.8308735638683515e-09
1861,3.3011746669586728e-09,0.0
1862,4.9697850279528666e-09,4.517986262886353e-10
1863,1.4983863039219614e-09,9.989241656072068e-10
1864,9.589455896019672e-10,1.9178911792039344e-09
1865,1.882737743486018e-09,0.0
1866,9.731225825149181e-10,9.731225825149181e-10
1867,1.455843445796745e-09,3.396968040192405e-09
1868,1.4819622196071691e-09,1.4819622196071691e-09
1869,1.953407657850903e-09,0.0
1870,1.1468097582678638e-09,8.027668307875047e-09
1871,3.18635318130589e-09,2.1242354542039266e-09
1872,9.675742873582749e-09,4.8378714367913744e-09
1873,5.9860045809045914e-09,5.986004469882289e-10
1874,3.5847653734322193e-09,1.1949218281515073e-09
1875,6.293679799540541e-09,1.716458086775674e-09
1876,1.813804439976252e-09,6.04601479992084e-10
1877,3.710889595609501e-09,1.8554447978047506e-09
1878,6.039088784604019e-09,0.0
1879,3.665595160740054e-09,5.498392852132383e-09
1880,1.2835692508872398e-09,0.0
1881,4.183504653809678e-09,6.972507571312292e-10
1882,1.9966155395678697e-09,1.9966155395678697e-09
1883,3.159669414998234e-09,0.0
1884,3.300848483434038e-09,3.9610181801208455e-09
1885,3.86738152613475e-09,6.445635691854079e-10
1886,5.808117542471791e-09,3.872078213618124e-09
1887,0.0,6.528924623161458e-10
1888,2.53624587998047e-09,4.4384300679212174e-09
1889,2.5060546970934183e-09,0.0
1890,3.2771931834929546e-09,0.0
1891,3.1871101313640793e-09,1.9122659011827636e-09
1892,1.1283322720601063e-08,0.0
1893,3.695050043717174e-09,3.695050043717174e-09
1894,6.301539290376468e-09,4.411077725308132e-09
1895,1.2037228991346183e-09,4.213029924926559e-09
1896,1.7691086373616827e-09,0.0
1897,3.4960281336537946e-09,4.078699600285063e-09
1898,2.26334195829736e-09,5.6583548957434e-10
1899,1.6582735185011188e-09,2.2110313580014918e-09
1900,1.5573159428683425e-09,5.191053142894475e-10
1901,1.1177477832191585e-09,2.235495566438317e-09
1902,4.910283735171106e-09,4.910283846193408e-10
1903,4.320176216765503e-09,5.400220270956879e-10
1904,1.0749250378694342e-09,5.374625189347171e-10
1905,2.0643036169332163e-09,4.1286072338664326e-09
1906,4.115347618238729e-09,1.0288369045596824e-09
1907,3.599990305858114e-09,0.0
1908,3.437972351250096e-09,1.4734167219643268e-09
1909,3.850688656825696e-09,4.400786846048277e-09
1910,5.344150677544235e-10,5.344150677544235e-10
1911,1.5961122423746588e-09,0.0
1912,1.0418842455450772e-09,3.646594803896619e-09
1913,1.060597942803554e-09,1.060597942803554e-09
1914,3.3483718020477227e-09,0.0
1915,1.1780761921542648e-09,0.0
1916,4.394984820521586e-09,0.0
