year,petit_ADJ are_NOUN,petit_ADJ phare_NOUN
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,2.2743021688143017e-08
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,1.5862518409903714e-08
1809,0.0,1.3554183553310395e-08
1810,4.680253518074551e-09,0.0
1811,5.0141535368197765e-09,1.2535384286138651e-08
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,3.113746815941454e-09
1818,1.1921177378582115e-09,0.0
1819,2.070210003424222e-09,0.0
1820,0.0,1.6613073583471305e-08
1821,0.0,3.94459531705138e-09
1822,0.0,6.015369535816717e-09
1823,1.9765373782121287e-09,9.882686891060644e-10
1824,3.3684450784221553e-09,8.421112696055388e-09
1825,0.0,1.4969252504215547e-08
1826,8.807984341885344e-10,1.8496766784892316e-08
1827,0.0,1.2904182611350734e-08
1828,2.7516904310687096e-09,0.0
1829,8.57317605795771e-10,1.800366966620004e-08
1830,2.0873671680021744e-09,1.0436835840010872e-09
1831,0.0,4.677361609140007e-09
1832,0.0,0.0
1833,0.0,2.3167257001688313e-09
1834,9.334530925997342e-10,4.667265685043276e-09
1835,0.0,5.294161553592858e-09
1836,0.0,1.4113575197427508e-08
1837,2.0873671680021744e-09,9.045257876039159e-09
1838,1.2624323808552163e-09,1.704283758563463e-08
1839,3.4957374772659477e-09,1.3283802502428443e-08
1840,0.0,2.7389662093924017e-08
1841,1.2841097074556274e-09,1.8619591202195807e-08
1842,0.0,1.2745703159566801e-08
1843,5.906911071384968e-10,3.5441467538532834e-09
1844,5.488561272137815e-10,6.586273748609983e-09
1845,5.580227946389016e-10,1.0044410636567136e-08
1846,1.1709002656346001e-09,5.269050973311096e-09
1847,2.6966118227278457e-09,7.550513103637968e-09
1848,8.045221711050488e-10,5.631655086713039e-09
1849,2.513824481908955e-09,1.005529792763582e-08
1850,0.0,4.073397619208663e-09
1851,6.449438760824933e-10,1.7413483988093503e-08
1852,6.510545436100301e-10,1.9531636308300904e-09
1853,5.971931837933653e-10,1.7915795513800958e-09
1854,3.117398783558656e-09,1.0391328686409906e-08
1855,2.1227748447927297e-09,1.1144567935161831e-08
1856,1.5531567143511893e-09,2.5885946719483854e-09
1857,4.881509085841174e-10,1.9526036343364694e-09
1858,4.893676019968041e-10,4.893676019968041e-10
1859,5.092173349652285e-10,2.189634606963864e-08
1860,1.373155145145688e-09,1.7393299245327398e-08
1861,2.357981809808507e-09,1.744906619194353e-08
1862,9.035972525772706e-10,1.1746764450037972e-08
1863,0.0,2.4973103585068657e-09
1864,2.8768367688059016e-09,1.1507347186245909e-08
1865,0.0,1.2237795277147967e-08
1866,0.0,1.994901249746661e-08
1867,0.0,1.844068364675877e-08
1868,4.93987406535723e-10,2.272342025655405e-08
1869,9.767038289254515e-10,3.906815315701806e-09
1870,4.587239033071455e-09,7.167560944765228e-08
1871,0.0,2.1242354542039266e-09
1872,6.047339295989218e-10,5.442605477412599e-09
1873,0.0,1.0176207432266438e-08
1874,1.1949218281515073e-09,1.4936523129449597e-08
1875,1.1443054281912168e-09,1.4875970455463516e-08
1876,3.02300739996042e-09,2.9625472519612117e-08
1877,0.0,1.0514186854493346e-08
1878,6.039088673581716e-10,1.3285995414946683e-08
1879,1.221865053580018e-09,1.2218650757844784e-08
1880,0.0,2.3104245849836502e-08
1881,0.0,2.091752243638112e-08
1882,6.655385131892899e-10,2.7952617998039386e-08
1883,6.319338941018771e-10,1.64302811356265e-08
1884,0.0,3.300848661069722e-08
1885,6.445635691854079e-10,2.707167023885404e-08
1886,1.2906927748801422e-09,2.1296431285122708e-08
1887,0.0,2.0239666165267067e-08
1888,0.0,3.4239318935647134e-08
1889,1.2530273485467092e-09,3.132568426877924e-08
1890,1.9663159989136147e-09,1.8352282360467598e-08
1891,6.374220040683554e-10,2.103492668936724e-08
1892,6.268512375839919e-10,3.761107403299491e-08
1893,6.158416554491453e-10,2.463366666205502e-08
1894,0.0,2.3945848859341368e-08
1895,0.0,2.2870735305602352e-08
1896,5.89702897624278e-10,1.5921978624433564e-08
1897,5.826713556089658e-10,4.5448366847722355e-08
1898,5.6583548957434e-10,3.734514297804026e-08
1899,1.6582735185011188e-09,3.0954439012020885e-08
1900,1.038210628578895e-09,2.8031685972429443e-08
1901,0.0,2.6825946797259803e-08
1902,0.0,2.700656126508605e-08
1903,0.0,1.8900770726304472e-08
1904,5.374625189347171e-10,2.9022976022474722e-08
1905,0.0,3.0964555197687815e-08
1906,3.600929110447737e-09,5.3499517427280097e-08
1907,1.028568674676933e-09,1.7485667136440952e-08
1908,9.822778146428846e-10,2.7503778365911558e-08
