year,grand_ADJ or_NOUN,grand_ADJ for_NOUN
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,0.0,4.475680270843441e-09
1803,3.900678446910888e-09,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,8.540865348294346e-09,0.0
1808,9.064295980465431e-09,0.0
1809,2.259030518203531e-09,2.259030518203531e-09
1810,2.3401267590372754e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,1.0668832928217853e-08,0.0
1813,1.4378708224072057e-08,0.0
1814,9.440030979135372e-09,0.0
1815,5.394447111228828e-09,0.0
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,1.556873407970727e-09,1.556873407970727e-09
1818,1.1921177378582115e-09,1.1921177378582115e-09
1819,1.035105001712111e-09,2.070210003424222e-09
1820,2.3732962262101864e-09,1.1866481131050932e-09
1821,0.0,0.0
1822,1.5038423839541792e-08,1.0025615893027862e-09
1823,6.917880934764753e-09,7.906149512848515e-09
1824,4.463189817727198e-08,0.0
1825,1.3208164340028361e-08,3.522177216552791e-09
1826,6.165589039319741e-09,8.807984341885344e-10
1827,5.530363722527909e-09,0.0
1828,9.172301251858528e-10,0.0
1829,4.286587973467704e-09,8.57317605795771e-10
1830,9.39315247805439e-09,0.0
1831,1.5591206103948707e-09,1.870944643656003e-08
1832,2.705993873419743e-09,1.3529969367098715e-09
1833,1.2741991461950875e-08,4.6334514003376626e-09
1834,1.8669061851994684e-09,0.0
1835,2.193295500774184e-08,7.563087933704082e-10
1836,7.392825018825988e-09,0.0
1837,5.566312855087574e-09,0.0
1838,8.205810475558906e-09,2.5248647617104325e-09
1839,4.894032512581248e-09,0.0
1840,1.2102408852854296e-08,0.0
1841,4.494383976094696e-09,0.0
1842,1.0062397581833693e-08,0.0
1843,6.497602234034616e-09,1.1813822142769936e-09
1844,4.939705144924034e-09,3.2931368743049916e-09
1845,1.2834524387717039e-08,0.0
1846,1.1123552079439492e-08,2.3418005312692003e-09
1847,1.6179670936367074e-09,0.0
1848,5.63165514222419e-09,0.0
1849,9.217356211621563e-09,1.6758829879393033e-09
1850,1.1541293254424545e-08,6.788996032014438e-10
1851,3.8696632564949596e-09,1.2898877521649865e-09
1852,2.6042181744401205e-09,0.0
1853,2.149895506065036e-08,1.7915795513800958e-09
1854,4.676097953293379e-09,5.195664454227256e-10
1855,2.1227748447927297e-09,1.0613874223963649e-09
1856,3.1063135952358323e-09,5.177189232874468e-10
1857,7.322263739784063e-09,0.0
1858,1.1255454956948796e-08,4.893676019968041e-10
1859,5.601390906662118e-09,0.0
1860,4.577184048448757e-09,3.661747127736703e-09
1861,6.602349444939648e-09,0.0
1862,1.8071945051545413e-09,2.2589932147099034e-09
1863,7.491931519609807e-09,0.0
1864,3.835782358407869e-09,4.315255264231155e-09
1865,7.530951029455224e-09,1.4120533631256649e-09
1866,1.167747110120132e-08,6.811858188626729e-09
1867,1.4073153309368536e-08,4.85281148598915e-10
1868,1.4819622196071691e-09,0.0
1869,4.88351925564956e-09,0.0
1870,1.204150246181257e-08,1.1468097582678638e-09
1871,1.0621177048975028e-08,6.37270636261178e-09
1872,4.8378714367913744e-09,6.047339295989218e-10
1873,5.9860043588599865e-09,5.986004469882289e-10
1874,1.0754296286830112e-08,0.0
1875,3.432916173551348e-09,2.8607636259891933e-09
1876,3.627608879952504e-09,1.209202959984168e-09
1877,3.092407996341251e-09,5.566334504436554e-09
1878,4.22736201599605e-09,1.8117265465633636e-09
1879,4.887460214320072e-09,6.10932526790009e-10
1880,4.492492378105339e-09,1.9253538763308597e-09
1881,9.064259565150223e-09,2.7890030285249168e-09
1882,1.3310770263785798e-09,6.655385131892899e-10
1883,1.2638677882037541e-09,1.2638677882037541e-09
1884,1.3203393933736152e-09,1.9805090900604227e-09
1885,3.222817901438191e-09,0.0
1886,5.808117542471791e-09,6.453463874400711e-10
1887,5.8760321608453125e-09,0.0
1888,5.072491537916335e-09,0.0
1889,2.506054641582267e-09,0.0
1890,3.277193294515257e-09,1.3108772956016423e-09
1891,5.736798036615198e-09,2.5496880162734215e-09
1892,7.522214851007902e-09,1.8805537127519756e-09
1893,8.621783287310336e-09,6.158416554491453e-10
1894,5.671385361338821e-09,6.301539290376468e-10
1895,5.416753046105782e-09,2.4074457982692365e-09
1896,3.538217385745668e-09,5.89702897624278e-10
1897,3.4960281336537946e-09,5.826713556089658e-10
1898,6.2241903853177405e-09,1.13167097914868e-09
1899,5.527578395003729e-09,3.8693048765026106e-09
1900,1.038210628578895e-09,2.07642125715779e-09
1901,5.588738916095792e-10,2.235495566438317e-09
1902,9.820567470342212e-09,4.910283846193408e-10
1903,2.1600881083827517e-09,0.0
1904,4.299700151477737e-09,1.0749250378694342e-09
1905,7.741138396966107e-09,1.0321518084666081e-09
1906,3.600929110447737e-09,0.0
1907,6.171411992550446e-09,1.028568674676933e-09
1908,9.822778146428846e-10,4.911389073214423e-10
1909,2.2003934230241384e-09,2.7504918342913243e-09
1910,3.7409054742809644e-09,1.6032452032632705e-09
