year,fût_VERB utile_ADJ
1800,1.1633408547595536e-07
1801,2.3097470602806425e-07
1802,1.208433673127729e-07
1803,1.1507001573818343e-07
1804,3.6583392670763715e-07
1805,1.1655798459742073e-07
1806,2.507052272449073e-07
1807,1.679703558465917e-07
1808,1.7222161829977267e-07
1809,1.0617443280125372e-07
1810,1.5444837231370911e-07
1811,1.2033967777824728e-07
1812,8.801787032552966e-08
1813,2.8757416004054903e-08
1814,1.7936059748535627e-07
1815,9.440282155992463e-08
1816,8.343373991692715e-08
1817,2.615547316509037e-07
1818,2.2173389879753813e-07
1819,1.0144029261027754e-07
1820,1.8155715508783032e-07
1821,1.755344953835447e-07
1822,1.6040985428844579e-07
1823,1.9370065729162889e-07
1824,1.6758013998696697e-07
1825,1.9900301140296506e-07
1826,1.8849085847705283e-07
1827,3.1799592647985264e-07
1828,1.3391559150477406e-07
1829,7.715858174606183e-08
1830,1.6594569274275273e-07
1831,2.307498476739056e-07
1832,1.7318360789886356e-07
1833,1.158362863407092e-07
1834,1.1761508744712046e-07
1835,1.595811625065835e-07
1836,1.9086930080902675e-07
1837,1.3985361135837593e-07
1838,1.5275432474481931e-07
1839,1.91566414287081e-07
1840,1.1911318154034234e-07
1841,1.4382028723503026e-07
1842,1.1940711885927158e-07
1843,1.5476106796086242e-07
1844,1.4050716856672807e-07
1845,1.4117976832039858e-07
1846,1.5690064003592852e-07
1847,1.3159466050183255e-07
1848,1.078059739256787e-07
1849,1.40774176315972e-07
1850,1.6768819932622137e-07
1851,1.335033772420502e-07
1852,1.263045845689703e-07
1853,9.853687288341462e-08
1854,1.3300901002821774e-07
1855,1.1516053177729191e-07
1856,1.0975641373534017e-07
1857,1.2545478966785595e-07
1858,1.2038442775974545e-07
1859,1.2170293928193132e-07
1860,1.0024032803812588e-07
1861,9.148969581929123e-08
1862,1.2695541329321713e-07
1863,1.1237897012961184e-07
1864,1.1890925577517919e-07
1865,1.4967764627726865e-07
1866,1.255328072602424e-07
1867,9.608567097529885e-08
1868,1.0818324369665788e-07
1869,1.1232094010438232e-07
1870,9.919904186972417e-08
1871,1.1577083114389097e-07
1872,9.61526964715631e-08
1873,1.3229069395492843e-07
1874,9.678866774720518e-08
1875,8.753936242555937e-08
1876,9.673623679873344e-08
1877,1.1503757946229598e-07
1878,8.756678226973236e-08
1879,7.086817532808709e-08
1880,8.920806493506461e-08
1881,1.1713812853031413e-07
1882,9.983077831066112e-08
1883,9.668588774047748e-08
1884,9.308392634466145e-08
1885,9.152802959988549e-08
1886,7.227879450510954e-08
1887,1.2274378491383686e-07
1888,6.78445744028977e-08
1889,9.58565919972898e-08
1890,9.176140736144589e-08
1891,8.286485808639554e-08
1892,8.525177008777973e-08
1893,7.020594949835868e-08
1894,9.200247319540722e-08
1895,8.60661870660806e-08
1896,8.078929880639407e-08
1897,8.332200707172888e-08
1898,8.996784117698553e-08
1899,8.45719512199139e-08
1900,1.012255381738214e-07
1901,9.05375685533727e-08
1902,6.088752257937813e-08
1903,6.264255603127822e-08
1904,7.201997931360893e-08
1905,5.212366716023098e-08
1906,7.510509192343306e-08
1907,7.457122563891971e-08
1908,4.518478036175111e-08
1909,6.216111358980925e-08
1910,7.000837598525322e-08
1911,6.171634225893285e-08
1912,7.29318969661108e-08
1913,7.318125483379845e-08
1914,5.558297289098846e-08
1915,4.2410743361642744e-08
1916,5.7134801778602196e-08
1917,5.15421945124217e-08
1918,4.824278221349232e-08
1919,5.524708868165362e-08
1920,4.0132828615924154e-08
1921,5.376650591415455e-08
1922,7.820611358511087e-08
1923,5.4141334970836397e-08
1924,4.898817351772777e-08
1925,5.0591619782380803e-08
1926,3.566764306128789e-08
1927,3.4562596340492746e-08
1928,6.170062505361784e-08
1929,6.238627747734427e-08
1930,4.621585603103995e-08
1931,5.5886246741465584e-08
1932,4.931791508511196e-08
1933,5.1617981000617874e-08
1934,4.672816089623666e-08
1935,4.787313656606784e-08
1936,5.092380206406233e-08
1937,4.280980192561401e-08
1938,3.5006078036303734e-08
1939,2.2941076593951948e-08
1940,5.832300686847702e-08
1941,4.132103725851266e-08
1942,5.76500234217292e-08
1943,8.129058670647282e-08
1944,3.855823393905666e-08
1945,5.446259976338297e-08
1946,4.1763314584386535e-08
1947,3.457052599742383e-08
1948,4.1313175103141475e-08
1949,7.068246077324147e-08
1950,7.019338710279044e-08
1951,7.356366893418453e-08
1952,6.010538555756284e-08
1953,4.8482224457302436e-08
1954,4.49536656788041e-08
1955,3.566530892840092e-08
1956,3.575668117150599e-08
1957,4.50586910005768e-08
1958,3.3088973339090444e-08
1959,4.1854036680888385e-08
1960,5.536666591865469e-08
1961,3.265634873628187e-08
1962,3.614915300431676e-08
1963,4.2029345337368795e-08
1964,6.449006662023749e-08
1965,4.6512369067386317e-08
1966,4.154306054715562e-08
1967,4.881032111825334e-08
1968,5.29987076447469e-08
1969,3.5425710365188934e-08
1970,4.092865424354386e-08
1971,3.3913423180820246e-08
1972,4.052816038324636e-08
1973,4.190034985640523e-08
1974,2.0814615808717463e-08
1975,1.8847885030481848e-08
1976,1.8854638739185248e-08
1977,2.4094806150287695e-08
1978,1.6039596317796168e-08
1979,2.5163485517509798e-08
1980,1.3075846183596695e-08
1981,2.277197808098208e-08
1982,2.669225906970496e-08
1983,2.652432762317858e-08
1984,1.8556827185989277e-08
1985,2.045289804186723e-08
1986,1.7384007122700496e-08
1987,3.116516467116526e-08
1988,4.3774843305754985e-08
1989,2.798942233539492e-08
1990,3.705082818328265e-08
1991,2.8721180100887977e-08
1992,4.187557678392295e-08
1993,4.154405530698568e-08
1994,3.797947201178431e-08
1995,3.849940100053573e-08
1996,2.882569738460461e-08
1997,2.8289877107567918e-08
1998,2.43174582692518e-08
1999,2.696418732739403e-08
2000,2.4299172451947015e-08
2001,3.1982846593336944e-08
2002,3.066855214228781e-08
2003,2.6668306674082487e-08
2004,2.1583476339515073e-08
2005,3.2877373712381086e-08
2006,2.6766285188273287e-08
2007,2.157018919035636e-08
2008,1.7881246705542253e-08
2009,3.337734710839868e-08
2010,2.9287516412068726e-08
2011,2.7150200310188666e-08
2012,2.0765941854961056e-08
2013,3.235384937738672e-08
2014,3.594638897652658e-08
2015,3.812509774547834e-08
2016,3.6662719082869444e-08
2017,2.213737992917686e-08
2018,3.252647928775332e-08
2019,2.984655722571006e-08
