year,fut_VERB au_ADP,fut_VERB faux_ADJ
1800,3.7226907352305716e-06,0.0
1801,3.838466454908485e-06,1.904946067554647e-08
1802,2.9852787974959938e-06,2.2378401354217203e-09
1803,2.640759248606628e-06,2.145373123596528e-08
1804,2.857459776350879e-06,0.0
1805,3.3147953217849135e-06,0.0
1806,3.086267724938807e-06,1.152667650217154e-08
1807,2.886812580982223e-06,0.0
1808,3.4512306683609495e-06,2.2660739951163578e-09
1809,3.0406549740291666e-06,0.0
1810,3.566353143469314e-06,1.8721014072298203e-08
1811,3.863405254378449e-06,1.0028307073639553e-08
1812,3.099296009168029e-06,1.0668832928217853e-08
1813,3.511280510792858e-06,5.751483289628823e-09
1814,4.625615474651568e-06,3.1466771410748606e-09
1815,3.843543709081132e-06,2.697223555614414e-09
1816,3.1287652291212e-06,0.0
1817,3.615059995354386e-06,9.341240669868967e-09
1818,3.953062332584523e-06,0.0
1819,3.984119302913314e-06,2.070210003424222e-09
1820,4.333639026299352e-06,4.034603762193001e-08
1821,3.5067453154624673e-06,1.97229765852569e-09
1822,4.224794338369975e-06,2.105379337535851e-08
1823,4.7901385187287815e-06,0.0
1824,4.8724559746915475e-06,8.421112696055388e-10
1825,5.518371381185716e-06,0.0
1826,4.314150828577112e-06,8.807984341885344e-10
1827,4.657488261727849e-06,6.452091305675367e-09
1828,3.5854525322065456e-06,1.8344602503717056e-09
1829,4.513777184911305e-06,1.800366966620004e-08
1830,3.965997620980488e-06,7.305785310052215e-09
1831,3.8026951187930536e-06,0.0
1832,3.961575202993117e-06,1.3529969367098715e-09
1833,3.79595508093189e-06,0.0
1834,4.0633212847751565e-06,0.0
1835,4.2784390643646475e-06,3.781543966852041e-09
1836,4.40746771346312e-06,2.688300027031687e-09
1837,4.391820766613819e-06,1.3915782304252389e-08
1838,5.078134108771337e-06,3.1560809521380406e-09
1839,4.0256913962366525e-06,5.5931801412612e-09
1840,3.983603164670058e-06,6.369688665408546e-10
1841,3.5672567264555255e-06,8.346713542550788e-09
1842,3.9263477447093464e-06,4.695785538189057e-09
1843,3.974169885623269e-06,5.31621990873532e-09
1844,3.892487711709691e-06,0.0
1845,3.6037113204656634e-06,1.1160455892778032e-09
1846,3.5753439533436904e-06,1.7563503984519002e-09
1847,3.6091453239350813e-06,4.314578916364553e-09
1848,3.6573578654497396e-06,0.0
1849,3.078597046624054e-06,0.0
1850,3.2709383503970457e-06,4.073397619208663e-09
1851,3.480762188701192e-06,3.2247193804124663e-09
1852,3.1836566449783277e-06,1.3021090872200602e-09
1853,3.7384293136710767e-06,1.1943863675867306e-09
1854,4.004298716608901e-06,5.195664343204953e-09
1855,3.5322973417351022e-06,5.306937111981824e-09
1856,3.337733915032004e-06,5.177189232874468e-10
1857,3.8344255699485075e-06,1.4644527812635033e-09
1858,3.8102161852293648e-06,4.893676019968041e-10
