year,soit_VERB aux_ADP,soit_VERB faux_ADJ
1800,4.842013368033804e-07,1.0061326349841693e-07
1801,4.2385050846860395e-07,5.714838380299625e-08
1802,5.303680836732383e-07,4.699464284385613e-08
1803,5.343929387890967e-07,7.606323038089613e-08
1804,5.957160738034872e-07,4.69651695311768e-08
1805,3.809456075032358e-07,5.401467717547348e-08
1806,5.07173751884693e-07,6.627838899930794e-08
1807,5.864727654625312e-07,1.5658253005312872e-07
1808,4.44150515477304e-07,1.0197332755979005e-07
1809,6.822272098361282e-07,1.0843346842648316e-07
1810,4.914266469313588e-07,9.126494404654295e-08
1811,4.1868182165671897e-07,6.769107585569145e-08
1812,6.347955832097796e-07,5.867858021701977e-08
1813,4.227340184570494e-07,7.189353823378042e-08
1814,3.9648131178182666e-07,4.090680150170556e-08
1815,3.695196255648625e-07,7.821948599939788e-08
1816,4.4266235477152804e-07,1.622322720606917e-08
1817,5.137682137501542e-07,1.1520863552050287e-07
1818,4.1128060956907575e-07,1.263644833215949e-07
1819,4.482004669625894e-07,1.1386155307491208e-07
1820,3.9159388620646496e-07,9.493184904840746e-08
1821,3.9643182958570833e-07,1.0847637099686835e-07
1822,4.6819627641525585e-07,1.513867999847207e-07
1823,4.2693207547017664e-07,7.313188632451784e-08
1824,4.5895063749412657e-07,1.1115868403521745e-07
1825,5.521012553799665e-07,6.956300069305144e-08
1826,3.91955296663582e-07,4.492072136486058e-08
1827,5.244628482614644e-07,1.4010255711127684e-07
1828,4.4944275146008295e-07,1.0639869429951432e-07
1829,5.229637167758483e-07,1.5088789950823411e-07
1830,5.552396942221094e-07,1.1063045946002603e-07
1831,4.459084834707028e-07,7.171954763407484e-08
1832,4.5866596565247164e-07,6.900284432731496e-08
1833,5.015710939915152e-07,6.139323005527331e-08
1834,5.862085572516662e-07,9.987947890977011e-08
1835,4.749619222366164e-07,9.605121675804185e-08
1836,5.537897891372268e-07,6.58633538819231e-08
1837,4.7522394197585527e-07,1.1619678019769708e-07
1838,4.734121432647953e-07,5.112851297894849e-08
1839,5.579196908911399e-07,1.097661623816748e-07
1840,5.274102363728161e-07,1.0127804728199408e-07
1841,6.362763542711036e-07,7.447836480878323e-08
1842,5.829482461194857e-07,8.318248490013502e-08
1843,5.274871455185348e-07,1.4708209050695586e-07
1844,5.905691864427354e-07,8.397498874046505e-08
1845,5.948522812104784e-07,6.752075876192976e-08
1846,5.47981301224354e-07,9.777016884982004e-08
1847,6.11591588040028e-07,6.47186837454683e-08
1848,6.910845513630193e-07,6.275273278788518e-08
1849,6.217525765350729e-07,5.614208120618969e-08
1850,6.979087743275159e-07,5.4311968256115506e-08
1851,5.720652325180708e-07,7.223371767395292e-08
1852,6.608203761970799e-07,5.5339636872986375e-08
1853,5.858465215169417e-07,7.882950114890264e-08
1854,5.954231596660975e-07,5.507404310378661e-08
1855,5.742106168327155e-07,5.890700194299825e-08
1856,6.616447763008182e-07,6.678573782892272e-08
1857,5.555157258640975e-07,7.175818694804548e-08
1858,5.378149694479362e-07,8.857553268626361e-08
1859,5.866183983016526e-07,5.754155907311542e-08
1860,6.971051220716618e-07,4.989130530930197e-08
