year,excellent_ADJ acteur_NOUN,excellent_ADJ facteur_NOUN
1800,3.772997292372793e-08,0.0
1801,1.0000966921275278e-07,0.0
1802,4.923248297927785e-08,0.0
1803,7.216255237807445e-08,0.0
1804,5.685257131737842e-08,0.0
1805,8.528633421711618e-08,0.0
1806,1.0662176119780042e-07,0.0
1807,1.0533734240425474e-07,0.0
1808,1.2690014106198078e-07,0.0
1809,7.454800510231507e-08,0.0
1810,2.269922951825265e-07,1.6380887757350138e-08
1811,1.2535383575595915e-07,1.7549536934780008e-08
1812,2.720552472190718e-07,0.0
1813,1.8117172828624462e-07,0.0
1814,9.44003133440674e-08,0.0
1815,6.203614333344376e-08,0.0
1816,4.4034472068688046e-08,0.0
1817,9.963989811012652e-08,0.0
1818,3.099506074022429e-08,3.5763532135746345e-09
1819,7.03871378959775e-08,2.070210003424222e-09
1820,1.091716228529549e-07,0.0
1821,7.100271659510327e-08,1.97229765852569e-09
1822,1.4136118409169285e-07,5.012807946513931e-09
1823,1.0673302153207942e-07,0.0
1824,5.052667617633233e-08,1.6842225392110777e-09
1825,6.956300069305144e-08,8.805443041381977e-10
1826,2.554315514657901e-08,2.642395191543301e-09
1827,3.502563927781921e-08,9.217273055917019e-10
1828,2.2930752408001354e-08,0.0
1829,8.573176302206775e-08,0.0
1830,5.4271545479878114e-08,0.0
1831,2.962329048727952e-08,0.0
1832,1.352996960024555e-07,0.0
1833,7.876867158529421e-08,1.1583628500844156e-09
1834,2.240287422239362e-08,9.334530925997342e-10
1835,4.310960122211327e-08,0.0
1836,3.8308275662757296e-08,0.0
1837,6.262101948095733e-08,6.957890930081589e-10
1838,6.817135145276154e-08,0.0
1839,3.2859933440931854e-08,5.5931801412612e-09
1840,4.458782143501594e-08,6.369688665408546e-10
1841,1.4767261191650505e-08,1.2841097074556274e-09
1842,3.018719141323345e-08,2.683306021822318e-09
1843,5.965980420796768e-08,1.7720733769266417e-09
1844,2.799166254341401e-08,8.781698035420504e-09
1845,1.7298706467272496e-08,1.674068439427856e-09
1846,3.6297909566940234e-08,1.7563503984519002e-09
1847,3.074137566727586e-08,0.0
1848,1.689496542667257e-08,3.218088684420195e-09
1849,1.508294644736452e-08,1.256912263158938e-08
1850,2.308258650884909e-08,4.752297222410107e-09
1851,1.3543821175687754e-08,6.449438760824933e-10
1852,2.8646400807019745e-08,1.9531636308300904e-09
1853,2.508211416341055e-08,2.9859659189668264e-09
1854,3.8447918460082775e-08,3.63696517347023e-09
1855,3.343370380548549e-08,4.2455496895854594e-09
1856,2.8992259260007813e-08,2.5885946719483854e-09
1857,3.807576925973777e-08,0.0
1858,2.7404585267731818e-08,9.787352039936081e-10
1859,4.582955881460293e-08,5.092173349652285e-10
1860,3.75329098911692e-08,2.746310290291376e-09
1861,3.254014863118826e-08,2.357981809808507e-09
1862,4.743885639868495e-08,5.873382225018986e-09
1863,3.346395871517416e-08,4.994620828036034e-10
1864,7.3359338159662e-08,5.274200631788517e-09
1865,1.9298061815220535e-08,8.47231973466478e-09
1866,4.281739407474561e-08,6.3252967308358166e-09
1867,5.920430012906763e-08,8.73506067478047e-09
