year,étant_VERB utile_ADJ
1800,5.65949598296811e-08
1801,4.7623650800687756e-08
1802,2.0140561218795483e-08
1803,5.851017448321727e-09
1804,7.662737999680758e-08
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,1.9928686256776018e-08
1808,5.891792298484688e-08
1809,1.581321384946932e-08
1810,4.680253518074551e-09
1811,7.019814773912003e-08
1812,4.000812481308458e-08
1813,2.8757416448144113e-09
1814,9.440030979135372e-09
1815,2.6972236000233352e-08
1816,1.1588019432906549e-08
1817,3.7364962679475866e-08
1818,1.4305412854298538e-08
1819,4.864993385922389e-08
1820,4.2719332071783356e-08
1821,3.8459806006585495e-08
1822,4.912551787583652e-08
1823,3.4589405117912975e-08
1824,2.3579115548955087e-08
1825,2.6416328680056722e-08
1826,4.580151724553616e-08
1827,2.5808365222701468e-08
1828,2.2930752408001354e-08
1829,4.2865881511033876e-08
1830,3.444155893816969e-08
1831,4.365537620287796e-08
1832,2.705993829010822e-08
1833,3.1275796175123105e-08
1834,2.7070139907436896e-08
1835,2.4958190181223472e-08
1836,2.9571300075303952e-08
1837,3.478945487245255e-08
1838,9.468243078458727e-09
1839,2.3771015378315496e-08
1840,1.46502836528839e-08
1841,3.980740004294603e-08
1842,2.1466448174578545e-08
1843,2.9534556134080958e-08
1844,3.3480223038395707e-08
1845,2.287893430263921e-08
1846,4.2152407786488766e-08
1847,3.343798482546845e-08
1848,3.298540818263973e-08
1849,1.8434713311421547e-08
1850,2.647708541303473e-08
1851,3.031236062156495e-08
1852,3.385483537954315e-08
1853,1.851298847554972e-08
1854,1.610655964157104e-08
1855,2.3350523292720027e-08
1856,1.8120163147727908e-08
1857,3.270611159678083e-08
1858,1.761723389392955e-08
1859,1.6804172275897145e-08
1860,4.211009141386057e-08
1861,3.4426534512022045e-08
1862,2.3493528900075944e-08
1863,3.296449690992631e-08
1864,3.691940619887646e-08
1865,1.835669216632141e-08
1866,3.113992264047738e-08
1867,4.076361648230886e-08
1868,2.7169306804353255e-08
1869,1.8557372527538973e-08
1870,2.3509599600401998e-08
1871,1.805600113868877e-08
1872,2.9027228620748247e-08
1873,2.5141218884527916e-08
1874,2.8678122987457755e-08
1875,2.1741803024610817e-08
1876,2.6602464231473277e-08
1877,1.7317484335421796e-08
1878,2.5968081018845623e-08
1879,9.163987790827832e-09
1880,4.3641353641987735e-08
1881,1.4642266066289267e-08
1882,2.1297232422057277e-08
1883,2.5909288936531993e-08
1884,4.621188054443337e-08
1885,3.545099502844096e-08
1886,2.8395241713496944e-08
1887,2.0239665943222462e-08
1888,3.043495055976564e-08
1889,1.8168895721260014e-08
1890,3.0150179242127706e-08
1891,2.4859458491732767e-08
1892,2.570090096298827e-08
1893,1.970693297437265e-08
1894,2.520615716150587e-08
1895,1.5648398132839247e-08
1896,3.184395680477792e-08
1897,1.8645483379486905e-08
1898,4.2437662273187016e-08
1899,3.2612710754165164e-08
1900,2.595526638060619e-08
1901,1.620734302321125e-08
1902,2.1114219705964388e-08
1903,2.808114629715419e-08
1904,2.5260739278110123e-08
1905,3.302885787093146e-08
1906,2.983626856689625e-08
1907,2.108565766434367e-08
1908,1.080505640516094e-08
1909,2.4204327431220918e-08
1910,2.51175080734356e-08
1911,2.500575924102577e-08
1912,2.6568049094066737e-08
1913,2.4393752795504042e-08
1914,1.6741859454327823e-08
1915,1.1780762143587253e-08
1916,1.7579939282086343e-08
1917,3.180263163926611e-08
1918,3.331049214239101e-08
1919,3.038589824200244e-08
1920,3.407504323149624e-08
1921,2.4232791773215467e-08
1922,1.9182632371439468e-08
1923,1.1677542488541803e-08
1924,1.804827398643738e-08
1925,1.8696901804560184e-08
1926,2.3406890647947876e-08
1927,2.6758140592164636e-08
1928,1.0283437212876834e-08
1929,2.1166771446701205e-08
1930,1.8906487042613662e-08
1931,2.0529641986399838e-08
1932,1.753525857850491e-08
1933,1.605892663292252e-08
1934,7.188948103475923e-09
1935,2.2739740757060645e-08
1936,1.576212937948185e-08
1937,1.2591118370153254e-08
1938,1.1668692678767911e-08
1939,1.6823456405745674e-08
1940,5.0715658339584024e-09
