year,fut_VERB in_ADJ,fut_VERB fine_ADJ
1800,2.2009151834367913e-08,3.144164484325529e-09
1801,3.095537337571841e-08,0.0
1802,2.0140561218795483e-08,0.0
1803,1.3652374342143503e-08,1.950339223455444e-09
1804,1.9774807569206132e-08,0.0
1805,3.4114531644036106e-08,2.842877711017877e-09
1806,3.1698359492793315e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,1.3596443970698147e-08,2.2660739951163578e-09
1809,3.388545621874073e-08,0.0
1810,3.2761775514700275e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,8.00162425207418e-09,0.0
1813,1.7254450312975678e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,2.0239355080775567e-08,2.0239355080775567e-08
1818,2.741870730460505e-08,1.1921177378582115e-09
1819,3.2088255608186955e-08,3.1053151161586356e-09
1820,2.3732962262101864e-08,0.0
1821,1.4792232327920374e-08,0.0
1822,3.60922172149003e-08,0.0
1823,2.8659792761231984e-08,0.0
1824,1.7684335773537896e-08,2.5263338088166165e-09
1825,2.553578504205234e-08,8.805443041381977e-10
1826,3.2589543508265706e-08,1.7615968683770689e-09
1827,2.2121454890111636e-08,0.0
1828,2.2930752408001354e-08,0.0
1829,1.3717081692732336e-08,0.0
1830,1.3567886369969528e-08,0.0
1831,1.5591206548037917e-08,0.0
1832,1.488296597074168e-08,1.6235963684607668e-08
1833,2.6642345218874652e-08,0.0
1834,2.8937046536725575e-08,0.0
1835,3.2521278114927554e-08,6.806779140333674e-09
1836,2.4866775305554256e-08,6.720750067579218e-10
1837,2.922314124020886e-08,0.0
1838,2.9667161172142187e-08,6.312161904276081e-10
1839,2.0974425751774106e-08,0.0
1840,1.2739377552861697e-08,0.0
1841,1.219904177673925e-08,0.0
1842,2.2137275124123335e-08,0.0
1843,2.0674189471492355e-08,0.0
1844,1.811225303072206e-08,0.0
1845,1.785672942844485e-08,0.0
1846,1.1709002656346001e-08,1.1709002656346001e-09
1847,1.6718992412734224e-08,0.0
1848,1.850401076808339e-08,0.0
1849,1.5920887719289567e-08,1.6758829879393033e-09
1850,5.431196825611551e-09,0.0
1851,1.4188765717904062e-08,6.449438760824933e-10
1852,1.7578472011337e-08,0.0
1853,1.0152284346531815e-08,0.0
1854,1.2989160858012383e-08,0.0
1855,1.2205955357558196e-08,1.5920811335945473e-09
1856,7.248064815001953e-09,0.0
1857,1.1715622250108026e-08,4.881509085841174e-10
1858,1.663849857891364e-08,8.808616946964776e-09
1859,1.018434669930457e-08,5.092173349652285e-10
1860,1.4189270203246451e-08,0.0
1861,2.169343282787395e-08,4.715963730639317e-10
1862,1.1294965851504912e-08,0.0
1863,9.989241434027463e-09,0.0
1864,2.1096802527154068e-08,9.589455896019672e-10
1865,7.0602665935837194e-09,0.0
1866,1.2650593461671633e-08,0.0
1867,8.73506067478047e-09,0.0
1868,1.1855697756857353e-08,9.87974813071446e-10
1869,1.4162205630441349e-08,0.0
1870,1.7202147262196377e-08,0.0
1871,6.37270636261178e-09,0.0
1872,1.814201766592305e-08,2.4189357183956872e-09
1873,1.4366410283628284e-08,0.0
1874,1.3741600746186577e-08,1.7923826867161097e-09
1875,7.437985338754061e-09,0.0
1876,8.464420275799966e-09,2.418405919968336e-09
