year,tout_ADV in_ADJ
1800,9.432493452976587e-09
1801,3.5717739876872656e-08
1802,1.7902721083373763e-08
1803,3.900678446910888e-09
1804,7.4155526164076946e-09
1805,2.55858996212055e-08
1806,1.152667650217154e-08
1807,2.8469551160981155e-09
1808,1.8128591960930862e-08
1809,4.518061036407062e-09
1810,3.2761775514700275e-08
1811,1.2535384286138651e-08
1812,8.00162425207418e-09
1813,1.4378708002027452e-08
1814,9.440030979135372e-09
1815,8.091670666843243e-09
1816,2.3176038865813098e-09
1817,9.341240669868967e-09
1818,5.9605886892910576e-09
1819,1.449147024601416e-08
1820,1.0679833017945839e-08
1821,1.1833785507064931e-08
1822,1.2030739071633434e-08
1823,1.1859224047228167e-08
1824,1.7684336661716316e-08
1825,8.805443263426582e-09
1826,1.0569580766173203e-08
1827,9.217273055917019e-09
1828,4.586150570418113e-09
1829,6.858540846366168e-09
1830,1.3567886369969528e-08
1831,2.6505049710578987e-08
1832,9.470978667991403e-09
1833,4.6334514003376626e-09
1834,1.4001795944906803e-08
1835,1.3613558280667348e-08
1836,1.8146025460019644e-08
1837,1.6003149028165353e-08
1838,1.009945904684173e-08
1839,1.0487212875887053e-08
1840,1.528725279698051e-08
1841,2.3113974734201292e-08
1842,8.720745015011744e-09
1843,1.0632439872981791e-08
1844,7.135129487245706e-09
1845,7.812318791877715e-09
1846,8.781752214304106e-09
1847,1.4022381478184798e-08
1848,8.84974404868899e-09
1849,7.541473445726865e-09
1850,1.1541293254424545e-08
1851,1.096404611544699e-08
1852,5.859490892490271e-09
1853,2.448492031348337e-08
1854,1.3508727303435109e-08
1855,3.131092896069276e-08
1856,2.795682235712249e-08
1857,2.29430919262974e-08
1858,6.361778603913848e-09
1859,1.4767302713991626e-08
1860,1.098524138321011e-08
1861,3.725611313898369e-08
1862,1.4909354861813995e-08
1863,2.1476870337711063e-08
1864,1.1507346853179001e-08
1865,1.6473954644879996e-08
1866,1.0217787504984699e-08
1867,1.0190904120577216e-08
1868,1.1361710461343932e-08
1869,9.767038733343725e-09
1870,1.548193218070537e-08
1871,2.6552942067326057e-08
1872,1.4513613977307216e-08
1873,1.0774807712721213e-08
1874,9.559374958278966e-09
1875,8.582291044501034e-09
1876,1.632424040387548e-08
1877,1.1132668564783899e-08
1878,9.662541877730746e-09
1879,1.221865097988939e-08
1880,1.0268554451187129e-08
1881,9.761510710859511e-09
1882,8.652000449416164e-09
1883,1.64302811356265e-08
1884,1.1883054540362536e-08
1885,8.37932623287685e-09
1886,5.80811748696064e-09
1887,1.6322312390570914e-08
1888,5.07249175996094e-09
1889,9.397705058589167e-09
1890,9.831579661501166e-09
1891,5.0993759215245404e-09
1892,6.8953633913793055e-09
1893,1.23168328869383e-08
1894,8.192001077489408e-09
1895,7.22233739480771e-09
1896,6.486731929378209e-09
1897,1.1653427445246223e-08
1898,4.526684027617023e-09
1899,8.844125432005967e-09
1900,8.305684695564253e-09
1901,7.824234371511807e-09
1902,9.329539640834383e-09
1903,9.180374460626695e-09
1904,1.0211787859759625e-08
1905,8.257214578755168e-09
1906,1.2346043021249642e-08
1907,1.3885677219160897e-08
1908,4.4202499438483756e-09
1909,4.950885368337765e-09
1910,3.2064905175488434e-09
1911,6.384448969498635e-09
1912,1.40654377034366e-08
1913,6.893886850267705e-09
1914,9.375441145653696e-09
1915,5.890380849749022e-09
1916,5.493730803607377e-09
1917,5.483212106582869e-09
1918,4.594550517822427e-09
1919,6.4454939163738345e-09
1920,8.329454903588385e-09
1921,9.844572046446842e-09
1922,5.164555005876537e-09
1923,1.3800732556745743e-08
1924,6.445812328337297e-09
1925,5.499089184013428e-09
1926,3.343841648018042e-09
1927,4.4596899506643695e-09
1928,5.713020723163709e-09
1929,2.2280812750352652e-09
1930,5.2518016602221e-09
1931,7.983749661377715e-09
1932,3.287861094491973e-09
1933,1.032359597807897e-08
1934,5.990790086229936e-09
1935,2.393656828303392e-09
1936,2.667437293268904e-08
1937,8.813782592653752e-09
1938,7.779128452511941e-09
1939,6.117620188206274e-09
1940,0.0
1941,8.854507793643052e-09
1942,3.034211770724937e-09
1943,5.806470415592457e-09
1944,1.2852744646352221e-08
1945,4.357008087652048e-09
1946,1.3921104269343232e-09
1947,8.344609447874518e-09
1948,2.174377566888097e-09
1949,5.890204768377316e-09
1950,1.0635361480382244e-09
1951,3.198420528427448e-09
1952,4.217921456550755e-09
1953,2.1547654771580937e-09
1954,2.9317608341017376e-09
1955,0.0
1956,1.744228317335228e-09
1957,2.6505113659425206e-09
1958,3.3088973783179654e-09
1959,5.4255236969780185e-09
1960,2.076250060767393e-09
1961,5.55852741612739e-09
1962,3.805173953708163e-09
1963,3.879632060055371e-09
1964,2.433587276140514e-09
1965,4.377634699181954e-09
1966,3.3234448526542337e-09
1967,6.4094360374689074e-09
1968,4.491415683816058e-09
1969,4.541757636644661e-09
1970,5.978342543233595e-09
1971,4.1107179882260425e-09
1972,2.565073486948677e-09
1973,2.7566018356850464e-09
1974,5.06301445213353e-09
1975,1.1422960355389478e-09
1976,5.142174241967723e-09
1977,4.7014254711541525e-09
1978,2.3762365408686037e-09
1979,3.511183899185255e-09
1980,4.548120546843393e-09
1981,5.060439622894819e-09
1982,1.3035754475865247e-08
1983,4.420721344544631e-09
1984,3.4794050418618383e-09
1985,5.4140022465176685e-09
1986,0.0
1987,5.49973533381376e-09
1988,4.1975875553212916e-09
1989,1.0976244357863152e-09
1990,2.179460389939436e-09
1991,2.344586136349136e-09
1992,2.2039777225479895e-09
1993,2.2156829704300662e-09
1994,4.2199412852994556e-09
1995,3.253470381991974e-09
1996,4.270473752399084e-09
1997,2.3974471297094624e-09
1998,3.814503379828693e-09
1999,1.8280804647829996e-09
2000,8.836062992401139e-10
2001,4.3812117822561447e-10
2002,2.6287329535357173e-09
2003,1.6667691671301554e-09
2004,1.7619165015858584e-09
2005,2.702249757291497e-09
2006,3.706100759615083e-09
2007,7.988958938831558e-10
2008,1.7029758714315335e-09
2009,1.907277002999308e-09
2010,1.8895172648747405e-09
2011,1.91198598620268e-09
2012,2.0425516833455504e-09
2013,2.789125042035323e-10
2014,3.8978013316981475e-09
2015,4.433150790905671e-10
2016,1.035670049720494e-09
2017,1.5093667704579872e-09
2018,1.5488799687268795e-09
2019,2.2958890344426663e-09
