year,petit_ADJ art_NOUN,petit_ADJ phare_NOUN
1800,6.288328657788611e-08,6.288328968651058e-09
1801,1.6668277424969347e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,4.095712213825209e-08,0.0
1804,2.4718509905596875e-08,0.0
1805,3.980028751016107e-08,2.2743021688143017e-08
1806,0.0,0.0
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,2.039466551195801e-08,1.5862518409903714e-08
1809,3.840352036377226e-08,1.3554183553310395e-08
1810,7.020380277111826e-09,0.0
1811,3.760615285841595e-08,1.2535384286138651e-08
1812,3.7340914360584065e-08,0.0
1813,2.013019195779009e-08,0.0
1814,2.2026739543434815e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,0.0,0.0
1817,4.670620334934483e-09,3.113746815941454e-09
1818,3.4571415286066554e-08,0.0
1819,1.2421260464634543e-08,0.0
1820,5.933240565525466e-09,1.6613073583471305e-08
1821,2.465372084259343e-08,3.94459531705138e-09
1822,2.4061478143266868e-08,6.015369535816717e-09
1823,1.087095569118901e-08,9.882686891060644e-10
1824,8.421112696055388e-09,8.421112696055388e-09
1825,1.144707639788578e-08,1.4969252504215547e-08
1826,1.0569580766173203e-08,1.8496766784892316e-08
1827,1.566936447261469e-08,1.2904182611350734e-08
1828,2.2930752408001354e-08,0.0
1829,2.0575622650120806e-08,1.800366966620004e-08
1830,1.0436835840010872e-09,1.0436835840010872e-09
1831,3.1182412207897414e-09,4.677361609140007e-09
1832,2.0294953273491956e-08,0.0
1833,1.9692167896323554e-08,2.3167257001688313e-09
1834,6.534171426153534e-09,4.667265685043276e-09
1835,2.4958190181223472e-08,5.294161553592858e-09
1836,8.736974699274924e-09,1.4113575197427508e-08
1837,8.349468672008697e-09,9.045257876039159e-09
1838,1.3886756633496589e-08,1.704283758563463e-08
1839,1.11863602825224e-08,1.3283802502428443e-08
1840,1.0191501864653674e-08,2.7389662093924017e-08
1841,6.420548537278137e-09,1.8619591202195807e-08
1842,6.708265054555795e-10,1.2745703159566801e-08
1843,1.358589563071888e-08,3.5441467538532834e-09
