year,tout_ADV ôté_VERB
1800,6.288328791015374e-08
1801,6.429193177837078e-08
1802,5.594600338554301e-08
1803,7.80135707145746e-08
1804,1.1370514130248921e-07
1805,9.665784261869703e-08
1806,4.610670600868616e-08
1807,1.9928686256776018e-08
1808,1.5862518409903714e-08
1809,4.292158095609011e-08
1810,4.914266327205041e-08
1811,3.259199843341776e-08
1812,1.0668832928217853e-08
1813,4.888760685162197e-08
1814,7.866692897096073e-08
1815,2.966945977789237e-08
1816,3.476405652236281e-08
1817,8.56280379935015e-08
1818,3.814776761146277e-08
1819,9.419455437864599e-08
1820,7.001224133773576e-08
1821,6.311352507282209e-08
1822,3.909990198280866e-08
1823,7.807322788266902e-08
1824,4.7158231097910175e-08
1825,6.868245350233337e-08
1826,5.989429041619587e-08
1827,4.3321183085254233e-08
1828,3.485474309172787e-08
1829,5.058173968564006e-08
1830,5.114049628218709e-08
1831,4.8332740476553226e-08
1832,3.5177919244233635e-08
1833,3.938433579264711e-08
1834,3.827157613045529e-08
1835,3.6302822081779595e-08
1836,3.091545153210973e-08
1837,3.270208637218275e-08
1838,1.9567702125300457e-08
1839,4.61437359433603e-08
1840,4.33138822586443e-08
1841,4.6227949468402585e-08
1842,2.95163662400455e-08
1843,2.0674189471492355e-08
1844,2.4149668931272572e-08
1845,3.850357188639464e-08
1846,4.6836010625384006e-08
1847,3.182001862001016e-08
1848,3.137636639394259e-08
1849,2.8490010350878947e-08
1850,2.987158254086353e-08
1851,2.192809134271556e-08
1852,4.492276417522589e-08
1853,2.149895550473957e-08
1854,1.9223959313308114e-08
1855,3.767925349507095e-08
1856,3.209857268871019e-08
1857,4.246912865824015e-08
1858,3.0830157982109085e-08
1859,2.953460587207246e-08
1860,1.6020143434047895e-08
1861,2.0278644541349422e-08
1862,3.5240294238292336e-08
1863,2.4973104473247076e-08
1864,3.9796240969280916e-08
1865,2.9653119071326728e-08
1866,2.1408697037372804e-08
1867,3.105799351033056e-08
1868,2.766329387782207e-08
1869,2.0999133099053324e-08
1870,2.695002976338401e-08
1871,1.911811864374613e-08
1872,2.7817760539505798e-08
1873,1.5563610844537834e-08
1874,2.0313670745508716e-08
1875,1.830888685105947e-08
1876,2.2974855795609983e-08
1877,3.896434108696667e-08
1878,2.0532901601200138e-08
1879,2.1993571408529533e-08
1880,7.059631101924424e-09
1881,1.1853263259808955e-08
1882,1.2645231528551903e-08
1883,1.7694148368718743e-08
1884,9.242375753615306e-09
1885,1.8047780159236027e-08
1886,1.355227396970804e-08
1887,9.140494583448344e-09
1888,7.60873763994141e-09
1889,2.5060546970934183e-09
1890,9.176140736144589e-09
1891,1.211101796627645e-08
1892,1.2537024751679837e-08
1893,1.4780200174868696e-08
1894,9.452309157609307e-09
1895,6.6204757231957956e-09
1896,1.7101383420481397e-08
1897,1.3401440845939305e-08
1898,2.1501747937691107e-08
1899,1.5477219506010442e-08
1900,6.748368974740515e-09
1901,3.353243460679778e-09
1902,4.910283735171106e-09
1903,1.296052865029651e-08
1904,3.7622376325430196e-09
1905,1.2385822145688508e-08
1906,1.2346042410626978e-08
1907,1.1828539925318182e-08
1908,1.4734167663732478e-08
1909,3.300590023513905e-09
1910,2.3514262537105424e-08
1911,1.0108711201439746e-08
1912,1.614920641657136e-08
1913,8.484783542428431e-09
1914,8.036092680185902e-09
1915,4.712304768617059e-09
1916,6.592477230782379e-09
1917,6.57985488317081e-09
1918,3.44591288836682e-09
1919,6.4454939163738345e-09
1920,9.843901693784574e-09
1921,6.058197943303867e-09
1922,2.951174193910333e-09
1923,1.3800733000834953e-08
1924,6.445812328337297e-09
1925,1.9796720707176974e-08
1926,1.3375366592072169e-08
1927,1.2264147031260109e-08
1928,5.713020723163709e-09
1929,7.798284684668033e-09
1930,1.995684684175103e-08
1931,5.7026783295555106e-09
1932,4.383814644626227e-09
1933,2.2941324395731044e-09
1934,9.585264137967897e-09
1935,1.6755597798123745e-08
1936,3.6374143697059935e-09
1937,5.0364472592434595e-09
1938,1.2965214457594243e-09
1939,1.5294050470515685e-09
1940,5.0715658339584024e-09
1941,1.4757512545315876e-08
1942,1.2136847082899749e-08
1943,5.806470415592457e-09
1944,1.6065930807940276e-08
1945,8.714016175304096e-09
