year,tout_DET or_NOUN,tout_DET fort_ADJ
1800,9.432493452976587e-09,4.4018303668735825e-08
1801,4.286128785224719e-08,2.3811825400343878e-08
1802,2.4616241489638924e-08,2.4616241489638924e-08
1803,4.290746380419819e-08,3.510610468993036e-08
1804,1.9774807569206132e-08,4.2021465418429216e-08
1805,2.842877755426798e-08,4.264316544322355e-08
1806,4.3225035994964855e-08,7.204172902675055e-08
1807,1.9928686256776018e-08,5.693910232196231e-09
1808,2.4926814390369145e-08,3.172503681980743e-08
1809,8.35841271751292e-08,9.036122072814123e-09
1810,1.8721014516387413e-08,2.3401266702194334e-08
1811,4.512738271955641e-08,2.0056614147279106e-08
1812,1.8670456736202823e-08,2.400487453257938e-08
1813,5.7514832008109806e-08,1.7254450312975678e-08
1814,2.2026739543434815e-08,1.5733386149463513e-08
1815,2.6972236000233352e-08,1.3486118000116676e-08
1816,3.476405829871965e-08,1.622322720606917e-08
1817,3.89218364205135e-08,2.9580593974287694e-08
1818,3.21871784780825e-08,3.457141417584353e-08
1819,3.415846616672269e-08,1.7596784473994376e-08
1820,2.0173017922786585e-08,2.0173018810965004e-08
1821,1.6764530097468366e-08,2.7612166775270452e-08
1822,2.4061478143266868e-08,3.408709403629473e-08
1823,6.819054299000982e-08,4.941343334508019e-08
1824,1.7684337549894735e-08,4.21055617039201e-08
1825,7.132408930132783e-08,2.993850500843109e-08
1826,2.6423953580767545e-08,2.1139161532346407e-08
1827,1.4747637222534138e-08,8.295545583791863e-09
1828,2.5682442839070063e-08,1.3758452155343548e-08
1829,9.430493719264632e-09,4.543783305166471e-08
1830,2.5048406016026092e-08,1.2524203008013046e-08
1831,7.951515157422762e-08,1.5591206548037917e-08
1832,1.0823975493678972e-08,9.470978667991403e-09
1833,4.865124036967927e-08,2.6642345218874652e-08
1834,4.013848342587778e-08,1.3068342852307069e-08
1835,2.7227116561334697e-08,1.8907719834260206e-08
1836,2.0834324654384062e-08,1.747394939854985e-08
1837,4.3834712526447106e-08,1.2524203896191466e-08
1838,4.418513199766494e-08,1.8936486156917454e-08
1839,1.1466019300687691e-07,9.788065469251706e-09
1840,3.7581163736533085e-08,1.52872523528913e-08
1841,3.467096254539115e-08,9.630822361827995e-09
1842,5.2324466537356784e-08,1.542900918138912e-08
1843,3.3078700778510495e-08,7.088293507706567e-09
1844,2.1405388628270572e-08,1.4819115712327857e-08
1845,3.459741143574391e-08,1.2834524554250493e-08
1846,2.868705673009231e-08,1.2294452567118697e-08
1847,3.289866423727972e-08,9.707802561820245e-09
1848,1.850401076808339e-08,1.206783295515379e-08
1849,1.5920888163378777e-08,2.513824481908955e-09
1850,2.5798185809833285e-08,1.6972489191857676e-08
1851,2.257303544084266e-08,1.1608989325395669e-08
1852,3.711010876372711e-08,1.6276363368206148e-08
1853,3.1054045557254994e-08,2.448492075757258e-08
1854,3.1693553004252806e-08,1.558699302961486e-08
1855,2.812676669350367e-08,6.368324534378189e-09
1856,2.174419438949471e-08,1.863788057221427e-08
1857,2.4407545762272775e-08,5.2232145719699474e-08
1858,8.808616835942473e-09,2.6915218498402282e-08
1859,1.9859475397510096e-08,4.0228169240208445e-08
1860,3.249800462068464e-08,1.6477862629926676e-08
1861,4.527325092595902e-08,1.131831339762357e-08
1862,3.433669720775967e-08,2.2138133104476765e-08
1863,5.494082988555249e-08,2.1976331865403154e-08
1864,1.726102105692462e-08,3.308362295229017e-08
1865,4.0008176604988677e-08,1.553258677233771e-08
1866,4.4763639239775443e-08,1.702964524952222e-08
1867,2.7661025470138156e-08,6.308654931785895e-09
1868,2.2723420589620957e-08,6.915823469455518e-09
1869,3.5161337064160136e-08,1.0255390314739543e-08
1870,2.5803219116937726e-08,1.0321287824410774e-08
1871,4.991953339583688e-08,1.274541272522356e-08
1872,2.9027229508926666e-08,3.930770375859538e-08
1873,2.7535620672480832e-08,1.3169209722718733e-08
1874,3.405527093658378e-08,2.3300975371398636e-08
1875,2.059749715233039e-08,1.4875970677508121e-08
1876,1.8138044177717916e-08,5.441413541973361e-09
1877,4.329371305900054e-08,2.2265338017746217e-08
1878,2.596808079680102e-08,1.8117265909722846e-08
1879,5.437299632760073e-08,1.3440515367335593e-08
1880,1.8611755026043397e-08,1.4761046607247863e-08
1881,2.8587281097891548e-08,2.7890029841159958e-08
1882,5.257754431831074e-08,2.4624924321869912e-08
1883,2.0853819060473455e-08,1.3270612164717477e-08
1884,2.77271263726675e-08,7.2618666635548834e-09
1885,2.7716233141905633e-08,1.9981470700258797e-08
1886,6.51799884066051e-08,1.7424351739236954e-08
1887,2.415702088365279e-08,1.8933882017790893e-08
1888,2.4728396885720372e-08,1.014498351992188e-08
1889,2.8193114509633688e-08,5.012109394186837e-09
1890,3.9981758626073116e-08,1.3764211992395303e-08
1891,1.8485237118781583e-08,2.8046567734918426e-08
1892,3.949162885596991e-08,2.4447198043731078e-08
1893,2.2786141251618375e-08,1.7243566574620672e-08
1894,3.465846609707057e-08,2.2055386850183822e-08
1895,3.4306102847381226e-08,1.2639090662958097e-08
1896,1.6511681522057842e-08,4.1279202278587945e-09
1897,1.8062812245922544e-08,8.740070001067579e-09
1898,2.2067583871354657e-08,1.0750873968845553e-08
1899,1.4371703827009696e-08,4.9748205555033564e-09
1900,2.1283317441778138e-08,9.863001082521805e-09
1901,2.2913829722526202e-08,1.4530721514915967e-08
1902,3.338992993207057e-08,5.892340837476695e-09
1903,2.8621168546294484e-08,1.5120615870500842e-08
1904,8.599400302955473e-09,1.0211787859759625e-08
1905,2.8384175565498992e-08,1.7030505006232488e-08
1906,2.1605575106775632e-08,1.2860461140462576e-08
1907,2.674278520853335e-08,1.0285686968813934e-08
1908,3.3397447030125704e-08,1.3260750719723546e-08
1909,1.9253442284927758e-08,2.2003934674330594e-08
1910,1.8704527149360217e-08,9.619471441624228e-09
1911,2.6601871261355825e-08,1.2236860413850081e-08
1912,2.7088990162127402e-08,9.897900277167082e-09
1913,3.6590627860988434e-08,1.96210621083992e-08
1914,1.9420556107707654e-08,1.4732836284281348e-08
1915,9.424609426211816e-09,1.8849219074468238e-08
1916,1.7579939504130948e-08,6.592477230782379e-09
1917,1.5352993543160665e-08,1.6449636319748606e-08
1918,1.1486376294556067e-08,1.2635013924011673e-08
1919,1.2890987610703064e-08,3.6831393490643904e-09
1920,2.1202248845497706e-08,1.1358347151713133e-08
1921,2.9533714807072897e-08,1.2116395886607734e-08
1922,3.09873291470808e-08,9.591316185719734e-09
