year,furent_VERB in_ADJ
1800,1.5720821977538435e-08
1801,2.3811825400343878e-08
1802,2.6854081625060644e-08
1803,2.3404069793286908e-08
1804,2.7190360185613827e-08
1805,2.842877711017877e-09
1806,2.0171682990621775e-08
1807,3.131650672116848e-08
1808,6.798221985349073e-09
1809,1.8072244145628247e-08
1810,1.6380887757350138e-08
1811,3.760615285841595e-08
1812,2.9339290108509886e-08
1813,2.5881675469463516e-08
1814,9.440030979135372e-09
1815,1.8880564667256294e-08
1816,2.3176038865813098e-08
1817,1.401186100480345e-08
1818,4.410835785506606e-08
1819,1.3456364911235141e-08
1820,3.678609061807947e-08
1821,1.676452932031225e-08
1822,2.8071724500478012e-08
1823,2.569498569471307e-08
1824,1.0105335235266466e-08
1825,1.937197424695114e-08
1826,2.1139161532346407e-08
1827,2.1199728195142598e-08
1828,1.6510142586412258e-08
1829,1.5431716349212365e-08
1830,1.982998831806526e-08
1831,4.5214498811674275e-08
1832,1.2176972319366541e-08
1833,2.3167256557599103e-08
1834,1.7735608537350345e-08
1835,1.9664028627630614e-08
1836,8.064899859050456e-09
1837,1.1132625488130543e-08
1838,6.943378316748294e-09
1839,1.677954131196202e-08
1840,1.6561189752906103e-08
1841,6.420548537278137e-09
1842,4.695785538189057e-09
1843,1.4767278067040479e-08
1844,9.879410178825765e-09
1845,1.0602432709561072e-08
1846,1.0538101946622191e-08
1847,1.4561703842730367e-08
1848,1.045878850192139e-08
1849,5.865590679832167e-09
1850,8.146795238417326e-09
1851,1.2253933867611977e-08
1852,1.3672145193766028e-08
1853,8.957897534855874e-09
1854,1.0910895298366086e-08
1855,9.552486801567284e-09
1856,4.659470143053568e-09
1857,1.513267733344037e-08
1858,3.9149408159744326e-09
1859,9.675129142294736e-09
1860,9.612086238064421e-09
1861,8.017138064531082e-09
1862,1.0391368654438793e-08
1863,7.991393324857654e-09
1864,9.589456340108882e-09
1865,9.413688495385486e-09
1866,6.811858188626729e-09
1867,3.88224918879132e-09
1868,9.385760613156435e-09
1869,4.883519366671862e-09
1870,5.734048791339319e-09
1871,7.434824311758348e-09
1872,9.675742873582749e-09
1873,1.0176207432266438e-08
1874,7.766991494406739e-09
1875,7.437985338754061e-09
1876,7.859819461941697e-09
1877,8.040260901509555e-09
1878,5.435179861734696e-09
1879,8.55305515301552e-09
1880,1.0910338410496934e-08
1881,6.9725074602899895e-09
1882,9.983077475794744e-09
1883,6.951272890631799e-09
1884,5.941527270181268e-09
1885,7.090199094506033e-09
1886,3.2267319927115068e-09
1887,2.6115698492645834e-09
1888,1.268122939990235e-09
1889,7.51816386923565e-09
1890,3.9326319978272295e-09
1891,3.1871101313640793e-09
1892,6.268512375839919e-09
1893,4.926733243593162e-09
1894,5.041231432301174e-09
1895,6.6204757231957956e-09
1896,5.897029087265082e-09
1897,1.1653427112179315e-09
1898,2.26334195829736e-09
1899,2.7637891975018647e-09
1900,3.633737311048435e-09
1901,3.353243460679778e-09
1902,2.455141867585553e-09
1903,3.7801539676252105e-09
1904,4.837162670412454e-09
1905,1.5482277682110634e-09
1906,1.5432553013283723e-09
1907,3.599990305858114e-09
1908,2.4556945366072114e-09
1909,3.300590023513905e-09
1910,3.740905363258662e-09
1911,3.1922244847493175e-09
1912,4.688478938419394e-09
1913,3.181793939432964e-09
1914,1.3393487430235496e-09
1915,2.3561523843085297e-09
1916,9.888715624128963e-09
1917,5.483212106582869e-09
1918,2.2972752589112133e-09
1919,6.4454939163738345e-09
1920,0.0
1921,2.2718242842501013e-09
1922,2.2133805899215986e-09
1923,3.1847844361720945e-09
1924,0.0
1925,2.1996355847875293e-09
1926,4.458455382660986e-09
1927,3.3447675740205796e-09
1928,2.2852082448565625e-09
1929,4.4561625500705304e-09
1930,0.0
1931,1.1405356659111021e-09
1932,0.0
1933,1.1470662197865522e-09
1934,3.5944740517379614e-09
1935,0.0
1936,2.424942913137329e-09
1937,1.2591118148108649e-09
1938,1.2965214457594243e-09
1939,1.5294050470515685e-09
1940,2.5357829169792012e-09
1941,0.0
1942,6.068423541449874e-09
1943,2.9032352077962287e-09
1944,6.4263723231761105e-09
1945,6.535512131478072e-09
1946,4.1763312808029696e-09
1947,1.1920870957027319e-09
1948,2.174377566888097e-09
1949,1.9634016634739737e-09
1950,1.0635361480382244e-09
1951,1.0661401761424827e-09
1952,3.1634410646574906e-09
1953,5.386913581872932e-09
1954,3.9090144454689835e-09
1955,9.385607846468247e-10
1956,8.72114158667614e-10
1957,8.835037701437898e-10
1958,2.4816730892496253e-09
1959,7.750747821333448e-10
1960,1.3841666701708277e-09
1961,4.16889545107324e-09
1962,3.805173953708163e-09
1963,1.939815863494232e-09
1964,0.0
1965,2.73602163147757e-09
1966,2.215629901769489e-09
1967,9.860671168482327e-10
1968,3.1439910674890825e-09
1969,9.083515606356229e-10
1970,4.598724956395017e-09
1971,5.138397485282553e-10
1972,1.0260293725750103e-09
1973,1.102640756478479e-09
1974,1.6876715580593782e-09
1975,1.7134440533084216e-09
1976,4.570821499072508e-09
1977,5.876781838942691e-10
1978,1.7821774056514528e-09
1979,2.3407893401383717e-09
1980,0.0
1981,6.325549528618524e-10
1982,6.828252629986764e-09
1983,0.0
1984,1.739702604197646e-09
1985,0.0
1986,0.0
1987,6.110816852533674e-10
1988,1.798966087207532e-09
1989,0.0
1990,1.089730194969718e-09
1991,1.1722930404189924e-09
1992,0.0
1993,1.1078414852150331e-09
1994,1.0549853213248639e-09
1995,1.0844901643380922e-09
1996,1.067618438099771e-09
1997,0.0
1998,1.43043876743576e-09
1999,9.140402323914998e-10
2000,8.836062992401139e-10
2001,0.0
2002,0.0
2003,8.333845835650777e-10
2004,0.0
2005,9.007499190971657e-10
2006,4.1178899179428186e-10
2007,1.1983438685803094e-09
2008,4.257439678578834e-10
2009,0.0
2010,0.0
2011,1.1471915639660324e-09
2012,0.0
2013,8.367375126105969e-10
2014,1.0827225782605865e-09
2015,6.649726325136385e-10
2016,0.0
2017,1.509366853724714e-09
2018,7.744400121190154e-10
2019,1.2754939326953263e-09
