year,tout_DET enfant_NOUN
1800,1.9808236828566805e-07
1801,2.7383599388031143e-07
1802,2.663029761151847e-07
1803,4.2127327049001906e-07
1804,4.251583618497534e-07
1805,4.491746921075901e-07
1806,2.679952331163804e-07
1807,4.98217161748471e-07
1808,3.8523256762346136e-07
1809,3.0948717721912544e-07
1810,3.252776110684863e-07
1811,2.281439890339243e-07
1812,3.227321840881814e-07
1813,3.163315831500313e-07
1814,2.5802753267356593e-07
1815,1.6722786000400447e-07
1816,1.6223227561340536e-07
1817,2.459860013459547e-07
1818,1.5378318352077258e-07
1819,1.8735400431069138e-07
1820,3.168350417581678e-07
1821,2.1892504165066384e-07
1822,2.5565320527221047e-07
1823,2.57938133074731e-07
1824,3.3431816603979314e-07
1825,2.8089362835714837e-07
1826,2.660011269028928e-07
1827,5.696274598676609e-07
1828,2.2563860824220683e-07
1829,3.6607463016480324e-07
1830,3.141487567859258e-07
1831,4.537041036201117e-07
1832,5.2225682622975e-07
1833,5.015711224132247e-07
1834,4.5459165676220437e-07
1835,5.074832074569713e-07
1836,5.578222470603578e-07
1837,4.244313487333784e-07
1838,4.235460693280402e-07
1839,4.719245652040627e-07
1840,6.847415079391794e-07
1841,7.049762302813178e-07
1842,6.01060563099054e-07
1843,6.804761767398304e-07
1844,5.713592514666743e-07
1845,5.451882643114914e-07
1846,6.328715898007431e-07
1847,5.34468469481908e-07
1848,5.615564759864355e-07
1849,4.6338165304860013e-07
1850,7.895602323060302e-07
1851,6.185011756087988e-07
1852,6.666798526566708e-07
1853,6.736339202007002e-07
1854,5.387904025155876e-07
1855,7.222741231771579e-07
1856,7.346431800669961e-07
1857,7.419893677251821e-07
1858,7.389450757955274e-07
1859,8.799275548199148e-07
1860,7.913950810234383e-07
1861,7.597417450710964e-07
1862,6.776979688538631e-07
1863,7.821575991329155e-07
1864,7.187296944266564e-07
1865,8.670007360933596e-07
1866,9.317648590467797e-07
1867,7.254953402480169e-07
1868,7.987776342588404e-07
1869,8.897771692772949e-07
1870,6.961135454730538e-07
1871,7.509172661457342e-07
1872,1.012324588600677e-06
1873,8.140966230030244e-07
1874,9.738613186982548e-07
1875,8.736771661688181e-07
1876,8.125844033202156e-07
1877,7.007396476410577e-07
1878,8.527193386953513e-07
1879,9.188425167394598e-07
1880,9.67811217833514e-07
1881,8.652881575699212e-07
1882,1.089486531213879e-06
1883,8.215140638867524e-07
1884,9.658282920099737e-07
1885,9.558877707149804e-07
1886,8.815431726816314e-07
1887,1.0792312536977988e-06
1888,9.65675639008623e-07
1889,1.009940064022885e-06
1890,1.0008547945972168e-06
1891,9.261741809041268e-07
1892,9.31500935053009e-07
1893,9.071347619737935e-07
1894,8.525982906348872e-07
1895,9.51542972416064e-07
1896,1.0720798542251941e-06
1897,9.276127883595109e-07
1898,8.459240348202002e-07
1899,9.297386611706315e-07
1900,8.52370916959444e-07
1901,8.768731163399934e-07
1902,8.740305048604569e-07
1903,8.278537535488795e-07
1904,9.045494380188757e-07
1905,9.872532160670744e-07
1906,9.475587745555458e-07
1907,1.0799970908692558e-06
1908,1.1247080635712337e-06
1909,1.1255012566380174e-06
1910,1.0506600034432267e-06
1911,9.975701686926186e-07
1912,1.1148161291885117e-06
1913,1.1385519229634156e-06
1914,1.0513887644947317e-06
1915,6.91530701146803e-07
1916,8.746019517502646e-07
1917,1.129541715272353e-06
1918,8.695186721752179e-07
1919,1.013784114434202e-06
1920,1.0381529591541039e-06
1921,1.0707865101267089e-06
1922,1.0321732020202035e-06
1923,1.0807034982462937e-06
1924,1.0519565591948776e-06
1925,1.136111791311123e-06
1926,9.942355205794229e-07
1927,1.215265513110353e-06
1928,1.1414614959903702e-06
1929,1.049426259669417e-06
1930,1.073468268941724e-06
1931,9.249744010730865e-07
1932,8.37308604673126e-07
1933,9.979476089938544e-07
1934,8.506921886919372e-07
1935,7.863162778676269e-07
1936,8.754044245051773e-07
1937,8.385684822087569e-07
1938,9.347919558422291e-07
1939,7.891730149367504e-07
1940,6.516962329783382e-07
1941,9.710443720223338e-07
1942,8.253055767681872e-07
1943,8.50647936090354e-07
1944,8.547075367459911e-07
1945,8.517950789155293e-07
1946,1.0162406169911264e-06
1947,7.927379215288965e-07
1948,8.93669209744985e-07
1949,7.853606547314484e-07
1950,7.093785967526856e-07
1951,7.676209463625128e-07
1952,7.27591498161928e-07
1953,6.668999219527905e-07
1954,7.818028677775146e-07
1955,6.729480759304352e-07
1956,6.93330775902723e-07
1957,5.716269484423719e-07
1958,6.634339086986074e-07
1959,6.138592283377875e-07
1960,7.48142099382676e-07
1961,7.281670946213126e-07
1962,7.305933706902579e-07
1963,7.112658835239927e-07
1964,6.552433831075177e-07
1965,7.009687550407762e-07
1966,6.41424861669293e-07
1967,6.227013784609881e-07
1968,7.294059258811103e-07
1969,5.917910499420032e-07
1970,6.792316753490013e-07
1971,6.864898836056454e-07
1972,6.741012725797191e-07
1973,6.626870714399047e-07
1974,5.979982660164751e-07
1975,6.768104015009158e-07
1976,6.044911700087141e-07
1977,5.912042411182483e-07
1978,6.801976866199766e-07
1979,6.91703249344755e-07
1980,5.867075643095632e-07
1981,6.958104279419786e-07
1982,6.48684000736921e-07
1983,5.923766366322525e-07
1984,7.590902129095412e-07
1985,8.048816511063706e-07
1986,6.186308780797845e-07
1987,7.039660943064519e-07
1988,7.291809680509687e-07
1989,7.172975671210224e-07
1990,7.780673882962219e-07
1991,8.065376277954783e-07
1992,7.438424489691897e-07
1993,7.112342359505419e-07
1994,6.962903000840015e-07
1995,7.331153710765648e-07
1996,7.227776706031364e-07
1997,6.928622582336175e-07
1998,7.776818762295079e-07
1999,8.729084157721445e-07
2000,7.952456684279241e-07
2001,8.004473812661672e-07
2002,8.863211178322672e-07
2003,8.388015970695051e-07
2004,7.981481644492305e-07
2005,7.611336769741683e-07
2006,8.594036557951767e-07
2007,8.672014928379213e-07
2008,8.408443505913965e-07
