year,sont_VERB in_ADJ,sont_VERB fines_ADJ
1800,1.6978488304175698e-07,2.5153315164061496e-07
1801,1.7620750725200196e-07,2.2383116515811707e-07
1802,2.528759353026544e-07,1.9245425164626795e-07
1803,1.7162984988772223e-07,3.237563248603692e-07
1804,1.359518080334965e-07,1.458392091535643e-07
1805,2.103729457303416e-07,3.1840230008128856e-07
1806,2.362968700708734e-07,1.988351669979238e-07
1807,1.9359295322374237e-07,2.1921555060089304e-07
1808,1.7222161829977267e-07,1.654234011994049e-07
1809,1.6716825257390155e-07,2.959330061003129e-07
1810,2.1529166360778618e-07,1.5210824244604737e-07
1811,1.0279014617253779e-07,1.0780430415024966e-07
1812,2.1604387256957125e-07,1.4936365744233626e-07
1813,2.041776525629757e-07,8.339650747757332e-08
1814,1.3845379953636439e-07,9.754699448194515e-08
1815,2.2386954867670283e-07,1.3216394734172354e-07
1816,2.0858435334503156e-07,2.0858435334503156e-07
1817,1.588010860587019e-07,1.1832237589715078e-07
1818,1.6093589749743842e-07,8.702459552978326e-08
1819,1.9252952654369437e-07,1.3042323132594902e-07
1820,1.9935689010708302e-07,9.493184904840746e-08
1821,1.5088076565916708e-07,7.297501269931672e-08
1822,2.105379337535851e-07,6.51665033046811e-08
1823,1.8184144323640794e-07,8.400284201570685e-08
1824,2.0968570879631443e-07,2.130541503220229e-07
1825,1.7522832251870568e-07,1.0566531472022689e-07
1826,2.0082204343907506e-07,1.3388135755576513e-07
1827,2.1568419583672949e-07,9.585964022562621e-08
1828,1.6877034170192928e-07,3.0176872201082006e-07
1829,1.9461108990981302e-07,3.343538708122651e-07
1830,1.5968359434737067e-07,3.600708282647247e-07
1831,1.855353559676587e-07,3.6795245250687003e-07
1832,1.7047761957655894e-07,1.3800568865462992e-07
1833,1.50587169400751e-07,2.0966368197150587e-07
1834,1.456186851100938e-07,1.4095141409598e-07
1835,1.6790055212823063e-07,1.0512692227848675e-07
1836,1.357591514761225e-07,1.3508707752407645e-07
1837,1.273294003567571e-07,1.4333255649034982e-07
1838,1.180374269438289e-07,9.72072911054056e-08
1839,1.5451159640633705e-07,1.0417298312859202e-07
1840,1.7007069175178913e-07,1.2994165388136025e-07
1841,9.181384541534499e-08,1.1749603601174385e-07
1842,1.086738947719823e-07,5.634942823462552e-08
1843,1.216823619643037e-07,9.037574244530333e-08
1844,1.0428266250528395e-07,9.111011678442082e-08
1845,1.2778721725226205e-07,1.3280941857374273e-07
1846,1.4519163471504726e-07,1.0596647115335145e-07
1847,1.5748213400001987e-07,1.0732514965638984e-07
1848,1.4159590477902384e-07,1.0619692858426788e-07
1849,1.3742240412284445e-07,1.3909829021940823e-07
1850,1.222019250235462e-07,1.1405513333784256e-07
1851,1.9348316016021272e-07,8.255281613855914e-08
1852,1.4453411267822958e-07,8.919447225252952e-08
1853,1.4153478389289376e-07,1.3078530969323765e-07
1854,1.4495903144506883e-07,8.832629561084104e-08
1855,1.432873091289366e-07,1.2312094099797832e-07
1856,1.3719551361646154e-07,1.0406150607877862e-07
1857,1.2984814645733422e-07,1.2935998938701232e-07
1858,1.512145928472819e-07,1.008097285648546e-07
1859,1.4461772934737382e-07,9.878816342734353e-08
1860,1.2358395906630903e-07,1.171759080875745e-07
1861,1.4666646563910035e-07,1.1554111267741973e-07
1862,1.4231656564334116e-07,1.093352679504278e-07
1863,1.0588595955596247e-07,1.40348845434346e-07
1864,1.0404559702692495e-07,1.5534918418325105e-07
1865,1.2002453786408296e-07,1.299088978612417e-07
1866,1.3039841917361628e-07,1.8489329534077115e-07
1867,1.164674756637396e-07,2.222587625055894e-07
1868,1.0768925307047539e-07,2.810788259921537e-07
1869,1.1085588624837328e-07,1.6310953299125686e-07
1870,1.7660870810232154e-07,1.4564483308276976e-07
1871,1.5082071058714064e-07,1.4869648623516696e-07
1872,1.3122726727488043e-07,1.4090301192482002e-07
1873,1.4545990723036084e-07,3.304274400761642e-07
1874,1.3084394367979257e-07,1.2427186391050782e-07
1875,1.035596426390839e-07,1.6306351824368903e-07
1876,1.027822520427435e-07,1.7352061831843457e-07
1877,1.0761579716245251e-07,1.4905405976151087e-07
1878,1.1474268291067347e-07,1.6788666812317388e-07
1879,1.4173635065617418e-07,1.8755628161670757e-07
1880,1.354165561906484e-07,1.7456541456795094e-07
1881,1.3945015098215663e-07,1.6315667039634718e-07
1882,1.2911446845009777e-07,1.8235755305795465e-07
1883,1.4787252666792483e-07,1.2575485186516744e-07
1884,9.308392634466145e-08,1.3071360172034474e-07
1885,1.0893124624544726e-07,1.2117794767618761e-07
1886,9.16391869054678e-08,1.6908074940147344e-07
1887,1.2535535631741368e-07,1.9260328087966627e-07
1888,1.2871447552242898e-07,1.6739222985506785e-07
1889,1.1465200344673576e-07,2.098820743867691e-07
1890,8.782878069268918e-08,1.4091931177517836e-07
1891,1.0517462811776568e-07,1.6318003304149897e-07
1892,9.966935010652378e-08,1.585933659953298e-07
1893,9.360793029600245e-08,1.453386317962213e-07
1894,9.956431767932372e-08,1.3233233175924397e-07
1895,9.990900196044095e-08,1.209741498087169e-07
1896,9.49421661289307e-08,1.4506690604321193e-07
1897,8.973138676537928e-08,1.579039405896765e-07
1898,8.770449966277738e-08,1.3070800264358695e-07
1899,1.0557674556821439e-07,1.4205876652795268e-07
1900,7.578937299967947e-08,1.297763247976036e-07
1901,1.0395054061973497e-07,1.6989766038477683e-07
1902,1.2373915581065376e-07,1.6154834270309948e-07
1903,1.0800440719549442e-07,1.3986570479573857e-07
1904,9.996802674550054e-08,1.5586412871471111e-07
1905,7.121847289681682e-08,1.4759770294858754e-07
1906,9.053764671307363e-08,1.4455159202952927e-07
1907,8.485691438409049e-08,1.2137110161347664e-07
1908,6.826830656336824e-08,1.0215688917014631e-07
1909,8.69155414306988e-08,1.8098235443630983e-07
1910,7.909343224810073e-08,1.5391154306598764e-07
1911,7.980560923215307e-08,1.43650098038961e-07
1912,7.397377999041055e-08,1.2554704653666704e-07
1913,6.575707089950811e-08,2.1158929541797988e-07
1914,7.433385462718434e-08,1.5000705388956703e-07
1915,8.482148672328549e-08,1.201637758185825e-07
1916,7.361599330124591e-08,1.6151568615896394e-07
1917,7.128176093829097e-08,1.2721052655706444e-07
1918,1.1141784739265859e-07,9.303964532136888e-08
1919,7.550436009751138e-08,9.299926517769563e-08
1920,6.512119199442168e-08,1.0601124245113169e-07
1921,8.178567156846839e-08,1.5524132379596267e-07
1922,7.451714623130101e-08,1.2690048833974288e-07
1923,8.705077192416866e-08,1.1146745748646936e-07
1924,7.34822620529485e-08,1.572778245417794e-07
1925,1.2757885770042776e-07,1.2317958919538796e-07
1926,7.467912865877224e-08,9.36275625917915e-08
1927,6.355057990958812e-08,1.4605484466301277e-07
1928,7.084145892122251e-08,1.0854738974330758e-07
1929,4.67897081080082e-08,1.2254446346560144e-07
1930,7.142450186847782e-08,1.4915117674263456e-07
1931,7.299428261831054e-08,1.3344266847070685e-07
1932,5.150982218538047e-08,1.512416076820955e-07
1933,4.932384811695556e-08,1.1355955820135932e-07
1934,5.511526879331541e-08,1.1981580883002607e-07
1935,5.0266791618014395e-08,1.8909888410689746e-07
1936,1.0063513400382362e-07,2.0854508875345346e-07
1937,7.051026074123001e-08,1.561298716978854e-07
1938,7.001215607260747e-08,1.1150084588962272e-07
1939,8.411727492330101e-08,1.7435218069294933e-07
1940,7.353770570261986e-08,2.2061311710785958e-07
1941,6.198155233505531e-08,1.269146139293298e-07
1942,8.49579322448335e-08,2.3666851234338537e-07
1943,6.967764676346633e-08,1.82903818313207e-07
1944,6.7476911169706e-08,2.0243072640369064e-07
1945,6.317661416233022e-08,1.285317381416462e-07
1946,8.631084824628488e-08,1.238978342144037e-07
1947,9.536697120893223e-08,1.2040079866437736e-07
1948,6.19697573256417e-08,1.4350891319736547e-07
1949,6.47922533403289e-08,1.1093219143276656e-07
1950,6.274863295629984e-08,1.3613262694889272e-07
