year,grand_ADJ axe_NOUN
1800,1.4840455833109445e-06
1801,1.0667697551980382e-06
1802,1.3964122445031535e-06
1803,1.3379327583606937e-06
1804,6.995338139859086e-07
1805,2.319788109161891e-06
1806,1.2765793826474692e-06
1807,8.113822218547284e-07
1808,1.4412230484595057e-06
1809,2.3855361632740824e-06
1810,2.6700845410232432e-06
1811,3.735544396477053e-06
1812,1.5309775562855066e-06
1813,4.028914190712385e-06
1814,3.816919161181431e-06
1815,1.6021507462937734e-06
1816,1.3326222187970416e-06
1817,1.0072971008412424e-06
1818,6.389751092683582e-07
1819,8.053116857809073e-07
1820,6.194302955009334e-07
1821,4.6644839812870487e-07
1822,1.0155948757528677e-06
1823,6.107500780672126e-07
1824,7.966372663759103e-07
1825,1.2283593378015212e-06
1826,1.2630649735001498e-06
1827,1.5116328313524718e-06
1828,8.291760309475649e-07
1829,1.481444769524387e-06
1830,1.2879055475423229e-06
1831,7.156363608373795e-07
1832,7.387363325506158e-07
1833,1.011250787996687e-06
1834,1.6858163007782423e-06
1835,1.571609686834563e-06
1836,7.957368097777362e-07
1837,1.2169351748525514e-06
1838,8.679222673890763e-07
1839,8.501633601554204e-07
1840,1.054183485393878e-06
1841,9.02729141216696e-07
1842,9.78735897660954e-07
1843,1.601363578629389e-06
1844,1.2991424682695651e-06
1845,1.556325628371269e-06
1846,1.800259155970707e-06
1847,1.8428645489620976e-06
1848,3.7345919281506212e-06
1849,1.227584334628773e-06
1850,1.2057256526532e-06
1851,1.4736967841599835e-06
1852,1.2773690514222835e-06
1853,1.8315914758204599e-06
1854,1.4599817177440855e-06
1855,2.1211826606304385e-06
1856,1.7586911553735263e-06
1857,2.574507789177005e-06
1858,1.6804883671284188e-06
1859,1.4064582956052618e-06
1860,1.4953659501770744e-06
1861,1.2379405234241858e-06
1862,1.3034390349275782e-06
1863,1.1607498890953138e-06
1864,1.5860960047575645e-06
1865,1.5593775515299058e-06
1866,1.596894207978039e-06
1867,2.3667162167839706e-06
1868,1.7205580888912664e-06
1869,1.8337614164920524e-06
1870,2.149121428374201e-06
1871,1.8990665466844803e-06
1872,1.8541142026151647e-06
1873,3.219871814508224e-06
1874,2.5858107619569637e-06
1875,2.169603021684452e-06
1876,2.359154905207106e-06
1877,2.716989683904103e-06
1878,2.269489414175041e-06
1879,2.0008039882668527e-06
1880,2.0915761069772998e-06
1881,1.9934398096665973e-06
1882,2.2575065941055072e-06
1883,2.178276190534234e-06
1884,2.5390127120772377e-06
1885,2.3236516426550224e-06
1886,2.1632010884786723e-06
1887,1.8502972807254991e-06
1888,2.491227405698737e-06
1889,2.024265768341138e-06
1890,2.1740900137956487e-06
1891,2.3348768536379794e-06
1892,2.1287867184582865e-06
1893,2.43688532464148e-06
1894,2.201757752118283e-06
1895,1.989753855013987e-06
1896,2.5298254513472784e-06
1897,2.1011128410464153e-06
1898,2.371416485402733e-06
1899,2.0579175270540873e-06
1900,2.372311200815602e-06
1901,2.4976075110316742e-06
1902,2.5867375370580703e-06
1903,2.24541167881398e-06
1904,2.6174425329372752e-06
1905,2.1164273675822187e-06
1906,2.1235193798929686e-06
1907,2.2921653908269946e-06
1908,1.8982518668053672e-06
1909,2.2845583771413658e-06
1910,2.4059365841822e-06
1911,2.404809038125677e-06
1912,2.4562421003793133e-06
1913,2.4589962777099572e-06
1914,2.380022806391935e-06
1915,1.913195774250198e-06
1916,1.8206225149697275e-06
1917,1.4409881714527728e-06
1918,1.7689019387034932e-06
1919,2.120567387464689e-06
1920,2.2436522613134002e-06
1921,2.3263480670721037e-06
1922,2.063608462776756e-06
1923,2.237841954411124e-06
1924,2.3862396574259037e-06
1925,1.7795051689972752e-06
1926,1.8101328578268294e-06
1927,1.913206915560295e-06
1928,1.76418075170659e-06
1929,1.9027813777938718e-06
1930,1.9284616428194568e-06
1931,1.9309268282086123e-06
1932,1.7754449572748854e-06
1933,1.7492759525339352e-06
1934,1.657052507653134e-06
1935,1.8000299633058603e-06
1936,1.7641459635342471e-06
1937,1.823193883865315e-06
1938,1.8008682900472195e-06
1939,1.7358747754769865e-06
1940,2.0666630007326603e-06
1941,2.325783952983329e-06
1942,2.233179884569836e-06
1943,1.8609737253427738e-06
1944,2.03394688469416e-06
1945,1.790730379980232e-06
1946,1.710903688945109e-06
1947,1.4412332802749006e-06
1948,2.238521801700699e-06
1949,1.7641164049564395e-06
1950,1.8877766478908597e-06
1951,2.367897423027898e-06
1952,2.2133542643132387e-06
1953,1.8444792431182577e-06
1954,1.803032887437439e-06
1955,1.965346200449858e-06
1956,1.5732939573354088e-06
1957,1.5814717926332378e-06
1958,2.040762410615571e-06
1959,1.491243892814964e-06
1960,1.663768330217863e-06
1961,1.9600756786530837e-06
1962,1.465626155550126e-06
1963,1.8622233710630098e-06
1964,1.4236485412766342e-06
1965,1.6399714013459743e-06
1966,1.6761240431151236e-06
1967,1.4352207244883175e-06
1968,1.333950535808981e-06
1969,1.1349852684361394e-06
1970,1.0324138202122413e-06
1971,1.6144845176313538e-06
1972,1.264581214854843e-06
1973,1.3777496405964484e-06
1974,1.1689937764458591e-06
1975,1.1714246284100227e-06
1976,1.1638454679996357e-06
1977,1.0331382327422034e-06
1978,1.0906925353992847e-06
1979,1.0258509064442478e-06
1980,1.0779045851450064e-06
1981,9.026559268932033e-07
1982,9.336083621747093e-07
1983,8.576199093113246e-07
1984,8.112812679428316e-07
1985,8.235298878389585e-07
1986,8.068577699305024e-07
1987,8.26793495889433e-07
1988,9.264675782105769e-07
1989,6.382686024153372e-07
1990,7.753430395496252e-07
1991,6.330382689156977e-07
1992,6.600913025067712e-07
1993,6.541803827531112e-07
1994,5.96594190938049e-07
1995,4.5223239908409596e-07
1996,5.669053848578187e-07
1997,5.312742814567173e-07
1998,4.0767505993244413e-07
1999,4.5062182607580326e-07
2000,4.210384076941409e-07
2001,4.6265597575256834e-07
2002,6.19066611307062e-07
2003,4.5836151230105315e-07
2004,4.166932399130019e-07
2005,4.994658411305863e-07
2006,4.2208372974528174e-07
