year,aurait_VERB été_VERB,aurait_VERB eté_VERB,aurait_VERB fêté_VERB
1800,8.765930942900013e-06,0.0,0.0
1801,6.948290774744237e-06,2.3811825400343878e-08,0.0
1802,8.13902443042025e-06,1.1189200677108602e-08,0.0
1803,7.93007893662434e-06,1.950339223455444e-09,0.0
1804,1.3961013792140875e-05,2.9662210465630778e-08,0.0
1805,9.887528904073406e-06,2.55858996212055e-08,0.0
1806,9.826491805142723e-06,2.881669125542885e-09,0.0
1807,1.781909122655634e-05,2.562259560079383e-08,0.0
1808,1.2986870387976523e-05,6.571614363792833e-08,0.0
1809,1.3063973710814025e-05,6.325285539787728e-08,0.0
1810,1.704314308881294e-05,2.3401266702194334e-08,0.0
1811,1.569179403304588e-05,3.008491944456182e-08,0.0
1812,2.218050394731108e-05,2.9339290108509886e-08,0.0
1813,1.8206319509772584e-05,3.163315653864629e-08,0.0
1814,1.4518768693960737e-05,6.293354282149721e-09,0.0
1815,1.5509034710703418e-05,4.8550024445148665e-08,0.0
1816,1.3812918950861786e-05,6.952811659743929e-09,0.0
1817,1.4057010048418306e-05,3.269434145636296e-08,0.0
1818,1.4728614587511402e-05,1.7881765401739358e-08,0.0
1819,1.468399932491593e-05,2.173720581311045e-08,0.0
1820,1.571122083987575e-05,1.3053129244156025e-08,0.0
1821,1.750315641402267e-05,1.7750679148775816e-08,0.0
1822,1.8349885067436844e-05,1.1028177482330648e-08,3.0076847679083585e-09
1823,1.626393714104779e-05,4.941343334508019e-09,0.0
1824,1.6165167835424654e-05,1.0947446504872005e-08,0.0
1825,1.760648410709109e-05,3.3460683113162304e-08,0.0
1826,1.762565807439387e-05,5.989429041619587e-08,0.0
1827,2.3627557311556302e-05,1.0415518403306123e-07,0.0
1828,2.3081178369466215e-05,9.355747465633613e-08,0.0
1829,2.4514996766811237e-05,3.429270378774163e-08,8.573175946935407e-09
1830,2.3075843273545615e-05,3.965997663613052e-08,2.0873671680021744e-09
1831,2.6600157070788555e-05,2.9623292263636358e-08,0.0
1832,2.4979030058602802e-05,2.3000948701223933e-08,0.0
1833,2.3876174964243546e-05,2.548398292390175e-08,2.3167257001688313e-09
1834,2.174198925786186e-05,2.333632664885954e-08,0.0
1835,2.3593809601152316e-05,2.4201881387853064e-08,0.0
1836,2.231221878901124e-05,1.344150035720304e-08,0.0
1837,1.866662933025509e-05,1.461157062010443e-08,0.0
1838,1.9596107449615374e-05,2.209256599883247e-08,0.0
1839,2.125128776242491e-05,1.8876983531868063e-08,0.0
1840,2.1510439182748087e-05,1.9746034141121527e-08,0.0
1841,2.2574005924980156e-05,2.3113974734201292e-08,0.0
1842,2.1630799892591313e-05,2.817471411731276e-08,2.683306021822318e-09
1843,2.1740976080764085e-05,2.0674189471492355e-08,0.0
