year,tout_ADV in_ADJ,tout_ADV fine_ADJ
1800,9.432493452976587e-09,0.0
1801,3.5717739876872656e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,3.900678446910888e-09,0.0
1804,7.4155526164076946e-09,2.4718509461507665e-09
1805,2.55858996212055e-08,0.0
1806,1.152667650217154e-08,8.645007376628655e-09
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,1.8128591960930862e-08,0.0
1809,4.518061036407062e-09,2.259030518203531e-09
1810,3.2761775514700275e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,8.00162425207418e-09,0.0
1813,1.4378708002027452e-08,0.0
1814,9.440030979135372e-09,0.0
1815,8.091670666843243e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,9.341240669868967e-09,0.0
1818,5.9605886892910576e-09,0.0
1819,1.449147024601416e-08,0.0
1820,1.0679833017945839e-08,0.0
1821,1.1833785507064931e-08,0.0
1822,1.2030739071633434e-08,0.0
1823,1.1859224047228167e-08,0.0
1824,1.7684336661716316e-08,2.7789671008804362e-08
1825,8.805443263426582e-09,0.0
1826,1.0569580766173203e-08,0.0
1827,9.217273055917019e-09,0.0
1828,4.586150570418113e-09,0.0
1829,6.858540846366168e-09,0.0
1830,1.3567886369969528e-08,0.0
1831,2.6505049710578987e-08,0.0
1832,9.470978667991403e-09,0.0
1833,4.6334514003376626e-09,0.0
1834,1.4001795944906803e-08,9.334531370086552e-09
1835,1.3613558280667348e-08,0.0
1836,1.8146025460019644e-08,0.0
1837,1.6003149028165353e-08,0.0
1838,1.009945904684173e-08,0.0
1839,1.0487212875887053e-08,2.0974426639952526e-09
1840,1.528725279698051e-08,0.0
1841,2.3113974734201292e-08,6.420548537278137e-10
1842,8.720745015011744e-09,6.708265054555795e-10
1843,1.0632439872981791e-08,5.906911071384968e-10
1844,7.135129487245706e-09,5.488561272137815e-10
1845,7.812318791877715e-09,0.0
1846,8.781752214304106e-09,0.0
1847,1.4022381478184798e-08,0.0
1848,8.84974404868899e-09,0.0
1849,7.541473445726865e-09,0.0
1850,1.1541293254424545e-08,0.0
1851,1.096404611544699e-08,0.0
1852,5.859490892490271e-09,0.0
1853,2.448492031348337e-08,2.388772735173461e-09
1854,1.3508727303435109e-08,0.0
1855,3.131092896069276e-08,1.0613874223963649e-09
1856,2.795682235712249e-08,6.73034605824796e-09
1857,2.29430919262974e-08,4.881509085841174e-10
1858,6.361778603913848e-09,0.0
1859,1.4767302713991626e-08,5.092173349652285e-10
1860,1.098524138321011e-08,4.577183909670879e-10
1861,3.725611313898369e-08,0.0
1862,1.4909354861813995e-08,0.0
1863,2.1476870337711063e-08,0.0
1864,1.1507346853179001e-08,4.794727948009836e-10
1865,1.6473954644879996e-08,1.4120533631256649e-09
1866,1.0217787504984699e-08,0.0
1867,1.0190904120577216e-08,1.455843445796745e-09
1868,1.1361710461343932e-08,4.93987406535723e-10
1869,9.767038733343725e-09,1.4650557433881772e-09
1870,1.548193218070537e-08,0.0
