year,seront_VERB au_ADP,seront_VERB faux_ADJ
1800,8.457802707084738e-07,2.829747991484055e-08
1801,6.6196873871327e-07,2.6193008650921e-08
1802,8.123359691580845e-07,1.7902721083373763e-08
1803,5.753500573746351e-07,0.0
1804,7.613301189479671e-07,0.0
1805,7.505196961687943e-07,0.0
1806,1.6108530047631575e-06,5.76333825108577e-09
1807,1.053373374304556e-06,0.0
1808,1.0582565792560672e-06,9.064295980465431e-09
1809,9.646060448176286e-07,2.259030518203531e-09
1810,1.0975194300044677e-06,0.0
1811,1.574444240759476e-06,5.0141535368197765e-09
1812,1.1042241965242283e-06,0.0
1813,9.029828760276359e-07,0.0
1814,8.33869467697923e-07,0.0
1815,7.255531566663365e-07,0.0
1816,8.760542904440172e-07,2.3176038865813098e-09
1817,9.216690628477409e-07,6.227493631882908e-09
1818,1.0037631525960933e-06,8.344824387052086e-09
1819,9.005413694751496e-07,2.070210003424222e-09
1820,6.585896770161526e-07,4.746592452420373e-09
1821,7.287639789410605e-07,1.2819934447350079e-08
1822,6.346214718178089e-07,1.804610860745015e-08
1823,6.670813652576157e-07,1.581229902569703e-08
1824,7.157945844937785e-07,1.6842225392110777e-08
1825,7.599097529009669e-07,2.641632912414593e-09
1826,9.87375031513693e-07,2.642395191543301e-09
1827,1.2535491293874657e-06,6.452091305675367e-09
1828,7.796455934183655e-07,9.172301251858528e-10
1829,9.610530575798748e-07,8.57317605795771e-10
1830,1.0645572672274284e-06,2.0873671680021744e-09
1831,7.265501764663895e-07,0.0
1832,8.266811093449178e-07,0.0
1833,7.992703601189532e-07,4.6334514003376626e-09
1834,1.2452264002149604e-06,9.334530925997342e-10
1835,8.65217259615747e-07,7.563087933704082e-09
1836,1.045748742711794e-06,5.376600054063374e-09
1837,7.222290658859265e-07,2.2961039292113128e-08
1838,7.372605033140189e-07,6.312161904276081e-10
1839,7.466895617369573e-07,4.894032734625853e-09
1840,7.981220022656998e-07,5.732719632334238e-09
1841,7.916536368668403e-07,1.3483152372373297e-08
1842,6.091104403083136e-07,2.683306021822318e-09
1843,7.389545828573318e-07,1.0041748765843295e-08
1844,7.157084134234992e-07,1.3721403568922597e-08
1845,6.740915603486997e-07,5.580227946389016e-10
1846,6.60387765805126e-07,0.0
1847,8.246238678566442e-07,3.775256551818984e-09
1848,8.39921169060176e-07,8.045221711050488e-10
1849,7.734199769515726e-07,1.6758829879393033e-09
1850,8.126428454602319e-07,1.3577992064028876e-09
1851,7.287865742000577e-07,4.514607354622058e-09
1852,7.363426881568103e-07,1.1067927019325907e-08
1853,6.354135209107881e-07,1.7915795513800958e-09
1854,6.281558491139094e-07,7.79349651480743e-09
1855,5.869472730068992e-07,7.429711956774554e-09
1856,6.404182997243879e-07,1.0354378687793542e-08
1857,4.852220030215904e-07,3.905207268672939e-09
1858,5.241126856958545e-07,3.4255731584664773e-09
1859,5.418072217544534e-07,1.5276520048956854e-09
1860,5.620782044246653e-07,1.0985241161165504e-08
1861,6.159048577814019e-07,4.2443675241088386e-09
1862,5.611339028988027e-07,1.3553959066214816e-09
1863,5.828722642320372e-07,9.989241656072068e-10
1864,5.734494781250987e-07,9.589455896019672e-10
1865,4.862170071007199e-07,1.3179164426446732e-08
1866,4.602869778658203e-07,5.352174259343201e-09
1867,5.808815615182539e-07,2.426405742994575e-09
1868,6.056285695166252e-07,2.4699371437009177e-09
1869,5.718600997184353e-07,4.883519366671862e-09
1870,5.11477166398322e-07,1.1468097582678638e-09
1871,5.246861656260648e-07,0.0
1872,4.71692465087159e-07,0.0
1873,4.920495628724098e-07,2.3944017879529156e-09
1874,5.17998590687796e-07,2.9873046258899194e-09
1875,5.286690818451234e-07,1.94531928343622e-08
1876,5.858588156826272e-07,1.209202959984168e-09
1877,5.257093853572314e-07,5.566334504436554e-09
1878,5.57407863865933e-07,2.4156354694326865e-09
1879,6.549196776006738e-07,6.10932526790009e-10
1880,8.137829095034022e-07,6.417846254436199e-10
1881,5.626813486259152e-07,1.3945015142624584e-09
1882,5.770218951539619e-07,0.0
1883,5.188177549797501e-07,6.319338941018771e-10
1884,5.789688088952971e-07,0.0
1885,5.485236167501739e-07,1.933690763067375e-09
1886,5.730676040371918e-07,0.0
1887,7.16223046204334e-07,6.528924623161458e-10
1888,7.171235374414664e-07,3.1703073499755874e-09
1889,5.801516858028322e-07,9.397704836544563e-09
1890,5.715425102081895e-07,3.2771931834929546e-09
1891,6.393342584232187e-07,7.649063604731055e-09
1892,5.754494292187218e-07,5.641661360300532e-09
1893,5.813545289612421e-07,0.0
1894,6.654425419583276e-07,1.8904617871129403e-09
1895,5.681572239346622e-07,6.018614495673091e-10
1896,6.309820754779594e-07,2.358811590497112e-09
1897,6.694893750491815e-07,1.1653427112179315e-09
1898,6.111023433952312e-07,7.355861253444118e-09
1899,6.489376929152968e-07,1.6582735185011188e-09
1900,5.938564622276488e-07,1.5573159428683425e-09
1901,7.052988668654336e-07,5.588738916095792e-10
1902,5.808865979339828e-07,2.9461704187383475e-09
1903,6.042846241172128e-07,0.0
1904,6.008831148207605e-07,5.912087708281888e-09
1905,6.301286967769215e-07,2.580379465655369e-09
1906,6.064993760546145e-07,1.0288369045596824e-09
1907,6.474839575609792e-07,1.028568674676933e-09
1908,6.561615935041232e-07,5.40252820258047e-09
1909,5.462476444506592e-07,2.2003934230241384e-09
1910,6.669500089984126e-07,1.068830135508847e-09
1911,6.379128483224861e-07,1.5961122423746588e-09
1912,5.923111845440587e-07,3.125652625612929e-09
1913,5.827985916084799e-07,4.242391771214216e-09
1914,6.140914075025705e-07,7.366418142140674e-09
1915,7.292291659410921e-07,1.5314990164938536e-08
1916,6.021129355104904e-07,1.2086208478478966e-08
1917,4.2549726586571524e-07,3.289927441585405e-09
1918,5.226301080796247e-07,0.0
1919,6.123218905806915e-07,1.8415696745321952e-09
1920,6.868013908700732e-07,3.028892692213958e-09
1921,5.853733973104625e-07,7.572747429129834e-10
1922,5.762167809564289e-07,6.640141769764796e-09
1923,5.276126202602427e-07,0.0
1924,5.014842079376081e-07,0.0
1925,4.4762584217039603e-07,5.499089184013428e-09
1926,4.2578249992430983e-07,1.1146138456652466e-09
1927,4.939106346135702e-07,4.4596899506643695e-09
1928,4.741807244634799e-07,3.4278122562625413e-09
1929,5.091165695692013e-07,5.570202965543558e-09
1930,3.949354923094006e-07,2.100720708497761e-09
1931,4.413873071484886e-07,1.0264820993199919e-08
1932,4.493410008521437e-07,3.287861094491973e-09
1933,4.6112061835579254e-07,3.4411986593596566e-09
1934,3.9898662507198424e-07,1.1981580172459871e-09
1935,4.212836106631812e-07,2.393656828303392e-09
1936,3.95265693509117e-07,6.0623572828433225e-09
1937,4.4698470835768944e-07,2.5182236296217297e-09
1938,3.4098514711811134e-07,0.0
1939,3.3646910857498824e-07,1.5294050470515685e-09
1940,3.955821217260791e-07,0.0
1941,3.8664684076650246e-07,0.0
1942,3.5196856629227113e-07,3.034211770724937e-09
1943,4.877435069161606e-07,8.709705845433291e-09
1944,3.4702409656972577e-07,6.4263723231761105e-09
1945,4.531288282372259e-07,6.535512131478072e-09
1946,3.563802710715436e-07,2.7842208538686464e-09
1947,4.17230495930454e-07,4.7683483828109274e-09
1948,4.044342207798479e-07,1.195907639583993e-08
1949,4.378385685122055e-07,9.817008317369869e-10
1950,3.616022867802826e-07,0.0
1951,3.731490698655193e-07,8.529121409139861e-09
1952,3.564143753465032e-07,8.435843135146115e-09
1953,2.8873856505740036e-07,1.0773827385790469e-09
1954,3.5962932853905727e-07,0.0
1955,3.3788188602557057e-07,1.220129064449793e-08
1956,3.671600476984338e-07,3.488456634670456e-09
1957,4.170137679615493e-07,2.6505113659425206e-09
1958,3.5157034528054965e-07,8.272243445794913e-10
1959,3.9606321600160754e-07,2.325224457422337e-09
1960,3.5019415683956723e-07,6.920833350854139e-10
1961,3.4393388115283585e-07,2.779263708063695e-09
1962,3.4246565983053756e-07,3.170978146727066e-09
1963,3.653319993190962e-07,2.5864212993553792e-09
1964,4.015419125535935e-07,7.909158661334459e-09
1965,4.2353616791501736e-07,3.2832261354087677e-09
1966,3.9992120037801726e-07,3.8773522170743036e-09
1967,4.1513424786643327e-07,3.944268467392931e-09
1968,3.961428877985451e-07,2.6948494546985557e-09
1969,6.771760698853768e-07,5.904285060864822e-09
1970,4.948228216061779e-07,7.3579600190498695e-09
1971,4.264869951642325e-07,1.541519245584766e-09
1972,4.5196593689844633e-07,2.565073486948677e-09
1973,4.454668558473429e-07,1.102640756478479e-09
1974,4.067288337239461e-07,3.937900228123681e-09
1975,4.186514894755078e-07,2.8557400888473694e-09
1976,3.9023388054282293e-07,1.7140580066410394e-09
1977,4.419339966199587e-07,2.3507127355770763e-09
1978,3.5643548124131286e-07,2.970295565063452e-09
1979,4.143197145367594e-07,1.7555920051037788e-09
1980,4.0250867305857696e-07,4.548120546843393e-09
1981,4.257094927684335e-07,3.795329828193417e-09
1982,4.2459314619769373e-07,5.586751949948621e-09
1983,4.168108538316062e-07,3.157658134966823e-09
1984,3.618581214670513e-07,3.479405208395292e-09
1985,4.018392897320311e-07,6.015558051686298e-10
1986,4.196139935519483e-07,1.1988970927134801e-09
1987,3.9720308819823913e-07,6.110816852533674e-10
1988,4.281539385253552e-07,1.798966087207532e-09
1989,4.884428919105233e-07,2.7440609784434855e-09
1990,4.1682178819613114e-07,2.179460389939436e-09
1991,4.1030257291740924e-07,4.10302547493302e-09
1992,4.1434779407545363e-07,4.4079553340736766e-09
1993,4.387052219279042e-07,2.2156829704300662e-09
1994,3.908720596079718e-07,6.329911705904578e-09
1995,4.09937279233219e-07,1.0844901643380922e-09
1996,4.2064167549149545e-07,1.6014276571496566e-09
1997,4.3873284516493527e-07,1.438468344439059e-09
1998,4.291316262339251e-07,1.9072516899143466e-09
1999,4.359971983447508e-07,3.1991407301035224e-09
2000,4.608006944906151e-07,2.6508188977203417e-09
2001,4.017571226810901e-07,2.190605918883648e-09
2002,4.1227295655144047e-07,4.81934359086722e-09
2003,4.1252537164027103e-07,3.333538334260311e-09
2004,4.290266680806454e-07,0.0
2005,4.2335245553637435e-07,2.251874686720612e-09
2006,4.241426747597643e-07,4.117890028965121e-09
2007,4.2061868299470007e-07,3.1955835755326234e-09
2008,4.053082459654078e-07,2.554463751636149e-09
2009,4.4391872267013355e-07,6.198650481792356e-09
2010,4.2561374496985493e-07,1.4171379625338432e-09
2011,4.936747717287915e-07,5.353560705856353e-09
2012,4.847655915574123e-07,3.744677901096338e-09
2013,4.130694095660914e-07,2.5102124823206395e-09
2014,4.0840296736122106e-07,2.5985342766432495e-09
2015,4.1073143181025173e-07,3.768178213903184e-09
2016,4.250389633586593e-07,3.935546111222266e-09
2017,6.180856969573156e-07,2.7671724911471074e-09
2018,4.349771452472062e-07,1.8070267504555204e-09
2019,3.7652578982472207e-07,5.867272001580659e-09
