year,soit_VERB utile_ADJ,soit_VERB futile_ADJ
1800,6.03679609412211e-07,0.0
1801,6.85780605635955e-07,1.1905912700171939e-08
1802,6.691142289128038e-07,0.0
1803,6.299595725067775e-07,0.0
1804,9.318878255726304e-07,0.0
1805,5.543611791836156e-07,0.0
1806,7.146539360292081e-07,0.0
1807,5.409214622886793e-07,0.0
1808,4.260218986473774e-07,0.0
1809,4.631012586742145e-07,0.0
1810,7.184189030340349e-07,0.0
1811,6.56854126646067e-07,0.0
1812,3.7340916492212273e-07,0.0
1813,5.578938839789771e-07,0.0
1814,4.971749945070769e-07,3.1466771410748606e-09
1815,4.720141362213326e-07,2.697223555614414e-09
1816,5.678129468833504e-07,2.3176038865813098e-09
1817,5.635881734633585e-07,1.556873407970727e-09
1818,6.270539074648696e-07,0.0
1819,5.061663728156418e-07,0.0
1820,7.191087547653296e-07,2.3732962262101864e-09
1821,6.409967454601428e-07,0.0
1822,6.817418807258946e-07,0.0
1823,5.563952640841308e-07,0.0
1824,5.667408800036355e-07,1.6842225392110777e-09
1825,4.6492738192682737e-07,0.0
1826,5.284790631776559e-07,1.4973572604048968e-08
1827,5.733143666475371e-07,0.0
1828,5.595103971245408e-07,0.0
1829,6.095528419791663e-07,2.571952872898464e-09
1830,6.376906753757794e-07,3.1310507520032616e-09
1831,4.770909072249196e-07,0.0
1832,5.885536893401877e-07,1.3529969367098715e-09
1833,6.266743071137171e-07,0.0
1834,6.524837203869538e-07,1.8669061851994684e-09
1835,6.201731821420253e-07,6.806779140333674e-09
1836,7.056787580950186e-07,8.064899859050456e-09
1837,5.211460347709362e-07,3.478945576063097e-09
1838,5.750379727942345e-07,4.418513555037862e-09
1839,6.900585844960005e-07,4.894032734625853e-09
1840,5.643544227496022e-07,1.2739377330817092e-09
1841,5.386840484788991e-07,0.0
1842,5.353195433599467e-07,1.341653010911159e-09
1843,5.682448431798548e-07,1.7720733769266417e-09
1844,5.861783165528323e-07,2.195424508855126e-09
1845,6.026646133250324e-07,0.0
1846,5.526649147213902e-07,5.854501328173001e-10
1847,5.840861376782414e-07,1.6179670936367074e-09
1848,6.774076837245957e-07,0.0
1849,5.572310897150601e-07,0.0
1850,5.865692855877569e-07,2.0366988096043315e-09
1851,5.50137144728069e-07,6.449438760824933e-10
1852,5.937617402196338e-07,3.906327261660181e-09
1853,6.348163310576638e-07,0.0
1854,5.62170896500902e-07,5.195664454227256e-10
1855,4.786857061844785e-07,0.0
1856,5.27037855135859e-07,0.0
1857,5.39894926987472e-07,2.4407544874094356e-09
1858,5.050273443885089e-07,1.468102750479261e-09
1859,5.805077876175346e-07,3.055304009791371e-09
1860,5.492620971381257e-07,9.154367819341758e-10
1861,5.461085947899846e-07,3.772770984511453e-09
1862,5.430619580693019e-07,4.517986262886353e-10
1863,5.97356631715229e-07,2.9967726078439227e-09
1864,6.185198913044587e-07,0.0
1865,6.759028678970935e-07,4.706844358715045e-10
1866,5.488411147780425e-07,1.4596839292835284e-09
1867,5.871901862519735e-07,1.94112459439566e-09
1868,4.98927306580299e-07,2.4699371437009177e-09
1869,6.138583330539404e-07,1.953407657850903e-09
1870,6.703103281324729e-07,0.0
1871,4.94946846174571e-07,1.0621177271019633e-09
1872,5.406321292866778e-07,1.8142017887967654e-09
1873,5.950088279860211e-07,0.0
1874,6.213593337633938e-07,1.1949218281515073e-09
1875,4.977728735866549e-07,2.8607636259891933e-09
1876,5.024238021178462e-07,1.209202959984168e-09
1877,5.634367425955134e-07,0.0
1878,5.326476184563944e-07,1.2078177347163432e-09
1879,4.985209329788631e-07,3.0546627449723474e-09
1880,5.660540409735404e-07,1.9253538763308597e-09
1881,5.578006039286265e-07,0.0
1882,6.15623150679312e-07,6.655385131892899e-10
1883,5.194496566218731e-07,6.319338941018771e-10
1884,5.367179483073414e-07,0.0
1885,5.588366320807836e-07,1.2891271383708158e-09
1886,5.56288568986929e-07,0.0
1887,5.575701607085648e-07,1.3057849246322917e-09
1888,6.391339866240742e-07,0.0
1889,6.233810836420162e-07,0.0
1890,5.492576065080357e-07,0.0
1891,5.68580446724809e-07,0.0
1892,6.907900456099014e-07,1.8805537127519756e-09
1893,5.234654167907138e-07,0.0
1894,5.936050229138345e-07,0.0
1895,5.32647391082719e-07,6.018614495673091e-10
1896,6.457246968238906e-07,1.179405795248556e-09
1897,6.077262355574931e-07,5.826713556089658e-10
1898,6.320382226476795e-07,0.0
1899,6.439628918997187e-07,0.0
