year,étaient_VERB aux_ADP,étaient_VERB faux_ADJ,etaient_VERB aux_ADP
1800,3.2699310281714133e-07,1.8864987794131594e-08,0.0
1801,3.786080355894228e-07,3.333655484993869e-08,0.0
1802,2.0811913259422e-07,4.0281122437590966e-08,0.0
1803,3.725147905697668e-07,3.705644502360883e-08,1.950339223455444e-09
1804,3.1392505661642645e-07,7.662737999680758e-08,0.0
1805,3.695741099818406e-07,2.2743022043414385e-07,0.0
1806,5.014104544898146e-07,9.221341201737232e-08,2.881669125542885e-09
1807,3.814919864453259e-07,1.4234775846944103e-07,2.8469551160981155e-09
1808,3.036539055756293e-07,6.118399653587403e-08,0.0
1809,5.918660122006258e-07,6.09938268780752e-08,0.0
1810,2.92515835553786e-07,5.148278958699848e-08,0.0
1811,4.211889006455749e-07,1.4791753244480788e-07,0.0
1812,5.067695383331738e-07,9.601949813031752e-08,0.0
1813,5.003790306545852e-07,1.121539270343419e-07,2.8757416448144113e-09
1814,5.915753149565717e-07,4.090680150170556e-08,0.0
1815,6.608197509194724e-07,5.933891955578474e-08,0.0
1816,4.7279118575715984e-07,7.416332437060191e-08,0.0
1817,5.386781936067564e-07,7.005930058312515e-08,3.113746815941454e-09
1818,6.425514698094048e-07,1.0848271614349869e-07,2.384235475716423e-09
1819,6.58326769098494e-07,9.315944993204539e-08,1.035105001712111e-09
1820,8.199738203984452e-07,1.5307760747873544e-07,1.1866481131050932e-09
1821,6.755119557055878e-07,9.960103142248045e-08,3.94459531705138e-09
1822,6.266009791033866e-07,1.223125138949399e-07,0.0
1823,8.469462500215741e-07,1.363810753218786e-07,9.882686891060644e-10
1824,8.176900223588746e-07,1.1621135342920752e-07,2.5263338088166165e-09
1825,7.211658044070646e-07,1.4440927031955653e-07,0.0
1826,6.491484327852959e-07,1.1714619319036501e-07,0.0
1827,7.180255465755181e-07,1.705195558088235e-07,9.217273055917019e-10
1828,7.071844265738036e-07,1.2199160437376122e-07,2.7516904310687096e-09
1829,6.644211225648178e-07,1.2602568233432976e-07,2.571952872898464e-09
1830,7.911121429060586e-07,1.6490200493990415e-07,4.174734336004349e-09
1831,6.704218549202778e-07,1.0602020239502963e-07,0.0
1832,6.507915486508864e-07,1.0282776941039629e-07,2.705993873419743e-09
1833,7.031262612144928e-07,7.066013552048389e-08,1.1583628500844156e-09
1834,6.571509629793582e-07,1.521528503189984e-07,0.0
1835,7.487457196475589e-07,1.232783404248039e-07,3.781543966852041e-09
1836,7.325617730202794e-07,8.199315004731034e-08,5.376600054063374e-09
1837,7.493648581657908e-07,7.653680000885288e-08,0.0
1838,8.515106628692592e-07,1.1929985532788123e-07,0.0
