year,excellent_ADJ air_NOUN,excellent_ADJ fer_NOUN
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,2.3811825844433088e-09,7.143547975374531e-09
1802,0.0,1.7902721083373763e-08
1803,3.900678446910888e-09,2.9255089017965474e-08
1804,2.4718509461507665e-09,2.4718509461507665e-09
1805,1.1371510844071508e-08,1.1371510844071508e-08
1806,0.0,1.4408345627714425e-08
1807,0.0,3.131650672116848e-08
1808,0.0,3.852325747288887e-08
1809,0.0,0.0
1810,4.680253518074551e-09,3.042164919975221e-08
1811,0.0,1.0028307073639553e-08
1812,2.1337665856435706e-08,6.13457871168066e-08
1813,0.0,1.1502966579257645e-08
1814,0.0,6.293354282149721e-09
1815,1.0788894222457657e-08,1.0788894222457657e-08
1816,0.0,9.270415546325239e-09
1817,0.0,3.269434145636296e-08
1818,2.384235475716423e-09,1.7881765401739358e-08
1819,1.035105001712111e-09,2.070209959015301e-08
1820,5.933240565525466e-09,2.3732962262101864e-09
1821,9.86148829262845e-10,6.903041693817613e-09
1822,0.0,3.0076847679083585e-09
1823,3.9530747564242574e-09,1.9765373782121287e-09
1824,6.736890156844311e-09,1.0105335235266466e-08
1825,1.7610886970942374e-08,8.805443041381977e-10
1826,2.642395191543301e-09,7.927186018719112e-09
1827,0.0,9.217273166939322e-09
1828,0.0,0.0
1829,7.715858174606183e-09,2.1432940755516938e-08
1830,2.0873671680021744e-09,2.2961039292113128e-08
1831,1.5591206103948707e-09,1.7150327380477393e-08
1832,1.488296597074168e-08,3.788391467196561e-08
1833,1.1583628500844156e-09,1.1583628500844156e-09
1834,0.0,2.8003592777992026e-09
1835,0.0,1.1344631900556124e-08
1836,4.032449929525228e-09,4.032449929525228e-09
1837,0.0,6.957891152126194e-09
1838,2.5248647617104325e-09,7.574594285131298e-09
1839,4.194885327990505e-09,9.088918062616358e-09
1840,0.0,5.095750932326837e-09
1841,1.2841097074556274e-09,1.926164561183441e-09
1842,1.2745703159566801e-08,4.695785538189057e-09
1843,2.953455480181333e-09,1.1813822142769936e-09
1844,5.488561161115513e-09,2.7442805805577564e-09
1845,5.580227946389016e-10,2.7901139176833567e-09
1846,5.269050973311096e-09,1.9319854160926297e-08
1847,5.393223645455691e-10,2.1572894581822766e-09
1848,4.02261068899179e-09,8.045221711050488e-10
1849,4.1897072478036534e-09,8.379414495607307e-09
1850,0.0,8.146795238417326e-09
1851,6.449438760824933e-10,1.6123596680017727e-08
1852,2.6042181744401205e-09,1.3021090872200602e-08
1853,1.7915795513800958e-09,5.3747388761848924e-09
1854,2.0782657816909023e-09,1.0391328686409906e-08
1855,1.0613874223963649e-09,9.552486801567284e-09
1856,1.0354378465748937e-09,1.2942972915652717e-08
