year,soient_VERB in_ADJ,soient_VERB fines_ADJ
1800,6.288328968651058e-09,6.288328968651058e-09
1801,9.524730337773235e-09,3.809892135109294e-08
1802,6.713520406265161e-09,0.0
1803,0.0,7.801356893821776e-09
1804,1.2359254952798437e-08,1.730295728918918e-08
1805,2.842877711017877e-09,5.685755422035754e-09
1806,2.881669125542885e-09,2.881669125542885e-09
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,6.798221985349073e-09,2.2660739951163578e-09
1809,9.036122072814123e-09,2.259030518203531e-09
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,2.400487453257938e-08
1813,8.627225156487839e-09,0.0
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,8.091670444798638e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,9.341240669868967e-09
1818,7.152706427149269e-09,5.960588467246453e-09
1819,4.140420006848444e-09,9.315945348475907e-09
1820,2.3732962262101864e-09,4.746592452420373e-09
1821,1.4792232327920374e-08,1.1833785507064931e-08
1822,3.0076847679083585e-09,2.0051231786055723e-09
1823,1.9765373782121287e-09,0.0
1824,8.421112696055388e-10,2.5263338088166165e-09
1825,8.805443041381977e-10,0.0
1826,8.807984341885344e-10,8.807984341885344e-10
1827,1.8434546111834038e-09,1.2904182611350734e-08
1828,8.255071293206129e-09,4.586150570418113e-09
1829,0.0,2.571952872898464e-09
1830,2.0873671680021744e-09,6.262101504006523e-09
1831,0.0,1.7150327380477393e-08
1832,4.058990921151917e-09,2.705993873419743e-09
1833,1.1583628500844156e-09,5.791814139399776e-09
1834,9.334530925997342e-10,2.333632664885954e-08
1835,4.5378527602224494e-09,1.5126175867408165e-09
1836,2.688300027031687e-09,2.688300027031687e-09
1837,5.5663127440652715e-09,1.3915781860163179e-09
1838,3.1560809521380406e-09,1.2624323808552163e-09
1839,3.4957374772659477e-09,4.894032734625853e-09
1840,5.732719632334238e-09,3.1848443882154243e-09
1841,3.2102742686390684e-09,1.926164561183441e-09
1842,6.708265054555795e-10,6.708265054555795e-10
1843,1.1813822142769936e-09,2.3627644285539873e-09
1844,1.6465684371524958e-09,5.488561272137815e-10
1845,1.674068439427856e-09,1.562463758375543e-08
