year,seront_VERB aux_ADP,seront_VERB faux_ADJ
1800,2.3581234387393124e-07,2.829747991484055e-08
1801,1.142967676059925e-07,2.6193008650921e-08
1802,1.0741632650024258e-07,1.7902721083373763e-08
1803,1.170203516309698e-07,0.0
1804,1.97748079244775e-07,0.0
1805,2.5301611117356515e-07,0.0
1806,3.832619892563116e-07,5.76333825108577e-09
1807,2.448381430930624e-07,0.0
1808,2.991217762371434e-07,9.064295980465431e-09
1809,3.185232952951367e-07,2.259030518203531e-09
1810,1.3338721949196497e-07,0.0
1811,2.6575014544505393e-07,5.0141535368197765e-09
1812,2.213782899218586e-07,0.0
1813,2.5881673559879914e-07,0.0
1814,1.32160433263806e-07,0.0
1815,1.1867783911156948e-07,0.0
1816,2.688420579488593e-07,2.3176038865813098e-09
1817,2.164054064834886e-07,6.227493631882908e-09
1818,1.871624846216946e-07,8.344824387052086e-09
1819,1.500902300222151e-07,2.070210003424222e-09
1820,1.2578470620638882e-07,4.746592452420373e-09
1821,1.6370070765603373e-07,1.2819934447350079e-08
1822,1.4637399203820678e-07,1.804610860745015e-08
1823,9.388552690836605e-08,1.581229902569703e-08
1824,1.9368558845656025e-07,1.6842225392110777e-08
1825,1.0742640621508315e-07,2.641632912414593e-09
1826,2.6423953158882796e-07,2.642395191543301e-09
1827,1.926410089225783e-07,6.452091305675367e-09
1828,1.715220367959347e-07,9.172301251858528e-10
1829,1.5174521905692018e-07,8.57317605795771e-10
1830,1.6072726793936454e-07,2.0873671680021744e-09
1831,1.2784789360509308e-07,0.0
1832,1.1094574858816486e-07,0.0
1833,1.5406225806202656e-07,4.6334514003376626e-09
1834,2.0629313812747796e-07,9.334530925997342e-10
1835,1.686568680270284e-07,7.563087933704082e-09
1836,1.4180783125539165e-07,5.376600054063374e-09
1837,1.5237780903731846e-07,2.2961039292113128e-08
1838,1.4707336992714204e-07,6.312161904276081e-10
1839,1.8457494754819948e-07,4.894032734625853e-09
1840,1.8535793611107465e-07,5.732719632334238e-09
1841,1.4510439072523695e-07,1.3483152372373297e-08
1842,1.3282364363931265e-07,2.683306021822318e-09
1843,1.3054273584334197e-07,1.0041748765843295e-08
1844,1.4819114824149437e-07,1.3721403568922597e-08
1845,1.3894768091660126e-07,5.580227946389016e-10
1846,1.0245377368711672e-07,0.0
1847,1.6611129449728423e-07,3.775256551818984e-09
1848,1.7377678407370922e-07,8.045221711050488e-10
1849,1.173118073793944e-07,1.6758829879393033e-09
1850,9.572484316322516e-08,1.3577992064028876e-09
1851,1.1995956228361138e-07,4.514607354622058e-09
1852,1.3086195838063475e-07,1.1067927019325907e-08
1853,9.256494593046227e-08,1.7915795513800958e-09
1854,1.1482418216246515e-07,7.79349651480743e-09
1855,1.0083180512765466e-07,7.429711956774554e-09
1856,9.991974864176356e-08,1.0354378687793542e-08
1857,8.103305237927572e-08,3.905207268672939e-09
1858,1.6149130432907555e-07,3.4255731584664773e-09
1859,1.3545181332119682e-07,1.5276520048956854e-09
1860,1.281611484438283e-07,1.0985241161165504e-08
1861,1.678883096989381e-07,4.2443675241088386e-09
1862,1.432201637285857e-07,1.3553959066214816e-09
1863,8.540801843537338e-08,9.989241656072068e-10
1864,1.1986819714593366e-07,9.589455896019672e-10
1865,6.871992597190513e-08,1.3179164426446732e-08
1866,9.050040006286508e-08,5.352174259343201e-09
1867,9.171813353248126e-08,2.426405742994575e-09
1868,8.941171936172054e-08,2.4699371437009177e-09
1869,1.5822601540094183e-07,4.883519366671862e-09
1870,1.0780011594491157e-07,1.1468097582678638e-09
1871,1.1895718898813357e-07,0.0
1872,6.168286148522384e-08,0.0
1873,1.0774807890356897e-07,2.3944017879529156e-09
1874,7.109784616599057e-08,2.9873046258899194e-09
1875,9.955456903298909e-08,1.94531928343622e-08
1876,6.529695895096665e-08,1.209202959984168e-09
1877,9.710161275044982e-08,5.566334504436554e-09
1878,7.0657335982105e-08,2.4156354694326865e-09
1879,8.553055386162356e-08,6.10932526790009e-10
1880,1.1231231145103493e-07,6.417846254436199e-10
1881,1.2062437804161164e-07,1.3945015142624584e-09
1882,1.0981385156760837e-07,0.0
1883,8.910267723649667e-08,6.319338941018771e-10
1884,1.0034579389639475e-07,0.0
1885,9.410627838102315e-08,1.933690763067375e-09
1886,1.064821546492567e-07,0.0
1887,1.312313915313723e-07,6.528924623161458e-10
1888,1.0525420091056503e-07,3.1703073499755874e-09
1889,1.3657998465532728e-07,9.397704836544563e-09
1890,1.0618105916737619e-07,3.2771931834929546e-09
1891,8.79642350071208e-08,7.649063604731055e-09
1892,1.1596748095143994e-07,5.641661360300532e-09
1893,9.9766346517427e-08,0.0
1894,1.0523570637133162e-07,1.8904617871129403e-09
1895,1.1134437016835363e-07,6.018614495673091e-10
1896,9.494216829386559e-08,2.358811590497112e-09
1897,1.322664012759489e-07,1.1653427112179315e-09
