year,sont_VERB aux_ADP,sont_VERB faux_ADJ
1800,2.5499173261778196e-06,4.999221800972009e-07
1801,2.5169099444610765e-06,4.976671448275738e-07
1802,2.2714077658747556e-06,2.953948978756671e-07
1803,2.76558102996205e-06,4.193229301563406e-07
1804,2.8352130811981624e-06,4.721235313809302e-07
1805,3.033350594705553e-06,5.145608383827494e-07
1806,2.4811170078464784e-06,5.561621492233826e-07
1807,2.644821279318421e-06,4.441249927822355e-07
1808,2.7034263894165633e-06,4.350862070623407e-07
1809,2.79216169474239e-06,4.3599288801488e-07
1810,2.2301408080238616e-06,4.399438182645099e-07
1811,2.0332392978161806e-06,3.785685862567334e-07
1812,2.3444761154678417e-06,4.1608447531871207e-07
1813,2.0590309759427328e-06,3.134558426154399e-07
1814,1.8974462818732718e-06,3.209610781595984e-07
1815,2.0121287889196537e-06,4.531335662250058e-07
1816,2.180865294576506e-06,4.4266235477152804e-07
1817,2.0675279301940463e-06,4.514932925303583e-07
1818,1.952688762685284e-06,5.030736929256818e-07
1819,1.7120636357503827e-06,5.030610168432759e-07
1820,2.1893656594329514e-06,6.443499387387419e-07
1821,2.112330776071758e-06,7.139717581594596e-07
1822,2.2276917661656626e-06,4.6619112481494085e-07
1823,1.717610984997009e-06,5.06981848502619e-07
1824,2.10275175049901e-06,4.0673972989679896e-07
1825,2.3211148345581023e-06,5.309682364895707e-07
1826,1.6788018228908186e-06,4.624191660695942e-07
1827,1.9015234329344821e-06,3.696126498198282e-07
1828,1.8729839439401985e-06,4.604495131843578e-07
1829,1.8389462184131844e-06,4.1837100184238807e-07
1830,1.8473199361324077e-06,4.571334102365654e-07
1831,1.7727201111483737e-06,2.8843732025052304e-07
1832,2.02002433979942e-06,4.410769918195001e-07
1833,1.9008734852832276e-06,2.814821584706806e-07
1834,1.965852106877719e-06,4.3965641793874966e-07
1835,1.891528313535673e-06,3.887427055815351e-07
1836,2.0646143639169168e-06,4.5835514583814074e-07
1837,2.0031768599437783e-06,4.0286187186211464e-07
1838,2.1013186142226914e-06,3.38963104695722e-07
1839,1.798207449610345e-06,3.6076011156183085e-07
1840,1.8962563217428396e-06,4.2294732338632457e-07
1841,2.01733632820833e-06,3.93579625779239e-07
1842,1.858860287029529e-06,4.776284754370863e-07
1843,1.7638036524658673e-06,4.447904018434201e-07
1844,1.8540359860708122e-06,3.5510990414877597e-07
1845,1.7761865365173435e-06,3.71085150163708e-07
1846,1.9565743514249334e-06,4.344040007708827e-07
1847,1.7290675486947293e-06,3.888514186201064e-07
1848,1.8906271179730538e-06,2.695149134979147e-07
1849,1.8660956584426458e-06,3.35176594035147e-07
1850,1.915175744215958e-06,3.3537639865244273e-07
1851,1.8232562979392242e-06,3.5987866908726573e-07
1852,1.8730838746705558e-06,3.7370531913438754e-07
1853,1.6697521232345025e-06,3.230815082133631e-07
1854,1.6662495454511372e-06,2.919963435488171e-07
1855,1.6472732795591583e-06,3.5344200455256214e-07
1856,1.666537173150573e-06,3.271983644026477e-07
1857,1.7226846011908492e-06,3.9589039602105913e-07
1858,2.0147263057879172e-06,4.4923945097252727e-07
1859,1.8398022803012282e-06,3.2029771546149277e-07
1860,1.6999661056615878e-06,3.1353710028270143e-07
1861,1.819418798731931e-06,3.263446899381961e-07
1862,1.8315915895072976e-06,3.14451853000719e-07
1863,1.718649059512245e-06,3.980712790507823e-07
1864,1.80233826085896e-06,4.32963929597463e-07
1865,1.894975525829068e-06,3.86431935339715e-07
