year,étant_VERB aux_ADP,étant_VERB faux_ADJ,etant_VERB aux_ADP
1800,2.3266817095191072e-07,1.5720821977538435e-08,6.288328968651058e-09
1801,2.1430643681874528e-07,1.6668277424969347e-08,0.0
1802,2.1259481286506343e-07,1.3427040812530322e-08,6.713520406265161e-09
1803,2.2233867014165298e-07,3.900678446910888e-09,0.0
1804,2.2741028260497842e-07,1.9774807569206132e-08,2.7190359741524617e-08
1805,2.2743021288462728e-07,3.4114531644036106e-08,1.1371510844071508e-08
1806,2.3917854719002207e-07,3.458002950651462e-08,1.4408345627714425e-08
1807,2.306033621835013e-07,1.1387820464392462e-08,1.1387820908481672e-08
1808,2.719288829666766e-07,9.064295980465431e-09,1.5862517521725295e-08
1809,1.987946802728402e-07,1.581321384946932e-08,0.0
1810,2.340126741273707e-07,1.1700633351097167e-08,7.020380277111826e-09
1811,2.507076715119183e-07,1.7549536934780008e-08,2.5070767684098882e-09
1812,2.9339290108509886e-07,0.0,5.3344164641089264e-09
1813,1.581657897986588e-07,2.8757416448144113e-09,2.5881675469463516e-08
1814,3.3354777428939997e-07,4.090680150170556e-08,6.293354282149721e-09
1815,2.2656677223231725e-07,4.315557688983063e-08,1.3486118000116676e-08
1816,1.2978581764855335e-07,3.9399267848239106e-08,1.622322720606917e-08
1817,1.3389111597206238e-07,1.401186100480345e-08,0.0
1818,3.659801439681587e-07,2.384235475716423e-09,5.960588467246453e-09
1819,3.239878628713555e-07,1.8631890696951814e-08,1.035105001712111e-09
1820,1.7918387129611801e-07,1.542642635854463e-08,0.0
1821,2.86969318530339e-07,3.747365440176509e-08,8.875339463365606e-09
1822,3.1480435325192957e-07,6.015369535816717e-09,1.804610860745015e-08
1823,2.2829006240954186e-07,4.249555374258307e-08,7.906149512848515e-09
1824,1.6842225925017829e-07,1.0105335235266466e-08,4.210556348027694e-09
1825,2.3246369362794894e-07,2.3774695989686734e-08,4.402721520690989e-09
1826,2.5014675031354017e-07,1.3211976401805714e-08,1.7615968683770689e-09
1827,2.5439672368676725e-07,7.373818444733615e-09,3.6869092223668076e-09
1828,3.3020284218032714e-07,6.328887991458032e-08,2.2930752408001354e-08
1829,2.460501566936557e-07,2.743416338546467e-08,1.714635211591542e-09
1830,3.183234795756107e-07,2.7135772739939057e-08,1.0436835840010872e-09
1831,2.572548973844846e-07,1.5591206548037917e-08,1.5591206103948707e-09
1832,1.5830064459265714e-07,1.6235963684607668e-08,0.0
1833,1.6101243938138055e-07,1.0425265983826648e-08,6.950177322551099e-09
1834,2.156276650566724e-07,7.467624740797874e-09,1.8669061851994684e-09
1835,2.0874123407566003e-07,1.0588323107185715e-08,7.563087933704082e-10
1836,2.1976853270544439e-07,1.747394939854985e-08,8.064900192117364e-09
1837,2.6370406658315915e-07,3.826840000442644e-08,2.7831563720326358e-09
1838,2.8089119297192155e-07,1.8936486156917454e-08,3.1560809521380406e-09
1839,3.467771820808707e-07,1.6080392128969834e-08,6.9914751765765e-10
1840,2.5160269956359116e-07,6.3696887764308485e-09,8.917564464638872e-09
1841,2.529695986019931e-07,2.118781061710706e-08,1.2841097074556274e-09
1842,2.3210597532852262e-07,2.0795621225033756e-08,2.0124795163667386e-09
1843,1.8016078501270627e-07,2.2446261738195972e-08,1.1813822142769936e-09
1844,2.10760750241068e-07,1.0428266250528395e-08,4.939705311457487e-09
1845,2.1483877010730623e-07,1.785672942844485e-08,2.2320911785556063e-09
