year,serait_VERB aux_ADP,serait_VERB faux_ADJ
1800,9.118077315406481e-08,9.432493897065797e-09
1801,8.096020565062645e-08,3.333655484993869e-08
1802,7.161088433349505e-08,1.3427040812530322e-08
1803,5.851017803593095e-08,2.5354410126965377e-08
1804,1.7055771195373381e-07,2.2246657849223084e-08
1805,2.2743021688143017e-08,2.2743021688143017e-08
1806,7.204172902675055e-08,1.729001475325731e-08
1807,1.4804166426074516e-07,6.547996633798903e-08
1808,9.970725756147658e-08,3.3991110370834576e-08
1809,1.1521055398588942e-07,8.584316191218022e-08
1810,1.310471020588011e-07,6.084329839950442e-08
1811,1.7048121492280188e-07,2.757784400841956e-08
1812,8.268345652595599e-08,5.867858021701977e-08
1813,1.8979895344273245e-07,4.601186631703058e-08
1814,1.0069366851439554e-07,2.8320094713762956e-08
1815,1.0519171667056071e-07,1.2137506644194218e-07
1816,8.1116134253989e-08,4.8669683394564345e-08
1817,1.370048607896024e-07,2.1796227045456362e-08
1818,1.6332012364728143e-07,4.530047448270125e-08
1819,2.0391568966715568e-07,8.384350280721264e-08
1820,1.6019750148643652e-07,6.170570543417853e-08
1821,1.8046523564407835e-07,6.212737702071536e-08
1822,2.2357123441452131e-07,7.118187284049782e-08
1823,1.9370065729162889e-07,7.214361374963119e-08
1824,1.3389569630817277e-07,9.263224143296611e-08
1825,2.2718043624081474e-07,5.371320099811783e-08
1826,1.5766292449370667e-07,5.19671061738336e-08
1827,2.571619290847593e-07,8.387718253288767e-08
1828,1.742737225640667e-07,1.1281930767381709e-07
1829,2.417635585061362e-07,1.4060009334571077e-07
1830,1.6385831713705556e-07,7.931995327226105e-08
1831,2.2919073217053665e-07,7.483778574624012e-08
1832,1.97537559643024e-07,5.547287429408243e-08
1833,2.490480142114393e-07,9.266902623039641e-08
1834,2.8563664500325103e-07,1.213489042584115e-07
1835,2.3596834353156737e-07,1.2705987728622858e-07
1836,1.9893420244443405e-07,1.0551577389605882e-07
1837,2.1082409773498512e-07,5.0792603900617905e-08
1838,2.1335107192044234e-07,7.763959075646198e-08
1839,1.7268943963699712e-07,6.711816524784808e-08
1840,2.496917943517474e-07,1.229349919640299e-07
1841,2.471911102475133e-07,1.0979137954336693e-07
1842,2.555848936935945e-07,1.1135720257016146e-07
1843,2.0260705468899687e-07,9.096643083239542e-08
1844,2.4094782702377415e-07,1.125155080217155e-07
1845,2.148387778788674e-07,1.1216258144486346e-07
1846,1.6216968390381226e-07,6.966856602730331e-08
1847,1.9900994630006608e-07,1.1433634483637434e-07
1848,2.0756671403887594e-07,8.20612626739603e-08
1849,1.9105065973690216e-07,1.1814974953949786e-07
1850,2.5594513886062487e-07,7.264225843073291e-08
1851,2.27665182706005e-07,8.706741994046752e-08
1852,2.0833745395520964e-07,7.812654700956045e-08
1853,1.7079725012081326e-07,6.270528274399112e-08
1854,2.0159177438472398e-07,7.793496337171746e-08
1855,1.6186157836273196e-07,1.178140038859965e-07
1856,1.868965284756996e-07,8.542362195385067e-08
1857,1.8256844214192824e-07,8.249750038658021e-08
1858,1.453421845099001e-07,7.878818308881819e-08
1859,1.7415233344308945e-07,1.0031581609837303e-07
1860,1.922417283140021e-07,9.108595833140498e-08
1861,2.0750240992128965e-07,9.573406600793533e-08
1862,2.222849246891201e-07,7.996835904577893e-08
1863,1.7231441518106294e-07,1.1687412637684247e-07
1864,1.4575972784314217e-07,1.0740190248270665e-07
1865,1.3461574610573734e-07,9.97850975181791e-08
1866,1.591055394101204e-07,8.612134649865766e-08
1867,1.921713419505977e-07,6.842464017609018e-08
1868,1.5856996071761387e-07,7.854399797224687e-08
1869,2.1829330876244057e-07,1.1280928902124288e-07
1870,2.0069170147962723e-07,1.1353416340398326e-07
1871,2.3685225869485294e-07,9.771483178155904e-08
1872,1.6448763062726357e-07,1.663018309727704e-07
1873,2.4901777351260534e-07,9.757187058312411e-08
1874,1.463779284449629e-07,6.572069821686455e-08
1875,1.9338762058396242e-07,8.467860368455149e-08
1876,1.6445160611056053e-07,1.3603533943751245e-07
1877,1.737933246204193e-07,8.535045736834945e-08
1878,1.9445865007128305e-07,1.2138568195041444e-07
1879,1.808360252653074e-07,9.46945419855183e-08
1880,1.6943114644618618e-07,7.573058269372268e-08
1881,2.0917522647323494e-07,5.368830713337047e-08
1882,1.8036094218132348e-07,5.856738738430067e-08
1883,1.5355993809862412e-07,7.58320695126713e-08
1884,1.6834327709602803e-07,7.790002598540013e-08
1885,1.7016478182085848e-07,7.21911206369441e-08
1886,1.4778431989270757e-07,7.937760670984062e-08
1887,1.7040493105469068e-07,7.965287807110144e-08
1888,1.4837038975201722e-07,1.0462014188306057e-07
1889,1.434716381254475e-07,8.144677821064761e-08
1890,1.625487868750497e-07,8.586246025288347e-08
1891,2.1736090616286674e-07,9.68881437302116e-08
1892,1.8805536683430546e-07,7.334159590755007e-08
1893,1.6319803819442313e-07,9.299208869606446e-08
1894,1.795938686655063e-07,1.1153724699397571e-07
1895,2.0102172015867836e-07,8.125129369318529e-08
1896,1.6570650984704116e-07,9.258335609274582e-08
1897,1.701400407227993e-07,1.252743402346823e-07
1898,1.4768306755286176e-07,1.0864041399827329e-07
1899,1.7135492669240193e-07,1.0557674556821439e-07
1900,1.7961043852210423e-07,1.1627959395354992e-07
1901,1.8666388257315703e-07,1.212756330914999e-07
1902,1.4239823542538943e-07,1.0508007619591808e-07
1903,1.6956691695213522e-07,1.1394465104785922e-07
1904,1.6607592101536284e-07,1.311408510673573e-07
1905,1.553388528918731e-07,1.4966201433708193e-07
1906,1.04941364043043e-07,1.4506599654851016e-07
1907,1.429710465572498e-07,1.3011393207307265e-07
1908,1.3801003717617277e-07,1.5519989915446786e-07
1909,1.2817291406008735e-07,1.353241998458543e-07
1910,1.122271626741167e-07,1.3681025734513241e-07
1911,1.340734314680958e-07,1.55354925368556e-07
1912,1.224213974637678e-07,1.547198138496242e-07
1913,1.606805852816251e-07,1.4424132643853227e-07
1914,1.4464966113791888e-07,1.1853236259184996e-07
1915,1.7906758387198352e-07,1.1898569596269226e-07
1916,1.2965205087311915e-07,8.46034566848175e-08
1917,1.6559300775043084e-07,1.6997957175135525e-07
1918,1.4013379256994085e-07,1.412824275348612e-07
1919,1.3443458612982795e-07,1.3535536425024475e-07
