year,seront_VERB in_ADJ,seront_VERB fines_ADJ
1800,2.2009151834367913e-08,6.288328968651058e-09
1801,1.4287095950749062e-08,7.143547975374531e-09
1802,8.951360541686881e-09,0.0
1803,9.751696339321825e-09,1.950339223455444e-09
1804,7.4155526164076946e-09,0.0
1805,5.685755422035754e-09,0.0
1806,1.152667650217154e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,1.8072244145628247e-08,0.0
1810,2.8081521108447305e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,4.3136125782439194e-08,0.0
1814,9.440030979135372e-09,0.0
1815,2.1577788444915313e-08,2.697223555614414e-09
1816,4.1716869958463576e-08,0.0
1817,1.556873407970727e-09,0.0
1818,9.536941902865692e-09,1.1921177378582115e-09
1819,1.9666995143552413e-08,0.0
1820,7.119888678630559e-09,0.0
1821,3.94459531705138e-09,3.94459531705138e-09
1822,1.303330066093622e-08,3.0076847679083585e-09
1823,7.906149512848515e-09,9.882686891060644e-10
1824,1.0947446504872005e-08,0.0
1825,4.4027217427355936e-09,0.0
1826,7.0463874735082754e-09,2.642395191543301e-09
1827,1.013900075008678e-08,0.0
1828,8.255071293206129e-09,1.8344602503717056e-09
1829,1.2002446148073886e-08,0.0
1830,1.0436835840010872e-09,2.0873671680021744e-09
1831,2.6505050598757407e-08,3.1182412207897414e-09
1832,4.058990921151917e-09,4.058990921151917e-09
1833,1.2741991461950875e-08,3.4750886612755494e-09
1834,2.9870498963191494e-08,0.0
1835,2.193295500774184e-08,0.0
1836,2.2850549896702432e-08,6.720750067579218e-10
1837,5.5663127440652715e-09,0.0
1838,2.0830134062066463e-08,0.0
1839,1.3982949909063791e-08,0.0
1840,1.6561189752906103e-08,1.2739377330817092e-09
1841,1.219904177673925e-08,0.0
1842,1.0733224087289273e-08,1.341653010911159e-09
1843,8.860366662588604e-09,2.3627644285539873e-09
1844,4.390849017710252e-09,0.0
1845,7.254296274794569e-09,0.0
1846,9.952652035849496e-09,0.0
1847,2.1033571329098777e-08,3.235934187273415e-09
1848,1.206783295515379e-08,1.6090443422100975e-09
1849,4.1897072478036534e-09,0.0
1850,8.146795238417326e-09,0.0
1851,1.096404567135778e-08,6.449438760824933e-10
1852,1.4323200403509873e-08,1.3021090872200602e-09
1853,7.166318205520383e-09,0.0
1854,1.0910895298366086e-08,0.0
1855,2.1227748447927297e-09,5.306937111981824e-10
1856,1.1907535402144731e-08,5.177189232874468e-10
1857,7.810414537345878e-09,0.0
1858,6.361778659424999e-09,4.893676019968041e-10
1859,5.092173349652285e-09,0.0
1860,4.119465657481669e-09,1.373155145145688e-09
1861,2.8295783494058924e-09,4.715963730639317e-10
1862,1.0843167252971853e-08,4.517986262886353e-10
1863,8.990317823531768e-09,0.0
1864,4.315255264231155e-09,0.0
1865,6.589582213223366e-09,0.0
1866,1.702964524952222e-08,0.0
1867,1.2132028714972876e-08,9.7056229719783e-10
1868,1.0373735648272486e-08,4.93987406535723e-10
1869,5.860222973552709e-09,0.0
1870,5.734048791339319e-09,0.0
1871,7.434824311758348e-09,0.0
1872,6.047339518033823e-09,0.0
1873,4.788803575905831e-09,0.0
1874,1.3144139998644278e-08,5.974609140757536e-10
1875,1.0298748520654044e-08,0.0
1876,3.02300739996042e-09,0.0
1877,1.1132669008873108e-08,0.0
1878,4.831270938865373e-09,1.2078177347163432e-09
1879,9.163987790827832e-09,0.0
1880,6.417846254436199e-09,1.2835692508872398e-09
1881,9.761510710859511e-09,0.0
1882,9.317538740560849e-09,0.0
1883,5.0554711528150165e-09,6.319338941018771e-10
1884,4.621187876807653e-09,0.0
1885,3.2228177904158883e-09,0.0
1886,8.38950331427668e-09,0.0
1887,9.793386546164129e-09,0.0
1888,5.07249175996094e-09,1.268122939990235e-09
1889,8.14467782106476e-09,0.0
1890,1.9663159989136147e-09,0.0
1891,8.286486163910922e-09,0.0
1892,4.387958441043338e-09,6.268512375839919e-10
1893,3.079208221734575e-09,0.0
1894,3.150769645188234e-09,0.0
1895,6.6204757231957956e-09,6.018614495673091e-10
1896,4.717623180994224e-09,1.7691086373616827e-09
1897,8.157399200570126e-09,1.7480140668268973e-09
1898,1.0185038590293516e-08,5.6583548957434e-10
1899,6.080336234504102e-09,0.0
1900,4.15284251431558e-09,5.191053142894475e-10
1901,1.2295225282343836e-08,3.912117296778206e-09
1902,9.329538919189417e-09,9.820567692386817e-10
1903,4.860198465905796e-09,2.1600881083827517e-09
1904,2.6873125946735854e-09,1.0749250378694342e-09
1905,6.192911072844254e-09,5.160759042333041e-10
1906,6.6874399351490865e-09,0.0
1907,8.228549397415463e-09,4.114274698707732e-09
1908,4.4202499438483756e-09,2.4556945366072114e-09
1909,3.300590023513905e-09,1.1001967115120692e-09
1910,5.34415089958884e-09,3.206490406526541e-09
1911,2.128149656499545e-09,5.320374141248863e-10
1912,3.646594803896619e-09,0.0
1913,6.363587878865928e-09,5.302989602995467e-09
1914,7.366418142140674e-09,2.0090231700464756e-09
1915,4.712304768617059e-09,7.068456930880984e-09
1916,1.2086208478478966e-08,1.0987461607214755e-08
1917,7.676496771580332e-09,0.0
1918,5.743188147278033e-09,0.0
1919,2.762354567309444e-09,0.0
1920,3.786115865267448e-09,0.0
1921,1.5145494858259667e-09,0.0
1922,2.951174193910333e-09,0.0
1923,3.1847844361720945e-09,0.0
1924,1.1602462102189293e-08,1.289162443462999e-09
1925,4.399271169575059e-09,0.0
1926,1.0031524944054127e-08,2.229227691330493e-09
1927,2.2298449753321847e-09,2.2298449753321847e-09
1928,1.1426041224282812e-09,1.1426041224282812e-09
1929,2.2280812750352652e-09,0.0
1930,3.1510811737689437e-09,3.1510811737689437e-09
1931,3.4216069977333063e-09,0.0
1932,0.0,0.0
1933,1.1470662197865522e-09,1.1470662197865522e-09
1934,2.3963160344919743e-09,2.3963160344919743e-09
1935,0.0,0.0
1936,3.6374143697059935e-09,3.6374143697059935e-09
1937,1.2591118148108649e-09,1.2591118148108649e-09
1938,0.0,0.0
1939,0.0,1.5294050470515685e-09
1940,0.0,0.0
1941,0.0,5.9030051957620344e-09
1942,3.034211770724937e-09,0.0
1943,2.9032352077962287e-09,5.806470415592457e-09
1944,0.0,0.0
1945,2.178504043826024e-09,0.0
1946,5.568441707737293e-09,0.0
1947,2.3841741914054637e-09,2.3841741914054637e-09
1948,2.174377566888097e-09,3.2615663503321457e-09
1949,9.817008317369869e-10,3.9268033269479474e-09
1950,3.190608444114673e-09,0.0
1951,1.0661401761424827e-09,6.396841278899501e-09
1952,0.0,4.2179215675730575e-09
1953,0.0,2.1547654771580937e-09
1954,2.9317608341017376e-09,1.9545072227344917e-09
