year,soient_VERB au_ADP,soient_VERB faux_ADJ
1800,6.665628689006553e-07,1.2576657937302116e-08
1801,8.167456275742779e-07,3.095537337571841e-08
1802,5.840762469233596e-07,8.951360541686881e-09
1803,8.620499460931796e-07,3.705644502360883e-08
1804,6.154908813726934e-07,2.4718509461507665e-09
1805,7.334624667620915e-07,3.980028751016107e-08
1806,9.884125091730311e-07,4.3225035994964855e-08
1807,9.110256655731064e-07,0.0
1808,6.820882703095776e-07,3.852325747288887e-08
1809,6.551188675985031e-07,2.9367397402779716e-08
1810,6.248138468833986e-07,3.2761775514700275e-08
1811,4.3372428493171356e-07,7.521229861140455e-09
1812,5.681153552039575e-07,1.0668832928217853e-08
1813,5.291364466586401e-07,5.463909147351842e-08
1814,6.136020136437992e-07,2.2026739543434815e-08
1815,4.07280750458483e-07,5.394447111228828e-09
1816,6.118474491501047e-07,1.8540831092650478e-08
1817,6.756830490672883e-07,1.0898113522728181e-08
1818,5.924825285941182e-07,3.457141417584353e-08
1819,5.76553459197271e-07,2.5877625375869684e-08
1820,7.523348966032017e-07,2.7292905713238724e-08
1821,7.92863655618703e-07,3.747365440176509e-08
1822,6.877572786834207e-07,2.0051231786055723e-08
1823,5.979025834434992e-07,4.842516432290722e-08
1824,6.037938016234534e-07,2.2737005167527968e-08
1825,6.797801894720124e-07,3.434122675116669e-08
1826,7.363474985311314e-07,1.8496766784892316e-08
1827,7.207907390949231e-07,3.7790819362726324e-08
1828,6.824192313459321e-07,4.3109814384934e-08
1829,6.258418761007079e-07,2.4862210068476998e-08
1830,6.606517066742867e-07,1.1480519646056564e-08
1831,7.078407442406842e-07,1.7150327380477393e-08
1832,6.277906008378409e-07,4.19429042608499e-08
1833,5.027294989190523e-07,8.108539617524002e-09
1834,5.759405805605411e-07,1.6802156110884425e-08
1835,5.32441362111058e-07,3.100866052818674e-08
1836,5.954584527678719e-07,1.6129799718100912e-08
1837,6.129902017093514e-07,3.6876823372722356e-08
1838,6.065987641079573e-07,2.1461350030449466e-08
1839,6.564994921021139e-07,1.677954131196202e-08
1840,5.522520023504285e-07,3.121147429396842e-08
1841,5.682185499900072e-07,3.531301828729738e-08
1842,5.943522940476953e-07,3.6895457355967665e-08
1843,7.011503637688321e-07,3.4260082770742883e-08
1844,5.686149266992402e-07,2.7991662321369404e-08
1845,5.608129278744656e-07,2.9017185099178278e-08
1846,6.258462095232176e-07,9.952652035849496e-09
1847,5.6413120752552e-07,2.2651539310913904e-08
1848,6.701669812425592e-07,1.850401076808339e-08
1849,5.580690438655722e-07,2.9327951622803994e-08
1850,4.467159335774795e-07,1.6293590476834652e-08
1851,5.030562206798095e-07,1.3543821175687754e-08
1852,4.6941033193803605e-07,2.408901877970493e-08
1853,5.739026542883607e-07,1.911018188138769e-08
1854,6.343906102657115e-07,2.338049043260071e-08
1855,5.269788303507994e-07,2.7596072982305486e-08
1856,4.628407097584386e-07,2.7439103433835044e-08
1857,5.467290278282633e-07,2.147863931156735e-08
1858,5.745175406524083e-07,2.838332058274773e-08
1859,6.375400813940502e-07,1.323965115318515e-08
1860,5.565855456524105e-07,1.9681891672007623e-08
1861,5.819499016013197e-07,2.263662679524714e-08
1862,6.379396852995711e-07,2.2589931703009825e-08
1863,6.048485632348388e-07,2.6471489888990618e-08
1864,4.804317494944144e-07,1.582260189536555e-08
1865,5.949451242770465e-07,3.577201823645737e-08
1866,6.262043676930062e-07,2.1408697037372804e-08
1867,6.347477263801693e-07,1.6984840200962026e-08
1868,5.893269845458349e-07,2.4699369660652337e-08
1869,5.806504352889874e-07,2.3440891894210836e-08
1870,5.934740752167045e-07,1.490852596930381e-08
1871,5.799162718922446e-07,8.496941816815706e-09
1872,5.243043075253695e-07,1.269941218851045e-08
1873,5.285642039609684e-07,6.584604861359367e-09
1874,4.3435408425551714e-07,1.9118749250424116e-08
1875,5.189425280605064e-07,1.3159512590732447e-08
1876,6.10647518328733e-07,2.5997863417615008e-08
1877,5.838466048402324e-07,1.5462040536817767e-08
1878,5.592195861936489e-07,2.4156355138416075e-08
1879,6.255948834521519e-07,1.710611030603104e-08
1880,6.591128207666941e-07,2.3746030919369332e-08
1881,5.773236173567398e-07,9.761510710859511e-09
1882,5.863394232363817e-07,8.652000893505374e-09
1883,5.826430594102483e-07,1.0110942305630033e-08
1884,5.314366031683448e-07,7.922036360241691e-09
1885,5.678605234926692e-07,1.6114089618213256e-08
1886,5.614513431950741e-07,1.4842966855610484e-08
1887,4.850991137672622e-07,5.223139698529167e-09
1888,5.135897769292797e-07,1.6485598663962264e-08
1889,4.886806395099086e-07,8.14467782106476e-09
1890,4.679831810960877e-07,2.0974036729626278e-08
1891,5.596564944809757e-07,7.0116419337296065e-09
1892,5.47241133741494e-07,1.56712811616444e-08
1893,5.179228432794503e-07,1.3548516086814288e-08
1894,5.28068994753994e-07,2.2685540557176864e-08
1895,4.929245411844363e-07,7.22233739480771e-09
1896,4.4522567965721294e-07,1.533227589334274e-08
1897,5.547031061148289e-07,6.409385022720926e-09
1898,5.126469355687391e-07,1.3014216371232123e-08
1899,5.124065349804141e-07,1.1055156790007459e-08
1900,5.040512602860758e-07,1.142031713641245e-08
1901,5.465786658831462e-07,1.956058603980182e-08
1902,5.03304109167324e-07,1.2275709337927765e-08
1903,5.286815398797273e-07,1.296052865029651e-08
1904,5.095144413047592e-07,1.6123875568041512e-08
1905,5.284617059508889e-07,1.1353670004154992e-08
1906,5.031012330070084e-07,1.0802787109298606e-08
1907,4.973129583696334e-07,1.491424583832668e-08
1908,5.687388595632115e-07,1.276961114626829e-08
1909,5.649509979832601e-07,9.351672325408344e-09
1910,5.862533565270667e-07,1.1757131268552712e-08
1911,6.134391532519601e-07,6.916486494645824e-09
1912,5.647012534804041e-07,1.0939784189645252e-08
1913,5.674198915173179e-07,8.484783542428431e-09
1914,5.143099417459496e-07,2.209925398233281e-08
1915,5.12463138369057e-07,4.005459075528961e-08
1916,5.636568032318934e-07,5.493730803607377e-09
1917,6.097331877175094e-07,5.483212106582869e-09
1918,5.80062029520434e-07,1.6080926812378493e-08
1919,5.515500933750417e-07,1.4732557396257562e-08
1920,5.27784553394639e-07,1.8930579770426448e-08
1921,6.32324435978493e-07,6.058197943303867e-09
1922,6.293378875810163e-07,1.475587119159627e-08
1923,5.881235090043901e-07,1.5923921736771263e-08
1924,5.28556629131316e-07,1.2891624656674594e-08
1925,5.554079620662122e-07,1.0998178368026856e-08
1926,4.7594011043372575e-07,2.6750733184144337e-08
1927,4.281302451447644e-07,1.4493992672726108e-08
1928,4.364747736573804e-07,1.82816659588525e-08
1929,5.625905146189325e-07,1.3368487650211591e-08
1930,4.653096277174029e-07,2.6259009189288918e-08
1931,4.767439083508407e-07,9.124285327288817e-09
1932,5.074265596594074e-07,1.3151444377967891e-08
1933,4.932384969347225e-07,8.02946331646126e-09
1934,4.3373319336126315e-07,2.036868629318178e-08
1935,5.828554385800544e-07,1.795242710045386e-08
1936,4.619516356108022e-07,1.33371855781661e-08
1937,4.872762848773249e-07,2.1404900962807005e-08
1938,6.430746388730313e-07,2.074434313215079e-08
1939,6.316442622278373e-07,1.988226472349197e-08
1940,4.513693676599928e-07,1.7750480196809804e-08
1941,4.014043430977665e-07,2.6563522936839945e-08
1942,4.2175542591671444e-07,1.2136847082899749e-08
1943,4.35485276284453e-07,2.9032352077962287e-09
1944,5.012570341023093e-07,0.0
1945,4.923419396618556e-07,1.089252066321933e-08
1946,4.7331753449952885e-07,1.8097434661967782e-08
1947,5.435916963225651e-07,9.536696765621855e-09
1948,4.566193023691767e-07,1.195907639583993e-08
1949,4.790699992263114e-07,1.570721330779179e-08
1950,4.5625701705631627e-07,1.914365022059883e-08
1951,4.882922048921046e-07,9.595261474260042e-09
1952,4.692437758357926e-07,7.381362632230548e-09
1953,4.2448880321899196e-07,1.723812381726475e-08
1954,4.974220959574893e-07,1.6613311615287785e-08
1955,4.861745046547128e-07,7.508486277174597e-09
1956,5.41582880320135e-07,1.1337483840634377e-08
1957,4.647229879251036e-07,2.9155623693100097e-08
1958,4.376016840001995e-07,1.9026160202884057e-08
1959,4.3481694089742007e-07,2.325224279786653e-08
1960,4.775375037624485e-07,1.9378333604436193e-08
1961,5.169430505880257e-07,6.94815938118154e-09
1962,4.2237429420666217e-07,1.5220695814832652e-08
1963,4.358119900516044e-07,1.0992290633282664e-08
1964,4.934098087883143e-07,2.3727476872181796e-08
1965,4.634820869320322e-07,2.7907420374617686e-08
1966,4.50880683899868e-07,2.0494576702390077e-08
1967,4.6295851818811684e-07,1.2818872185960117e-08
1968,4.823780657137178e-07,1.392338955241712e-08
1969,5.195770711452496e-07,1.407944960618579e-08
1970,5.053999039272838e-07,1.7935027685211935e-08
1971,4.5834504325270586e-07,1.284599360218408e-08
1972,4.827468416124248e-07,1.7955514408640738e-08
1973,4.6751967408553696e-07,1.1026407342740185e-08
1974,4.6185943469723156e-07,1.800182936051442e-08
1975,4.4435315693647226e-07,1.2565256390928425e-08
1976,4.4222699258078535e-07,6.8562320265641574e-09
1977,4.7249325607623405e-07,9.402850942308305e-09
1978,4.271285258816704e-07,9.504946163474415e-09
1979,4.2485327766961234e-07,1.462993370893173e-08
1980,4.098993777734705e-07,1.819248218737357e-08
1981,4.3076991712576174e-07,1.707898356073656e-08
1982,3.9293488274250166e-07,2.3588508923921836e-08
1983,4.33230669782958e-07,1.0736036948344463e-08
1984,4.22167823588282e-07,2.0296528902008504e-08
1985,3.7176150158302335e-07,1.0828004270990732e-08
1986,4.3460020210384087e-07,1.558566253834215e-08
1987,4.149244596796109e-07,1.649920555735207e-08
1988,4.5393913672420183e-07,1.0793796967334401e-08
1989,4.87345256483529e-07,1.6464365870660913e-08
1990,4.5169316420512473e-07,1.1442167213715493e-08
1991,4.231977750457361e-07,9.96449056600568e-09
1992,4.215107247684813e-07,2.0937788391961476e-08
1993,4.237493756997779e-07,1.1632335983335906e-08
1994,4.531162003384992e-07,1.160483886764041e-08
1995,4.267468698415655e-07,1.7351842629409475e-08
1996,4.056950184683217e-07,9.074756945892659e-09
1997,4.104429709439472e-07,1.3905194329311144e-08
1998,4.1673450046353366e-07,1.1920323395031573e-08
1999,4.0309173776620355e-07,1.3253583119876566e-08
2000,4.5019740468887903e-07,1.502130686503733e-08
2001,4.398736761501709e-07,1.796296800193886e-08
2002,4.749244070789693e-07,1.2267419968736704e-08
