year,petit_ADJ axe_NOUN
1800,6.03679609412211e-07
1801,2.9050428418386787e-07
1802,7.138710316212382e-07
1803,4.5637938006493073e-07
1804,4.152709607296856e-07
1805,6.055329322407488e-07
1806,4.2072369410561805e-07
1807,6.23483193074037e-07
1808,5.755828169640154e-07
1809,5.57980513349321e-07
1810,1.1513424169606878e-06
1811,1.2961586390858315e-06
1812,8.801787343415413e-07
1813,1.363101546303369e-06
1814,1.1957373544646543e-06
1815,2.5623623400861106e-07
1816,6.744227061261654e-07
1817,2.724528500586132e-07
1818,1.7524131079582617e-07
1819,2.753379320097338e-07
1820,3.4412796612315333e-07
1821,2.2188348303142647e-07
1822,5.333627655090822e-07
1823,2.717738993851526e-07
1824,3.7137107700147e-07
1825,6.419167846161145e-07
1826,5.126246764852738e-07
1827,6.203224529599538e-07
1828,3.953261966671562e-07
1829,2.640538241394097e-07
1830,5.834191385556409e-07
1831,2.9311468097148463e-07
1832,2.6112840600944764e-07
1833,3.463504830714115e-07
1834,5.292679066126738e-07
1835,4.931133119612241e-07
1836,3.0512205739796627e-07
1837,3.2771666269582056e-07
1838,3.6042445827888514e-07
1839,3.712473244377179e-07
1840,3.401413679604559e-07
1841,4.3852345177342045e-07
1842,3.6694209537557754e-07
1843,5.753331606683787e-07
1844,5.285484281358777e-07
1845,5.401660660986352e-07
1846,4.215241062865971e-07
1847,4.621992557574117e-07
1848,1.2043696701602435e-06
1849,4.0891545971533105e-07
1850,4.25670037884629e-07
1851,4.2437307001819136e-07
1852,4.778740090305433e-07
1853,6.58704085054751e-07
1854,4.5410106963572616e-07
1855,5.970304464142373e-07
1856,4.2090549001727595e-07
1857,6.814586535064393e-07
1858,4.932825303227695e-07
1859,5.102357931718871e-07
1860,4.508526130209134e-07
1861,5.187560256914026e-07
1862,4.2559431556732363e-07
1863,3.7359764404332196e-07
1864,4.9241856314719e-07
1865,4.231453150094211e-07
1866,4.46663278808046e-07
1867,7.866407578660528e-07
1868,5.784592257418453e-07
1869,5.811387798759782e-07
1870,5.326931065141594e-07
1871,4.7264239655397944e-07
1872,4.3419894857343877e-07
1873,7.362785527931237e-07
1874,6.494399960033093e-07
1875,5.721527100988055e-07
1876,5.229802813033757e-07
1877,9.679236598891805e-07
1878,5.368749586009969e-07
1879,5.278456836066425e-07
1880,5.487258434300202e-07
1881,4.964425670550554e-07
1882,5.131302032168605e-07
1883,4.815336254182512e-07
1884,6.344231024968394e-07
1885,5.917093575114052e-07
1886,5.027248093369963e-07
1887,3.447272245438171e-07
1888,5.433906755669682e-07
1889,4.0410131152412987e-07
1890,4.594624780640544e-07
1891,5.51370021639741e-07
1892,4.3378105196723027e-07
1893,5.394772986111462e-07
1894,4.0581912230663875e-07
1895,4.104694990569868e-07
1896,5.330914309986667e-07
1897,3.8864178542041827e-07
1898,4.724726465621387e-07
1899,3.802973864708292e-07
1900,5.26891892449477e-07
1901,5.05222015778628e-07
1902,6.898948843314656e-07
1903,4.519984333484217e-07
1904,5.589610134748568e-07
1905,4.2008579725916206e-07
1906,4.598900824603902e-07
1907,4.613130524244724e-07
1908,3.9978705945742377e-07
1909,4.824362509481261e-07
1910,4.350138516073798e-07
1911,5.112879715163388e-07
1912,4.985416022229572e-07
1913,4.242391873354734e-07
1914,5.404272211961825e-07
1915,4.064362886246897e-07
1916,4.318072623910041e-07
1917,2.2590834736213594e-07
1918,3.801990597906979e-07
1919,4.972238087930236e-07
1920,4.399466591031853e-07
1921,4.785976459587005e-07
1922,3.7922587270422525e-07
1923,3.577574414492801e-07
1924,5.723881346675341e-07
1925,3.1894715535329965e-07
1926,3.4664489523272835e-07
1927,5.385075891872759e-07
1928,2.7765281185310187e-07
1929,3.69861500093549e-07
1930,3.0565487030287386e-07
1931,3.1820946322369537e-07
1932,3.572809053054016e-07
1933,3.4067867926701467e-07
1934,2.9115241062527275e-07
1935,2.812546702202212e-07
1936,2.9463056350209627e-07
1937,4.0921134192295483e-07
1938,2.3985647013002875e-07
1939,3.012927809464827e-07
1940,3.448664642746735e-07
1941,5.047069180363906e-07
1942,7.069713587881665e-07
1943,2.496782376404383e-07
1944,3.9843507515513465e-07
1945,3.790597133956908e-07
1946,2.157771206157122e-07
1947,3.969650115287493e-07
1948,3.294182151503122e-07
1949,2.7094944243799546e-07
1950,4.0201667017569775e-07
1951,4.253899223982671e-07
1952,3.9226671511016775e-07
1953,3.038219357209826e-07
1954,3.0783489179952994e-07
1955,2.825068090572813e-07
1956,2.5901790556837057e-07
1957,2.6593462454371775e-07
1958,5.484497478391859e-07
1959,2.6120020457653936e-07
1960,2.8306208932349364e-07
1961,4.1688954777185927e-07
1962,2.0674778289375695e-07
1963,3.737378913015732e-07
1964,2.1172209718756108e-07
1965,2.6320527979351027e-07
1966,2.3097942081218292e-07
1967,1.8538061485884327e-07
1968,2.1424053842089563e-07
1969,1.4397372027907807e-07
1970,1.7061269597107298e-07
1971,3.6225703503589557e-07
1972,1.9699763809111204e-07
1973,2.3541380844704918e-07
1974,1.8001829893421473e-07
1975,1.7648474148757032e-07
1976,2.0568696346145998e-07
1977,2.0686272339531797e-07
1978,1.693068578667578e-07
1979,1.8784833777374388e-07
1980,2.1660423721314714e-07
1981,1.2524588144380289e-07
1982,1.4215179666710043e-07
1983,1.4777839396629133e-07
1984,1.0554195739587158e-07
1985,1.1309248870716715e-07
1986,1.168924638195179e-07
1987,1.1610551808871605e-07
1988,2.6204939707064057e-07
1989,1.1140888289684625e-07
1990,1.2422924555721693e-07
1991,8.030207104825493e-08
1992,1.0579093157048192e-07
1993,9.250476590283441e-08
1994,8.598130518677749e-08
1995,5.693573407183905e-08
1996,6.672615127101267e-08
1997,5.3223328966289785e-08
1998,6.723062084823539e-08
1999,5.438539285584909e-08
2000,4.462211933287108e-08
2001,5.3012663231433166e-08
2002,1.695532760304097e-07
2003,6.625407583671361e-08
2004,4.933366373749415e-08
2005,1.2745611854825256e-07
2006,8.771105192151296e-08
2007,8.02890376405685e-08
2008,2.2308984559682443e-07
2009,1.9263498329813444e-07
2010,1.0486820656296914e-07
2011,2.2179036807123964e-07
2012,3.754890611773476e-07
2013,9.845611503855878e-08
2014,4.395853703265118e-08
2015,5.053791751752357e-08
2016,5.3440572855834034e-08
2017,4.377163576041454e-08
2018,1.7915379341149062e-07
2019,2.1173198305746155e-08
