year,étaient_VERB in_ADJ,étaient_VERB fines_ADJ
1800,2.5153315874604232e-08,0.0
1801,1.6668277424969347e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,1.1702034896643454e-08,0.0
1804,1.9774807569206132e-08,0.0
1805,8.528632911009026e-09,0.0
1806,1.729001475325731e-08,0.0
1807,4.839823830593559e-08,1.1387820464392462e-08
1808,1.3596443970698147e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,7.020380277111826e-09,2.3401267590372754e-09
1811,4.011322829455821e-08,2.5070767684098882e-09
1812,1.0668832928217853e-08,1.8670457180292033e-08
1813,2.0130190847567064e-08,2.0130190847567064e-08
1814,1.5733386149463513e-08,6.293354282149721e-09
1815,8.091670444798638e-09,0.0
1816,6.952811659743929e-09,0.0
1817,2.9580593974287694e-08,3.113746815941454e-09
1818,2.2650237241350624e-08,0.0
1819,1.449147024601416e-08,0.0
1820,3.322614716694261e-08,1.4239777357261119e-08
1821,2.6626018723163725e-08,0.0
1822,1.9048670196752937e-08,0.0
1823,4.249555374258307e-08,3.063632902922109e-08
1824,2.5263338088166165e-08,0.0
1825,2.4655239627691117e-08,7.924898959288385e-09
1826,2.2019960965735663e-08,1.7615968683770689e-09
1827,4.7008093417844066e-08,5.530363722527909e-09
1828,3.118582370120748e-08,2.8434133270138773e-08
1829,2.4004892296147773e-08,8.573175946935407e-09
1830,3.235419043789989e-08,3.1310507520032616e-09
1831,1.5591206548037917e-08,1.5591206103948707e-09
1832,2.0294953273491956e-08,1.3529969367098715e-09
1833,1.6217079235048004e-08,1.6217079235048004e-08
1834,3.173740381612333e-08,9.334531370086552e-09
1835,3.932805725526123e-08,7.563087933704082e-10
1836,3.2259599436201825e-08,1.3441500135158435e-09
1837,2.99189295560609e-08,7.653680356156656e-09
1838,2.9667161172142187e-08,8.2058102535143e-09
1839,2.4470162784950844e-08,9.088918062616358e-09
1840,2.293087852933695e-08,5.095750932326837e-09
1841,2.43980835534785e-08,3.852329122366882e-09
1842,1.408735705865638e-08,7.379091560011375e-09
1843,1.8902115428431898e-08,7.088293507706567e-09
1844,3.402907822191992e-08,1.1525978393933656e-08
1845,1.7298706467272496e-08,1.562463758375543e-08
1846,5.620321275046081e-08,9.952652035849496e-09
1847,2.7505439703645607e-08,1.0786447290911383e-08
1848,5.229394162142853e-08,4.82713291560799e-09
1849,3.854530916669319e-08,1.3407063903514427e-08
1850,3.190828223864628e-08,1.3577992064028876e-09
1851,4.321124080775007e-08,2.1283147688677673e-08
1852,2.3437962681782665e-08,7.812654523320361e-09
1853,2.9859659633757474e-08,4.180352064508952e-09
1854,2.4419623656513068e-08,4.676098175337984e-09
1855,1.5920811335945473e-08,6.368324534378189e-09
1856,1.3978411317339123e-08,2.0708756931497874e-09
1857,3.7099468386259105e-08,1.8549734193129552e-08
1858,3.131952652779546e-08,7.34051397444091e-09
1859,1.9859475841599306e-08,1.2730433596175317e-08
1860,3.204028686809579e-08,2.70053845952134e-08
1861,3.206855225812433e-08,8.017138064531082e-09
1862,2.5300723294208183e-08,8.584174260306554e-09
1863,1.9479021062807078e-08,4.994620717013731e-09
1864,2.1576274988888144e-08,9.589456340108882e-09
1865,2.165148416111151e-08,7.0602665935837194e-09
1866,3.649209645573137e-08,1.5083399418358567e-08
1867,2.717574432153924e-08,4.367530337390235e-09
1868,1.679557115608077e-08,8.89177353968762e-09
1869,2.3929244363785074e-08,1.8557372527538973e-08
1870,2.8670243068518175e-08,1.1468097582678638e-08
1871,1.3807530230280918e-08,6.37270636261178e-09
1872,2.2979889990892843e-08,1.1489944995446422e-08
1873,3.1725821969530443e-08,8.380406590902112e-09
1874,2.2703515512034755e-08,6.572069999322139e-09
1875,2.0025344937835143e-08,1.830888685105947e-08
1876,1.874264654588842e-08,1.5719638923883394e-08
1877,1.4225077116236662e-08,7.421779191219002e-09
1878,1.509772218355465e-08,1.3889904337816006e-08
1879,2.443730195977878e-08,5.498392852132383e-09
1880,1.9895322722618403e-08,1.2835692508872398e-08
1881,2.091752193678076e-08,8.367009307619355e-09
1882,2.1962771157291172e-08,1.0648616211028639e-08
1883,2.464542170343975e-08,1.516641390253426e-08
1884,2.3766109080725073e-08,1.4523733327109767e-08
1885,3.158361394639542e-08,1.2891271383708158e-09
1886,1.4842966855610484e-08,1.0325542199041138e-08
1887,2.4809914123125054e-08,1.0446279397058333e-08
1888,2.3460273723685532e-08,1.521747527988282e-08
1889,2.0674951528576457e-08,4.385595886446936e-09
1890,7.209825181320184e-09,5.243509182406569e-09
1891,1.4023283867459213e-08,1.0198752065093686e-08
1892,1.3163876211308434e-08,1.191017329205124e-08
1893,1.1700991287000306e-08,9.23762488724833e-09
1894,7.561847148451761e-09,1.764431090123253e-08
1895,2.2268872967856623e-08,1.9861428057765806e-08
1896,1.592197840238896e-08,2.7716035688740703e-08
1897,6.992056267307589e-09,1.2818770045441852e-08
1898,1.0185038590293516e-08,5.092519295146758e-09
1899,1.492446166651007e-08,1.1055156790007459e-08
1900,1.8168686111152965e-08,1.7130474816440255e-08
1901,1.4530721514915967e-08,1.2295225282343836e-08
1902,5.4013122863239005e-09,1.4730851205513318e-08
1903,9.720396931811592e-09,1.7280704867062013e-08
1904,9.674325340824907e-09,6.987012746151322e-09
1905,9.805441791854719e-09,1.1353670004154992e-08
1906,1.6461390472954918e-08,1.4918134283448126e-08
1907,1.491424583832668e-08,5.142843484406967e-09
1908,1.1296195090437777e-08,1.7680999775393502e-08
1909,1.320236009405562e-08,8.801573692096554e-09
1910,1.068830179917768e-08,1.068830179917768e-08
1911,1.3300935464144459e-08,1.8621308939259507e-08
1912,1.3023552902780011e-08,1.0418842677495377e-08
1913,9.015082902408267e-09,1.5378670781274195e-08
1914,9.37544086809794e-09,1.6072185360371805e-08
1915,1.4136913861761968e-08,2.4739600590351074e-08
1916,7.69122365795738e-09,3.2962386153911893e-09
1917,1.0966424213165737e-08,1.973956464951243e-08
1918,1.2635013924011673e-08,1.6080926812378493e-08
1919,9.207848705727883e-09,1.8415696745321952e-09
1920,1.590168707821249e-08,1.2872794385998532e-08
1921,1.438822039290244e-08,9.087297137000405e-09
1922,1.696925089333945e-08,1.3280283539529592e-08
1923,1.0615948120573648e-08,1.3800733000834953e-08
1924,1.4180787211159895e-08,3.867487219366694e-09
1925,7.698724324711748e-09,1.7597084678300234e-08
1926,1.0031524944054127e-08,1.89484357093761e-08
1927,5.574612327308159e-09,5.574612327308159e-09
1928,9.14083297942625e-09,7.998228745975666e-09
1929,3.342121912552898e-09,1.1140405931087116e-08
1930,8.402882833991043e-09,5.2518016602221e-09
1931,1.1405356659111021e-09,1.2545892325022123e-08
1932,1.4247397928102146e-08,1.6439305028370654e-08
1933,1.0323596200123575e-08,1.8353059516584835e-08
1934,1.0783422155213884e-08,1.7972370258689807e-08
1935,4.787313656606784e-09,1.0771455727365264e-08
1936,4.849885826274658e-09,6.0623572828433225e-09
1937,8.813782592653752e-09,1.3850230295986421e-08
1938,2.5930428915188486e-09,9.075650453382877e-09
1939,1.070583532936098e-08,2.4470480752825097e-08
1940,7.607348528892999e-09,2.5357829613881222e-08
1941,5.9030051957620344e-09,1.1806010391524069e-08
1942,6.068423541449874e-09,5.76500234217292e-08
1943,8.709705845433291e-09,5.806470415592457e-09
1944,3.2131861615880553e-09,2.8918675454292497e-08
1945,6.535512131478072e-09,1.5249527862692958e-08
1946,8.352662561605939e-09,1.9489545977080525e-08
1947,8.344609447874518e-09,1.3112957830685446e-08
1948,5.435944139264848e-09,1.6307831529616124e-08
1949,3.9268033269479474e-09,1.0798709482173763e-08
1950,2.1270722960764488e-09,1.1698897850465073e-08
1951,6.396841278899501e-09,9.595261474260042e-09
1952,3.1634410646574906e-09,1.5817205323287453e-08
1953,7.54167928107563e-09,1.4005975934594517e-08
1954,4.886268278880834e-09,1.4658803948464083e-08
1955,9.385607846468247e-10,2.0648336374051723e-08
1956,6.976913269340912e-09,7.849027205963921e-09
1957,3.534015080575159e-09,1.4136060322300636e-08
1958,4.1361216673863055e-09,1.1581140491045971e-08
1959,6.200598257066758e-09,1.5501495198577686e-08
1960,4.844583401109048e-09,1.1073333361366622e-08
1961,7.64297514166401e-09,1.945484662257968e-08
1962,2.5367825617905737e-09,1.5220695814832652e-08
1963,3.2330267352165265e-09,2.133797494252576e-08
1964,1.8251904432275978e-09,9.734349326606662e-09
1965,4.924839203113152e-09,1.6963333848707407e-08
1966,2.215629901769489e-09,9.970334780007306e-09
1967,3.944268467392931e-09,5.423369309198733e-09
1968,4.491415683816058e-09,1.1677681044375277e-08
1969,4.995933444718048e-09,9.083515273289322e-09
1970,2.7592350626548523e-09,8.277704743875347e-09
1971,7.707596338946132e-09,8.735275613958038e-09
1972,0.0,6.156176013405457e-09
1973,2.7566018356850464e-09,9.923766697284009e-09
1974,4.500457340128605e-09,6.1881286761433785e-09
1975,2.2845920710778955e-09,6.282628195464213e-09
1976,5.713526873840635e-10,1.085570122683066e-08
1977,2.938390863960194e-09,7.052138428775834e-09
1978,4.752473081737207e-09,5.346532105932056e-09
1979,4.096381456264453e-09,8.777959692451986e-09
1980,2.2740602734216964e-09,1.193881615790815e-08
1981,1.8976649140967083e-09,6.325549417596221e-09
1982,6.828252629986764e-09,8.690503427999374e-09
1983,6.946847541655643e-09,1.326216381158929e-08
1984,4.639206796497319e-09,1.1018116197192285e-08
1985,1.8046674155058895e-09,8.421781494405423e-09
1986,2.997242676272549e-09,1.019062523255343e-08
1987,2.4443267410134695e-09,1.1610551631235921e-08
1988,3.597932174415064e-09,1.798966131616453e-08
1989,5.488121956886971e-09,1.4269117443177493e-08
1990,3.814055737905164e-09,7.083246433836621e-09
1991,5.861465202094962e-10,8.20605094986604e-09
1992,3.856960972825618e-09,6.61193322315512e-09
1993,5.539207426075166e-10,8.862731881720265e-09
1994,2.1099706426497278e-09,7.912389854425328e-09
1995,1.626735190995987e-09,9.760411145975922e-09
1996,3.2028553142993132e-09,9.60856638698715e-09
1997,1.438468344439059e-09,1.054876808126437e-08
1998,1.9072516899143466e-09,9.059445638115449e-09
1999,1.3710603763428253e-09,1.1882523409667556e-08
2000,1.7672125984802278e-09,3.97622823555821e-09
2001,2.6287270138425356e-09,4.381211837767296e-09
2002,8.76244299341522e-10,8.762443215459825e-09
2003,2.5001538617175356e-09,1.0833999475323708e-08
2004,2.642874807889939e-09,1.0131019578807354e-08
2005,1.3511248786457486e-09,9.908249332113428e-09
2006,8.235779835885637e-10,1.1530091548195287e-08
2007,3.1955835755326234e-09,8.38840730210677e-09
2008,1.7029758714315335e-09,1.7455501932772677e-08
2009,2.384096253749135e-09,1.4781396551200032e-08
2010,4.723793023408973e-10,2.220182793166714e-08
2011,0.0,3.059177444697525e-08
2012,6.808505426114664e-10,4.391485930455019e-08
2013,1.3945624655065103e-09,4.6020563360116284e-08
2014,8.661780737106994e-10,6.517989703525018e-08
2015,1.329945265027277e-09,4.676974185713334e-08
2016,1.4499380585064614e-09,4.4119541797726924e-08
2017,1.2578056374223934e-09,4.4526320408522224e-08
2018,1.8070267504555204e-09,5.8082999743191976e-08
2019,1.02039510174734e-09,5.7397222974486795e-08
